CYCLES;INS
8754815;6247514 
8754657;6247515 
8756175;6247518 
8754236;6247520 
8754132;6247516 
8754397;6247512 
8755607;6247520 
8754095;6247515 
8754054;6247514 
8754445;6247520 
8755374;6247516 
8754536;6247514 
8754080;6247520 
8753629;6247512 
8753768;6247512 
8755275;6247519 
8754150;6247518 
8755068;6247513 
8755002;6247522 
8754164;6247517 
8753942;6247514 
8756172;6247525 
8757117;6247515 
8754184;6247514 
8756852;6247521 
8754061;6247515 
8753936;6247515 
8754658;6247517 
8754576;6247515 
8753790;6247513 
8754935;6247521 
8753959;6247515 
8754109;6247518 
8756698;6247520 
8755289;6247514 
8753961;6247518 
8755789;6247519 
8756346;6247518 
8755455;6247520 
8754381;6247520 
8755230;6247515 
8755709;6247523 
8753785;6247515 
8754046;6247517 
8753771;6247515 
8756244;6247516 
8753896;6247522 
8754848;6247521 
8753720;6247518 
8754466;6247514 
8755168;6247519 
8754368;6247516 
8754942;6247517 
8754608;6247517 
8753739;6247516 
8755423;6247514 
8754548;6247521 
8754243;6247515 
8754836;6247514 
8753583;6247516 
8754548;6247514 
8753715;6247515 
8754739;6247518 
8754033;6247514 
8754362;6247513 
8756884;6247517 
8754219;6247517 
8754625;6247516 
8754573;6247522 
8754024;6247515 
8755235;6247515 
8754488;6247522 
8754948;6247514 
8754381;6247517 
8753805;6247517 
8754084;6247515 
8755088;6247516 
8754516;6247518 
8754788;6247514 
8754129;6247518 
8754233;6247521 
8754291;6247517 
8754582;6247515 
8755624;6247521 
8754441;6247514 
8753918;6247515 
8754305;6247520 
8754520;6247513 
8753878;6247513 
8755260;6247525 
8754929;6247513 
8754152;6247517 
8754250;6247517 
8753687;6247512 
8754924;6247518 
8757606;6247519 
8754025;6247515 
8754352;6247514 
8759075;6247517 
8754862;6247513 
8753793;6247512 
8754786;6247519 
8753703;6247511 
8754214;6247516 
8754823;6247541 
8754068;6247512 
8754997;6247516 
8754675;6247520 
8753847;6247513 
8755244;6247518 
8754546;6247518 
8754615;6247513 
8755306;6247521 
8756627;6247523 
8754309;6247517 
8753832;6247519 
8754081;6247517 
8754584;6247514 
8753945;6247517 
8756506;6247520 
8754069;6247514 
8755833;6247514 
8754318;6247521 
8754502;6247515 
8757648;6247517 
8755455;6247521 
8754034;6247513 
8754668;6247515 
8755097;6247518 
8754794;6247516 
8754029;6247515 
8754702;6247515 
8754524;6247514 
8754289;6247517 
8754324;6247516 
8754341;6247514 
8753999;6247515 
8756724;6247523 
8755635;6247518 
8756179;6247518 
8756873;6247519 
8754017;6247513 
8754937;6247519 
8756032;6247521 
8753542;6247518 
8754371;6247512 
8754410;6247519 
8754174;6247517 
8754071;6247516 
8754874;6247520 
8754035;6247519 
8755849;6247513 
8756309;6247522 
8753990;6247519 
8754268;6247512 
8754308;6247521 
8756281;6247515 
8754590;6247516 
8754086;6247517 
8753659;6247512 
8754685;6247512 
8753907;6247522 
8753994;6247515 
8754836;6247512 
8754727;6247519 
8754072;6247517 
8754586;6247516 
8754725;6247520 
8754192;6247517 
8754425;6247514 
8755418;6247522 
8754900;6247515 
8753977;6247514 
8754086;6247518 
8755031;6247518 
8753433;6247513 
8754369;6247518 
8754397;6247516 
8754607;6247519 
8754830;6247518 
8754467;6247515 
8756031;6247518 
8756422;6247518 
8754099;6247517 
8754655;6247517 
8755008;6247522 
8755663;6247519 
8754424;6247516 
8754454;6247516 
8754858;6247516 
8753783;6247516 
8757904;6247523 
8755403;6247515 
8754648;6247517 
8754907;6247520 
8754277;6247521 
8754364;6247518 
8755296;6247516 
8754145;6247521 
8754198;6247516 
8757528;6247515 
8754519;6247520 
8754400;6247518 
8753937;6247513 
8753620;6247515 
8755910;6247515 
8754382;6247515 
8754231;6247520 
8754610;6247517 
8754271;6247522 
8753951;6247521 
8753789;6247517 
8754333;6247516 
8754117;6247520 
8755009;6247513 
8756035;6247515 
8754011;6247521 
8755013;6247518 
8754116;6247517 
8754773;6247519 
8754985;6247520 
8755282;6247519 
8755305;6247519 
8754725;6247514 
8754327;6247518 
8756699;6247520 
8753953;6247515 
8757692;6247522 
8754147;6247522 
8754216;6247517 
8753737;6247516 
8755907;6247519 
8753755;6247516 
8754433;6247518 
8755822;6247520 
8753857;6247517 
8754157;6247520 
8754677;6247521 
8754398;6247518 
8759180;6247524 
8753961;6247517 
8753688;6247515 
8755493;6247520 
8754578;6247516 
8754106;6247515 
8754443;6247515 
8754549;6247515 
8754755;6247518 
8754034;6247521 
8755948;6247518 
8754362;6247516 
8754674;6247524 
8754136;6247516 
8754419;6247515 
8754613;6247524 
8754559;6247518 
8753821;6247518 
8754812;6247520 
8754490;6247519 
8754120;6247514 
8754810;6247518 
8754521;6247513 
8754635;6247515 
8757116;6247520 
8754469;6247518 
8754813;6247521 
8755907;6247521 
8753848;6247517 
8754236;6247520 
8755423;6247516 
8755602;6247517 
8753929;6247515 
8754147;6247517 
8755264;6247515 
8754249;6247515 
8754965;6247518 
8755207;6247516 
8754901;6247519 
8755420;6247515 
8755125;6247518 
8754037;6247520 
8756049;6247517 
8754109;6247522 
8753972;6247516 
8755746;6247513 
8757024;6247522 
8754877;6247513 
8753960;6247522 
8755725;6247519 
8754154;6247512 
8753841;6247513 
8753938;6247521 
8754569;6247519 
8755323;6247516 
8756969;6247521 
8754806;6247519 
8754959;6247516 
8754371;6247518 
8754738;6247516 
8754433;6247536 
8754907;6247517 
8755141;6247513 
8754137;6247515 
8754597;6247518 
8757090;6247513 
8753965;6247514 
8755276;6247522 
8754089;6247515 
8755439;6247519 
8755388;6247517 
8754148;6247514 
8754078;6247519 
8756419;6247519 
8754120;6247512 
8756392;6247515 
8754443;6247517 
8756901;6247514 
8754030;6247514 
8755144;6247519 
8753454;6247512 
8755013;6247514 
8755429;6247517 
8753875;6247513 
8754201;6247517 
8754098;6247522 
8753594;6247515 
8755228;6247517 
8756491;6247521 
8754556;6247515 
8754587;6247517 
8754289;6247517 
8755159;6247513 
8754206;6247514 
8754920;6247518 
8753689;6247510 
8753842;6247517 
8754117;6247520 
8753722;6247518 
8754624;6247517 
8754378;6247519 
8755248;6247515 
8754709;6247516 
8754556;6247525 
8754292;6247512 
8755596;6247516 
8754268;6247516 
8754369;6247513 
8754166;6247514 
8754420;6247518 
8753546;6247514 
8753484;6247515 
8755734;6247518 
8754508;6247515 
8754126;6247522 
8754295;6247517 
8754162;6247519 
8754239;6247516 
8753894;6247516 
8755037;6247518 
8755525;6247515 
8755875;6247518 
8753848;6247515 
8757290;6247517 
8754488;6247518 
8754185;6247515 
8754210;6247516 
8754341;6247522 
8754099;6247515 
8755437;6247516 
8754634;6247520 
8755841;6247516 
8754353;6247518 
8754439;6247521 
8753995;6247517 
8754718;6247515 
8754284;6247521 
8754314;6247513 
8754851;6247513 
8754791;6247519 
8754365;6247516 
8755016;6247516 
8754329;6247519 
8753914;6247517 
8754325;6247516 
8754893;6247517 
8755766;6247517 
8755190;6247511 
8754338;6247514 
8755788;6247521 
8755445;6247517 
8754886;6247518 
8754904;6247520 
8754442;6247518 
8753987;6247516 
8755906;6247526 
8755407;6247518 
8754561;6247515 
8754374;6247521 
8753812;6247514 
8753846;6247511 
8754427;6247519 
8753915;6247516 
8754057;6247514 
8754776;6247517 
8754445;6247518 
8755413;6247517 
8754565;6247519 
8753963;6247516 
8754067;6247515 
8755706;6247520 
8753930;6247517 
8753809;6247512 
8754917;6247519 
8753985;6247516 
8753886;6247513 
8753792;6247516 
8755415;6247514 
8754106;6247513 
8754918;6247524 
8755600;6247515 
8754205;6247516 
8754665;6247517 
8754699;6247518 
8754500;6247515 
8755576;6247521 
8753857;6247516 
8754444;6247515 
8754332;6247520 
8753900;6247514 
8754272;6247515 
8753818;6247520 
8755734;6247514 
8756274;6247519 
8756042;6247519 
8754180;6247516 
8754359;6247516 
8754628;6247517 
8754918;6247515 
8755034;6247516 
8755732;6247519 
8755973;6247521 
8753860;6247515 
8753900;6247516 
8753960;6247515 
8755762;6247515 
8755058;6247517 
8754524;6247519 
8754051;6247517 
8754616;6247518 
8754547;6247523 
8753938;6247513 
8754849;6247515 
8754440;6247520 
8754457;6247514 
8754974;6247516 
8754131;6247520 
8753815;6247513 
8753652;6247515 
8754650;6247517 
8755238;6247516 
8754270;6247518 
8754390;6247519 
8754819;6247519 
8755225;6247521 
8754519;6247518 
8754064;6247517 
8754025;6247517 
8754158;6247520 
8753944;6247516 
8754463;6247519 
8753709;6247517 
8754374;6247512 
8754760;6247522 
8754561;6247524 
8753852;6247514 
8754648;6247520 
8755903;6247520 
8755447;6247519 
8754221;6247518 
8753971;6247518 
8754060;6247514 
8754862;6247519 
8755844;6247519 
8754003;6247513 
8754607;6247521 
8755995;6247516 
8754076;6247516 
8755316;6247521 
8755465;6247519 
8754939;6247517 
8756131;6247518 
8753990;6247517 
8754235;6247514 
8754540;6247540 
8755389;6247517 
8754792;6247518 
8755708;6247522 
8757299;6247516 
8754677;6247514 
8753970;6247520 
8754301;6247514 
8754660;6247516 
8754867;6247517 
8754477;6247520 
8754220;6247518 
8755521;6247516 
8754168;6247516 
8756004;6247515 
8754132;6247517 
8754739;6247520 
8753946;6247514 
8754631;6247514 
8753831;6247518 
8753842;6247513 
8754583;6247512 
8755105;6247518 
8754621;6247515 
8753991;6247513 
8757208;6247518 
8753772;6247515 
8754504;6247515 
8754314;6247522 
8754785;6247515 
8753921;6247516 
8754469;6247520 
8755349;6247513 
8755927;6247521 
8753627;6247515 
8753929;6247514 
8753646;6247516 
8753688;6247517 
8754236;6247516 
8755340;6247517 
8755778;6247519 
8754387;6247516 
8753857;6247518 
8754971;6247518 
8754236;6247513 
8753966;6247515 
8755832;6247521 
8754554;6247516 
8753860;6247515 
8754754;6247517 
8754478;6247515 
8754051;6247513 
8756512;6247523 
8754530;6247514 
8754525;6247515 
8754301;6247520 
8755377;6247513 
8754447;6247519 
8754747;6247521 
8753818;6247514 
8754157;6247517 
8754453;6247518 
8755467;6247512 
8755006;6247514 
8755595;6247521 
8753833;6247510 
8753946;6247514 
8755648;6247519 
8753914;6247512 
8754174;6247520 
8756174;6247516 
8753805;6247511 
8754829;6247514 
8754786;6247519 
8754060;6247514 
8754182;6247521 
8754506;6247517 
8754684;6247512 
8753761;6247515 
8755814;6247517 
8753841;6247512 
8755003;6247513 
8755094;6247517 
8754163;6247514 
8754184;6247516 
8754262;6247525 
8754239;6247513 
8755045;6247515 
8754127;6247520 
8753960;6247518 
8754343;6247518 
8757456;6247517 
8754422;6247514 
8755867;6247514 
8753903;6247516 
8753928;6247513 
8754873;6247516 
8754187;6247519 
8754037;6247518 
8754029;6247513 
8755262;6247518 
8755168;6247516 
8754280;6247516 
8755169;6247522 
8753947;6247515 
8754137;6247516 
8755206;6247521 
8754502;6247515 
8754064;6247516 
8753792;6247518 
8756059;6247516 
8755418;6247518 
8755395;6247516 
8757272;6247517 
8754019;6247517 
8754532;6247521 
8754726;6247517 
8755091;6247515 
8754202;6247517 
8754748;6247515 
8754296;6247514 
8756457;6247519 
8754306;6247513 
8755835;6247514 
8754032;6247517 
8754818;6247517 
8753883;6247516 
8754834;6247519 
8755132;6247513 
8753768;6247512 
8756336;6247517 
8754598;6247518 
8753748;6247513 
8756805;6247517 
8754118;6247517 
8754083;6247512 
8754327;6247520 
8755226;6247512 
8753947;6247512 
8754183;6247519 
8754189;6247514 
8754399;6247513 
8754623;6247518 
8754170;6247518 
8754125;6247512 
8755483;6247519 
8756177;6247518 
8756472;6247517 
8757263;6247522 
8753783;6247517 
8755466;6247515 
8755170;6247517 
8753599;6247514 
8754129;6247513 
8754577;6247518 
8755957;6247514 
8754762;6247518 
8754853;6247520 
8754122;6247517 
8756357;6247516 
8754920;6247520 
8754200;6247521 
8754378;6247520 
8754726;6247517 
8754442;6247519 
8753803;6247518 
8754349;6247519 
8753991;6247515 
8753907;6247515 
8754512;6247517 
8754303;6247522 
8754113;6247513 
8754372;6247517 
8754216;6247518 
8754586;6247515 
8754346;6247516 
8755479;6247519 
8754352;6247518 
8756634;6247521 
8754142;6247517 
8754713;6247518 
8754692;6247516 
8754486;6247519 
8754120;6247514 
8754456;6247516 
8756129;6247523 
8754565;6247516 
8754048;6247518 
8754378;6247519 
8756284;6247516 
8754288;6247518 
8754477;6247520 
8754177;6247517 
8754663;6247515 
8754782;6247524 
8754136;6247512 
8753799;6247517 
8754218;6247518 
8753950;6247516 
8754692;6247520 
8755054;6247516 
8754046;6247517 
8756384;6247519 
8754531;6247521 
8754345;6247518 
8754173;6247521 
8754609;6247516 
8758688;6247518 
8754562;6247517 
8753971;6247517 
8755331;6247516 
8755591;6247515 
8754595;6247521 
8754632;6247515 
8754339;6247518 
8754669;6247520 
8754273;6247518 
8754490;6247516 
8754754;6247522 
8754376;6247517 
8753916;6247518 
8754935;6247515 
8754146;6247515 
8755838;6247518 
8754307;6247516 
8754292;6247519 
8753991;6247520 
8755399;6247517 
8753973;6247518 
8754405;6247519 
8754747;6247516 
8757430;6247517 
8754097;6247515 
8754536;6247517 
8758035;6247518 
8755582;6247514 
8753964;6247517 
8753919;6247516 
8755375;6247516 
8754430;6247516 
8753862;6247514 
8753940;6247514 
8754301;6247519 
8754260;6247517 
8754492;6247517 
8754875;6247523 
8754180;6247520 
8754121;6247514 
8754375;6247520 
8754596;6247517 
8753931;6247516 
8754336;6247517 
8754985;6247514 
8755468;6247515 
8755178;6247517 
8754367;6247518 
8755221;6247519 
8754545;6247521 
8754028;6247515 
8754619;6247519 
8755662;6247518 
8754154;6247518 
8754291;6247515 
8755010;6247518 
8754580;6247513 
8754433;6247515 
8755349;6247520 
8754363;6247515 
8753996;6247515 
8753847;6247517 
8754864;6247517 
8754254;6247519 
8755048;6247522 
8753666;6247513 
8754664;6247515 
8755700;6247517 
8754257;6247514 
8754484;6247514 
8754276;6247521 
8755174;6247516 
8754987;6247513 
8753864;6247517 
8753912;6247513 
8754177;6247517 
8754419;6247517 
8754119;6247516 
8754044;6247515 
8756723;6247520 
8753960;6247512 
8753970;6247520 
8754744;6247528 
8755017;6247512 
8754871;6247515 
8754256;6247518 
8755023;6247512 
8753854;6247516 
8754336;6247520 
8753701;6247512 
8754630;6247516 
8755742;6247520 
8753775;6247512 
8755877;6247516 
8756619;6247523 
8754101;6247513 
8753937;6247519 
8754649;6247521 
8754058;6247515 
8753960;6247517 
8754234;6247519 
8754295;6247515 
8753830;6247513 
8755100;6247515 
8753783;6247515 
8753736;6247518 
8755499;6247526 
8754940;6247515 
8756862;6247519 
8754207;6247519 
8753876;6247514 
8753859;6247515 
8754483;6247521 
8755892;6247515 
8756738;6247514 
8756663;6247520 
8754214;6247514 
8753699;6247516 
8754227;6247518 
8754307;6247516 
8755311;6247519 
8755775;6247525 
8754454;6247516 
8754522;6247518 
8754364;6247520 
8756347;6247516 
8753937;6247519 
8755739;6247519 
8754173;6247520 
8754765;6247521 
8755321;6247522 
8754303;6247514 
8754993;6247514 
8754954;6247519 
8754124;6247513 
8754353;6247519 
8755640;6247519 
8753936;6247515 
8755805;6247513 
8754313;6247525 
8755046;6247518 
8755202;6247516 
8754620;6247518 
8754889;6247515 
8754734;6247514 
8754560;6247519 
8754008;6247516 
8753835;6247511 
8755038;6247518 
8754342;6247515 
8754403;6247514 
8754220;6247517 
8755810;6247517 
8753657;6247513 
8753839;6247517 
8756682;6247516 
8753990;6247513 
8755456;6247515 
8756135;6247519 
8754215;6247514 
8753985;6247516 
8754515;6247520 
8753948;6247512 
8754331;6247516 
8754649;6247518 
8754032;6247511 
8754039;6247519 
8756363;6247519 
8755494;6247515 
8754666;6247514 
8755227;6247518 
8753629;6247511 
8754038;6247512 
8754428;6247519 
8754009;6247513 
8754232;6247516 
8755219;6247519 
8753534;6247513 
8754814;6247517 
8754890;6247517 
8753972;6247513 
8756046;6247541 
8754699;6247521 
8755092;6247515 
8754101;6247513 
8754270;6247522 
8754009;6247512 
8753767;6247512 
8754151;6247522 
8754086;6247516 
8754131;6247516 
8754308;6247522 
8753872;6247513 
8754122;6247517 
8754300;6247521 
8754786;6247516 
8754140;6247517 
8754467;6247516 
8754859;6247513 
8753986;6247516 
8753930;6247518 
8753599;6247513 
8754248;6247515 
8755604;6247519 
8755207;6247515 
8754153;6247518 
8754020;6247521 
8754710;6247518 
8755240;6247519 
8754102;6247518 
8754182;6247517 
8754941;6247519 
8754369;6247517 
8754041;6247517 
8756350;6247518 
8755334;6247517 
8755483;6247514 
8754068;6247517 
8754439;6247519 
8754914;6247518 
8754539;6247517 
8755456;6247521 
8753991;6247516 
8755148;6247516 
8754577;6247521 
8754150;6247516 
8755107;6247515 
8754392;6247518 
8754299;6247512 
8753727;6247513 
8755364;6247517 
8754253;6247518 
8753872;6247514 
8756748;6247521 
8756954;6247522 
8754483;6247516 
8753833;6247519 
8755001;6247515 
8753986;6247513 
8754810;6247519 
8754171;6247517 
8754361;6247513 
8753927;6247516 
8753686;6247514 
8753786;6247511 
8754395;6247514 
8754393;6247516 
8757114;6247512 
8754244;6247522 
8755301;6247517 
8753912;6247512 
8755493;6247520 
8753910;6247517 
8754124;6247517 
8754343;6247516 
8755464;6247517 
