CYCLES;INS
8754335;6247514 
8754988;6247523 
8754554;6247522 
8755414;6247519 
8754608;6247519 
8754244;6247524 
8754857;6247520 
8754472;6247522 
8754786;6247524 
8755414;6247516 
8756139;6247522 
8754904;6247524 
8753583;6247513 
8754858;6247521 
8754077;6247526 
8753990;6247514 
8754041;6247524 
8755470;6247523 
8755869;6247518 
8757099;6247528 
8754464;6247520 
8754584;6247522 
8755126;6247525 
8755493;6247524 
8754239;6247518 
8754683;6247520 
8756067;6247519 
8755155;6247520 
8754488;6247518 
8758165;6247525 
8755437;6247521 
8754193;6247518 
8754276;6247518 
8754265;6247520 
8754041;6247522 
8755155;6247524 
8755667;6247522 
8754899;6247520 
8755197;6247525 
8754262;6247519 
8754340;6247519 
8754714;6247519 
8753816;6247520 
8754211;6247518 
8754424;6247522 
8754148;6247516 
8758125;6247522 
8754438;6247526 
8754200;6247516 
8753925;6247519 
8754535;6247520 
8757671;6247518 
8755279;6247521 
8755056;6247520 
8753893;6247519 
8754837;6247517 
8754311;6247518 
8755706;6247522 
8754536;6247519 
8754918;6247518 
8754529;6247520 
8754390;6247522 
8754247;6247518 
8754029;6247519 
8756113;6247521 
8755320;6247522 
8755153;6247521 
8754453;6247519 
8755488;6247522 
8753860;6247516 
8754638;6247517 
8756508;6247527 
8754658;6247522 
8754713;6247517 
8754823;6247524 
8754311;6247520 
8754618;6247514 
8754568;6247525 
8755552;6247516 
8754466;6247520 
8754323;6247523 
8758423;6247526 
8755537;6247515 
8755988;6247523 
8753988;6247518 
8754596;6247519 
8755643;6247522 
8754330;6247519 
8755540;6247521 
8754532;6247520 
8754388;6247520 
8755439;6247516 
8754479;6247522 
8754790;6247520 
8754933;6247522 
8756342;6247518 
8754190;6247521 
8754243;6247517 
8757372;6247515 
8755810;6247525 
8754089;6247519 
8754367;6247522 
8756775;6247539 
8754681;6247520 
8756731;6247526 
8754149;6247525 
8754485;6247517 
8755118;6247521 
8755235;6247522 
8755708;6247517 
8753962;6247524 
8753909;6247521 
8754504;6247518 
8754591;6247526 
8754713;6247520 
8754143;6247520 
8756276;6247522 
8754359;6247520 
8755215;6247523 
8755822;6247521 
8754377;6247521 
8755656;6247516 
8755583;6247520 
8754346;6247523 
8754190;6247517 
8755293;6247520 
8754287;6247522 
8754375;6247521 
8755373;6247522 
8754313;6247526 
8754556;6247522 
8754300;6247517 
8755575;6247523 
8754853;6247518 
8755459;6247523 
8755263;6247521 
8754059;6247515 
8760179;6247519 
8753899;6247518 
8753657;6247519 
8754680;6247521 
8754543;6247522 
8754274;6247517 
8757009;6247518 
8754952;6247524 
8754792;6247518 
8753976;6247521 
8754112;6247522 
8756602;6247519 
8754922;6247518 
8754043;6247521 
8755026;6247518 
8755247;6247519 
8753943;6247525 
8754620;6247517 
8754374;6247522 
8754698;6247522 
8754402;6247521 
8755898;6247521 
8754191;6247520 
8754180;6247520 
8754367;6247520 
8756428;6247524 
8755105;6247521 
8755750;6247521 
8754287;6247519 
8754317;6247514 
8754544;6247518 
8756184;6247522 
8755745;6247518 
8754223;6247515 
8754404;6247526 
8754045;6247522 
8754729;6247517 
8754780;6247524 
8755330;6247521 
8756449;6247516 
8756032;6247522 
8754558;6247517 
8754025;6247516 
8754529;6247520 
8753818;6247519 
8755013;6247518 
8754559;6247524 
8754920;6247522 
8754367;6247522 
8754140;6247521 
8754153;6247523 
8753719;6247518 
8753927;6247522 
8754420;6247521 
8758667;6247518 
8754372;6247515 
8755181;6247523 
8754138;6247519 
8755634;6247518 
8754833;6247522 
8754278;6247519 
8754049;6247519 
8756389;6247521 
8754344;6247517 
8757485;6247531 
8755892;6247523 
8754182;6247518 
8756610;6247527 
8756027;6247523 
8753874;6247514 
8755839;6247525 
8754983;6247521 
8754021;6247521 
8754423;6247519 
8756431;6247518 
8754719;6247520 
8755683;6247521 
8754285;6247520 
8754263;6247518 
8755702;6247524 
8754605;6247521 
8756914;6247519 
8755041;6247524 
8754510;6247517 
8753955;6247522 
8754127;6247517 
8754359;6247522 
8754124;6247516 
8756213;6247524 
8756877;6247523 
8754754;6247520 
8754366;6247518 
8754932;6247525 
8755915;6247521 
8754257;6247519 
8755725;6247527 
8754256;6247516 
8754435;6247518 
8755273;6247523 
8754295;6247514 
8754306;6247521 
8754417;6247523 
8754323;6247519 
8755309;6247520 
8754405;6247522 
8754552;6247517 
8754485;6247521 
8755251;6247521 
8754387;6247520 
8754242;6247518 
8754902;6247518 
8754091;6247517 
8754004;6247517 
8754217;6247518 
8754312;6247524 
8754573;6247518 
8754874;6247517 
8754500;6247518 
8756091;6247517 
8755600;6247520 
8754203;6247521 
8754914;6247521 
8755582;6247521 
8756099;6247521 
8754437;6247516 
8755811;6247521 
8754645;6247519 
8753972;6247514 
8755771;6247525 
8754197;6247517 
8754653;6247520 
8754291;6247524 
8753894;6247520 
8754723;6247521 
8754524;6247523 
8757949;6247524 
8754264;6247520 
8757724;6247525 
8754341;6247517 
8754261;6247519 
8754814;6247523 
8755104;6247522 
8753997;6247519 
8755072;6247522 
8754664;6247526 
8755499;6247521 
8754804;6247518 
8754931;6247521 
8754823;6247517 
8755160;6247518 
8757027;6247521 
8754148;6247515 
8755783;6247521 
8755464;6247521 
8754259;6247515 
8754603;6247523 
8755057;6247519 
8756140;6247517 
8755503;6247525 
8755691;6247543 
8754318;6247516 
8754543;6247523 
8755996;6247520 
8755819;6247518 
8753931;6247521 
8757359;6247516 
8753874;6247520 
8754348;6247524 
8754311;6247517 
8753911;6247521 
8756177;6247520 
8754287;6247524 
8755639;6247516 
8754698;6247524 
8755523;6247522 
8754702;6247518 
8754380;6247521 
8754643;6247518 
8754644;6247519 
8755950;6247521 
8754648;6247521 
8754100;6247521 
8755163;6247523 
8757511;6247528 
8754241;6247519 
8755179;6247521 
8756130;6247523 
8754926;6247514 
8755721;6247516 
8754216;6247521 
8755348;6247520 
8755806;6247517 
8753985;6247522 
8754442;6247513 
8755235;6247518 
8753883;6247522 
8755097;6247514 
8755414;6247517 
8755273;6247522 
8755357;6247517 
8754359;6247516 
8754792;6247519 
8757283;6247522 
8754527;6247519 
8758139;6247521 
8754926;6247521 
8755431;6247519 
8755597;6247518 
8754573;6247517 
8754817;6247521 
8755261;6247516 
8754744;6247517 
8754148;6247519 
8754391;6247526 
8754945;6247519 
8754351;6247520 
8755346;6247524 
8755970;6247519 
8753874;6247513 
8754526;6247524 
8754849;6247521 
8754287;6247515 
8755128;6247517 
8754156;6247518 
8755092;6247519 
8754591;6247524 
8755449;6247521 
8754949;6247521 
8757872;6247524 
8755141;6247520 
8754304;6247518 
8755417;6247524 
8755566;6247521 
8758077;6247518 
8757233;6247517 
8755693;6247519 
8754060;6247519 
8755095;6247521 
8755935;6247521 
8754418;6247522 
8754422;6247518 
8754926;6247525 
8754956;6247518 
8754910;6247520 
8755903;6247519 
8754594;6247516 
8756261;6247521 
8754792;6247521 
8753896;6247512 
8756052;6247520 
8755758;6247521 
8753920;6247514 
8755311;6247523 
8754715;6247525 
8755394;6247517 
8755193;6247523 
8754614;6247524 
8754802;6247518 
8754506;6247520 
8754532;6247519 
8753727;6247519 
8754875;6247521 
8757472;6247519 
8753825;6247517 
8756308;6247517 
8753810;6247520 
8755256;6247521 
8757581;6247522 
8754164;6247520 
8754091;6247519 
8756209;6247520 
8754510;6247519 
8754458;6247518 
8756751;6247522 
8754328;6247526 
8754520;6247521 
8754271;6247516 
8754860;6247526 
8754810;6247516 
8753783;6247518 
8754342;6247519 
8754818;6247516 
8756258;6247519 
8754785;6247522 
8754068;6247518 
8755384;6247518 
8754919;6247525 
8754717;6247517 
8753789;6247520 
8754643;6247521 
8754762;6247516 
8753863;6247517 
8754041;6247517 
8753821;6247519 
8755705;6247518 
8756046;6247518 
8754562;6247516 
8754734;6247521 
8754554;6247522 
8754197;6247519 
8754643;6247519 
8755843;6247517 
8755118;6247520 
8755413;6247520 
8754795;6247519 
8754171;6247520 
8755530;6247516 
8754368;6247529 
8756121;6247519 
8754768;6247516 
8754671;6247513 
8754901;6247524 
8753832;6247519 
8754814;6247516 
8754742;6247523 
8753990;6247518 
8754171;6247520 
8756517;6247522 
8754426;6247518 
8755936;6247517 
8754256;6247523 
8755416;6247515 
8754364;6247523 
8755934;6247521 
8754722;6247518 
8754623;6247518 
