CYCLES;INS
8754048;6247520 
8753862;6247516 
8754381;6247518 
8754388;6247520 
8754052;6247517 
8754642;6247520 
8755744;6247524 
8754294;6247519 
8754204;6247520 
8754819;6247522 
8755430;6247521 
8754637;6247518 
8756476;6247528 
8754139;6247522 
8754616;6247517 
8754283;6247522 
8754698;6247522 
8755016;6247523 
8754777;6247521 
8754365;6247516 
8755192;6247521 
8754373;6247520 
8754087;6247518 
8755948;6247520 
8754906;6247527 
8754767;6247521 
8754878;6247521 
8756359;6247524 
8754232;6247516 
8753686;6247516 
8753973;6247519 
8754515;6247513 
8754165;6247516 
8757957;6247524 
8754305;6247516 
8754160;6247525 
8754967;6247523 
8754093;6247516 
8754298;6247522 
8754734;6247524 
8755496;6247518 
8754394;6247521 
8754654;6247517 
8754671;6247515 
8754270;6247518 
8755666;6247516 
8755990;6247527 
8753947;6247518 
8753934;6247523 
8755143;6247527 
8754502;6247515 
8754055;6247519 
8754668;6247522 
8754366;6247517 
8756757;6247520 
8755325;6247522 
8753733;6247522 
8754028;6247516 
8754355;6247521 
8754352;6247514 
8754854;6247519 
8754906;6247517 
8754841;6247518 
8754507;6247516 
8758224;6247519 
8755315;6247515 
8753766;6247517 
8753670;6247518 
8754178;6247522 
8754302;6247522 
8754509;6247518 
8754539;6247521 
8754249;6247519 
8754812;6247520 
8753953;6247520 
8754511;6247518 
8754592;6247521 
8754171;6247520 
8754647;6247517 
8758686;6247524 
8754542;6247518 
8754902;6247516 
8754918;6247521 
8754033;6247515 
8753936;6247515 
8754242;6247523 
8754105;6247517 
8754364;6247516 
8756230;6247520 
8754009;6247522 
8755116;6247520 
8755168;6247524 
8754644;6247520 
8755927;6247517 
8755367;6247525 
8754150;6247517 
8756220;6247519 
8754637;6247522 
8756211;6247518 
8757008;6247515 
8754399;6247525 
8755081;6247519 
8755098;6247518 
8755666;6247527 
8754248;6247522 
8754925;6247516 
8753926;6247523 
8754076;6247519 
8755115;6247516 
8755107;6247522 
8754571;6247522 
8754260;6247520 
8755500;6247520 
8754740;6247523 
8754290;6247519 
8754699;6247519 
8754813;6247519 
8755037;6247521 
8755167;6247518 
8755736;6247521 
8754762;6247520 
8755665;6247520 
8754201;6247521 
8754466;6247519 
8753891;6247519 
8754142;6247523 
8756716;6247516 
8755703;6247524 
8755236;6247527 
8754465;6247520 
8755215;6247519 
8754960;6247523 
8756043;6247519 
8754567;6247522 
8754577;6247521 
8756051;6247514 
8755108;6247519 
8754017;6247519 
8753638;6247513 
8755826;6247519 
8754834;6247523 
8756795;6247516 
8754469;6247523 
8755983;6247520 
8754828;6247516 
8754575;6247519 
8754183;6247523 
8755372;6247514 
8755106;6247524 
8755723;6247520 
8754922;6247517 
8754299;6247520 
8754931;6247520 
8755309;6247518 
8754204;6247525 
8754492;6247521 
8753907;6247516 
8754939;6247525 
8754906;6247519 
8754976;6247521 
8755359;6247527 
8754780;6247521 
8755211;6247519 
8754249;6247522 
8755603;6247518 
8754697;6247517 
8754293;6247519 
8754366;6247516 
8754931;6247518 
8755328;6247522 
8757129;6247519 
8754450;6247521 
8756025;6247525 
8754488;6247521 
8754519;6247519 
8755260;6247519 
8754778;6247519 
8753686;6247516 
8754361;6247520 
8754431;6247523 
8753894;6247515 
8756623;6247523 
8754785;6247517 
8753791;6247519 
8754194;6247521 
8755593;6247523 
8754425;6247519 
8754758;6247521 
8754580;6247522 
8754160;6247523 
8756026;6247525 
8754867;6247520 
8754069;6247520 
8754656;6247523 
8755351;6247523 
8754081;6247520 
8753820;6247522 
8753987;6247520 
8754760;6247521 
8753926;6247516 
8754770;6247524 
8755386;6247519 
8754004;6247520 
8754467;6247523 
8753745;6247521 
8756026;6247520 
8755190;6247548 
8755366;6247515 
8754532;6247522 
8756804;6247529 
8756890;6247518 
8756521;6247522 
8754690;6247523 
8755697;6247517 
8754126;6247520 
8754663;6247521 
8754464;6247520 
8754802;6247521 
8755671;6247523 
8754877;6247515 
8755136;6247519 
8756928;6247525 
8754406;6247515 
8755716;6247518 
8755877;6247518 
8754160;6247514 
8759211;6247516 
8754456;6247520 
8754688;6247520 
8755257;6247521 
8755050;6247519 
8754030;6247518 
8755583;6247518 
8754537;6247520 
8754681;6247518 
8754633;6247519 
8755260;6247519 
8754963;6247518 
8754753;6247518 
8754382;6247522 
8754479;6247521 
8754188;6247516 
8755031;6247521 
8756424;6247524 
8754776;6247517 
8754543;6247522 
8753930;6247519 
8754100;6247518 
8754213;6247520 
8755530;6247520 
8754663;6247518 
8754499;6247522 
8756159;6247522 
8753814;6247516 
8753890;6247524 
8754031;6247516 
8755181;6247515 
8755360;6247521 
8754952;6247520 
8757064;6247518 
8754844;6247521 
8754768;6247523 
