CYCLES;INS
8754356;6247515 
8754625;6247514 
8754328;6247513 
8755548;6247516 
8755013;6247513 
8754941;6247518 
8754916;6247520 
8754539;6247513 
8754663;6247516 
8754387;6247515 
8754417;6247514 
8754977;6247515 
8754964;6247516 
8754441;6247516 
8754995;6247517 
8754654;6247516 
8754278;6247513 
8754774;6247513 
8754551;6247516 
8755343;6247512 
8754387;6247513 
8754668;6247515 
8754443;6247511 
8754940;6247519 
8754398;6247520 
8754988;6247516 
8754439;6247512 
8755154;6247519 
8754156;6247517 
8754574;6247518 
8754740;6247517 
8754835;6247516 
8754945;6247516 
8754512;6247515 
8755184;6247517 
8754925;6247517 
8754807;6247515 
8754707;6247515 
8754771;6247514 
8754675;6247516 
8754343;6247517 
8756039;6247515 
8754428;6247512 
8754992;6247516 
8754620;6247514 
8754367;6247516 
8754586;6247516 
8755293;6247514 
8754656;6247514 
8755231;6247515 
8754849;6247514 
8754313;6247512 
8755089;6247515 
8754664;6247515 
8755198;6247518 
8754170;6247516 
8755988;6247517 
8754528;6247511 
8754681;6247517 
8755061;6247517 
8754396;6247517 
8756357;6247516 
8754526;6247511 
8754527;6247517 
8754044;6247513 
8754752;6247515 
8754621;6247514 
8755077;6247515 
8755141;6247516 
8754678;6247515 
8755157;6247514 
8754520;6247515 
8754192;6247515 
8754801;6247520 
8754890;6247516 
8754147;6247515 
8754384;6247515 
8754814;6247515 
8754728;6247516 
8755753;6247518 
8755993;6247516 
8754885;6247521 
8754181;6247513 
8754352;6247516 
8754727;6247518 
8754854;6247513 
8754563;6247516 
8755546;6247517 
8755796;6247513 
8754429;6247516 
8755557;6247516 
8754832;6247512 
8755106;6247516 
8754737;6247516 
8756131;6247517 
8754266;6247514 
8754550;6247518 
8754715;6247517 
8754023;6247515 
8754992;6247517 
8755715;6247513 
8755671;6247516 
8754296;6247517 
8754712;6247516 
8755322;6247514 
8755229;6247517 
8754068;6247515 
8755158;6247516 
8754845;6247514 
8755078;6247517 
8754746;6247522 
8754726;6247515 
8754725;6247514 
8754668;6247514 
8755365;6247513 
8754777;6247514 
8754180;6247517 
8754614;6247518 
8754942;6247518 
8754649;6247517 
8754341;6247512 
8754354;6247517 
8754018;6247517 
8755067;6247518 
8755504;6247512 
8755647;6247513 
8754536;6247513 
8754210;6247517 
8754642;6247518 
8754548;6247514 
8755127;6247515 
8754764;6247516 
8754419;6247512 
8754498;6247517 
8755190;6247517 
8754590;6247517 
8755150;6247519 
8755077;6247518 
8754563;6247517 
8755489;6247517 
8754737;6247519 
