CYCLES;INS
8754041;6247513 
8754156;6247516 
8754918;6247522 
8753616;6247513 
8753992;6247520 
8753851;6247520 
8754264;6247514 
8755038;6247517 
8754439;6247524 
8753952;6247516 
8757406;6247515 
8754489;6247522 
8753601;6247510 
8753880;6247517 
8754308;6247517 
8753977;6247514 
8753950;6247518 
8754107;6247520 
8754325;6247514 
8754052;6247515 
8754398;6247519 
8755971;6247517 
8753859;6247515 
8755347;6247520 
8754727;6247515 
8755266;6247515 
8756053;6247517 
8754443;6247512 
8753700;6247515 
8754434;6247516 
8755624;6247516 
8754880;6247516 
8754421;6247518 
8755587;6247521 
8754260;6247517 
8754531;6247527 
8755728;6247514 
8756225;6247514 
8754089;6247516 
8754623;6247517 
8756733;6247518 
8754407;6247518 
8755803;6247514 
8753929;6247513 
8754158;6247515 
8755376;6247516 
8754149;6247516 
8755967;6247526 
8754457;6247516 
8754199;6247516 
8754555;6247520 
8753898;6247517 
8753970;6247516 
8755502;6247517 
8754028;6247518 
8754409;6247519 
8754785;6247518 
8754939;6247514 
8754785;6247513 
8754307;6247523 
8755872;6247517 
8754477;6247515 
8756332;6247523 
8754934;6247516 
8755612;6247516 
8754886;6247518 
8754001;6247513 
8754472;6247517 
8756163;6247520 
8754049;6247513 
8759213;6247520 
8754801;6247521 
8753952;6247513 
8755063;6247517 
8754955;6247515 
8753761;6247514 
8754043;6247518 
8755536;6247523 
8753932;6247516 
8754282;6247519 
8754199;6247513 
8754125;6247516 
8754427;6247523 
8754260;6247519 
8755572;6247517 
8754515;6247520 
8755530;6247518 
8753803;6247513 
8753680;6247517 
8753667;6247516 
8753953;6247514 
8755595;6247517 
8754069;6247518 
8754547;6247514 
8754631;6247520 
8755608;6247516 
8754317;6247517 
8755082;6247519 
8754426;6247517 
8753788;6247518 
8755098;6247520 
8753859;6247517 
8753927;6247520 
8753911;6247518 
8754503;6247517 
8753959;6247515 
8755015;6247522 
8755916;6247523 
8753845;6247516 
8754237;6247520 
8754290;6247520 
8754401;6247517 
8755789;6247519 
8755353;6247518 
8753897;6247517 
8755814;6247518 
8757437;6247518 
8754680;6247518 
8753911;6247518 
8754347;6247516 
8754314;6247513 
8754236;6247518 
8754653;6247520 
8754238;6247516 
8754561;6247519 
8753891;6247521 
8754282;6247515 
8755345;6247518 
8754867;6247519 
8753968;6247517 
8754853;6247518 
8756587;6247524 
8753997;6247518 
8753920;6247517 
8755883;6247524 
8754502;6247514 
8754916;6247518 
8755264;6247519 
8754705;6247519 
8755456;6247517 
8757414;6247519 
8753972;6247518 
8754169;6247519 
8755777;6247516 
8754075;6247519 
8755057;6247521 
8755464;6247524 
8753995;6247515 
8754674;6247518 
8753843;6247523 
8755506;6247521 
8753732;6247515 
8754020;6247518 
8754844;6247519 
8754079;6247520 
8754784;6247517 
8754090;6247523 
8754357;6247525 
8754847;6247517 
8754661;6247520 
8754568;6247519 
8754110;6247515 
8754855;6247516 
8754914;6247520 
8754182;6247519 
8753813;6247519 
8754318;6247521 
8753996;6247516 
8756530;6247520 
8754754;6247516 
8754216;6247520 
8754433;6247521 
8754686;6247521 
8754188;6247516 
8755943;6247518 
8755761;6247522 
8753753;6247518 
8754599;6247518 
8754316;6247521 
8754015;6247517 
8753935;6247517 
8753867;6247522 
8754535;6247516 
8755769;6247518 
8754539;6247523 
8754165;6247513 
8754804;6247521 
8755917;6247519 
8754267;6247514 
8757401;6247518 
8755430;6247518 
8753712;6247515 
8754290;6247518 
8754054;6247521 
8754198;6247517 
8754283;6247518 
8754668;6247521 
8753892;6247517 
8754008;6247521 
8754110;6247527 
8754032;6247517 
8754890;6247516 
8754557;6247522 
8754669;6247517 
8754500;6247517 
8754418;6247515 
8754213;6247518 
8753986;6247516 
8753998;6247516 
8756431;6247518 
8755236;6247516 
8754662;6247519 
8755298;6247515 
8754586;6247516 
8754358;6247521 
8754114;6247519 
8755033;6247519 
8755793;6247520 
8754146;6247514 
8754360;6247520 
8753921;6247517 
8753870;6247516 
8754364;6247515 
8753757;6247521 
8755891;6247518 
8754976;6247514 
8754562;6247522 
8754193;6247518 
8755921;6247517 
8754560;6247517 
8754305;6247516 
8758463;6247519 
8754359;6247519 
8754158;6247516 
8754223;6247519 
8754245;6247522 
8753787;6247514 
8755649;6247520 
8754245;6247518 
8753678;6247513 
8753998;6247519 
8754019;6247519 
8754175;6247518 
8755145;6247520 
8754534;6247522 
8754949;6247518 
8755086;6247516 
8754239;6247524 
8754952;6247514 
8754318;6247518 
8758650;6247521 
8754055;6247512 
8756589;6247515 
8754745;6247517 
8755154;6247516 
8755693;6247517 
8755473;6247515 
8753873;6247515 
8754124;6247519 
8754545;6247518 
8754423;6247519 
8755725;6247519 
8754405;6247521 
8755009;6247515 
8756419;6247519 
8754165;6247517 
8754201;6247516 
8754339;6247518 
8754500;6247515 
8754296;6247516 
8754227;6247521 
8754616;6247517 
8753753;6247517 
8754387;6247522 
8754696;6247523 
8754859;6247515 
8754589;6247520 
8755107;6247524 
8754205;6247515 
8756810;6247523 
8755293;6247518 
8753997;6247516 
8754639;6247521 
8754267;6247517 
8754016;6247515 
8754114;6247518 
8754318;6247518 
8756083;6247517 
8756585;6247517 
8754492;6247520 
8753942;6247518 
8755617;6247520 
8754794;6247520 
8753916;6247515 
8754763;6247520 
8754425;6247517 
8754260;6247520 
8753983;6247517 
8754268;6247519 
8753901;6247516 
8753976;6247518 
8754090;6247521 
8754023;6247516 
8754203;6247523 
8754443;6247516 
8754246;6247517 
8754370;6247518 
8754398;6247521 
8754161;6247517 
8755535;6247516 
8754262;6247520 
8754120;6247522 
8755230;6247520 
8754056;6247516 
8754040;6247516 
8754906;6247519 
8753927;6247519 
8753995;6247515 
8754360;6247516 
8755382;6247520 
8754905;6247517 
8753764;6247517 
8754754;6247523 
8755578;6247515 
8755094;6247519 
8754562;6247520 
8754242;6247517 
8757377;6247518 
8755142;6247517 
8753787;6247516 
8754454;6247515 
8753959;6247518 
8755505;6247516 
8753934;6247515 
8755691;6247521 
8753962;6247515 
8755350;6247516 
8754629;6247517 
8754176;6247515 
8757736;6247521 
8754949;6247522 
8754096;6247519 
8754195;6247517 
8756557;6247522 
8754846;6247514 
8754416;6247512 
8754611;6247519 
8754010;6247517 
8754706;6247517 
8754075;6247520 
8753751;6247516 
8753773;6247519 
8754364;6247520 
8754291;6247518 
8755397;6247516 
8753965;6247522 
8754324;6247518 
8754048;6247515 
8754158;6247515 
8754318;6247517 
8755079;6247518 
8754051;6247516 
8754215;6247514 
8755038;6247520 
8754234;6247517 
8753820;6247517 
8756145;6247516 
8754624;6247520 
8755147;6247517 
8754739;6247520 
8757162;6247519 
8754117;6247514 
8755618;6247519 
