CYCLES;INS
8755439;6247521 
8753901;6247513 
8754246;6247519 
8754285;6247520 
8753539;6247513 
8754671;6247515 
8754607;6247517 
8753919;6247519 
8754569;6247518 
8755833;6247517 
8754126;6247517 
8754891;6247518 
8754101;6247518 
8754850;6247514 
8755102;6247533 
8755549;6247519 
8755438;6247515 
8754248;6247517 
8753912;6247515 
8753919;6247514 
8754180;6247517 
8754533;6247520 
8754959;6247515 
8754552;6247522 
8754243;6247517 
8756892;6247514 
8755603;6247517 
8753803;6247515 
8754163;6247515 
8754555;6247519 
8754604;6247513 
8754099;6247514 
8753895;6247520 
8754078;6247515 
8753834;6247518 
8754888;6247524 
8753914;6247520 
8753952;6247516 
8754136;6247520 
8754474;6247517 
8754920;6247517 
8754081;6247520 
8754351;6247519 
8757193;6247519 
8754458;6247520 
8755310;6247516 
8755155;6247516 
8755914;6247519 
8754494;6247519 
8755080;6247517 
8755070;6247528 
8753895;6247520 
8754159;6247516 
8755397;6247523 
8754416;6247517 
8754467;6247516 
8757381;6247519 
8757624;6247514 
8755274;6247515 
8754736;6247519 
8755011;6247523 
8753753;6247519 
8754905;6247519 
8755270;6247513 
8754089;6247514 
8757379;6247517 
8754290;6247519 
8755415;6247515 
8756055;6247520 
8755171;6247518 
8755255;6247518 
8757964;6247522 
8755856;6247517 
8755321;6247518 
8757337;6247519 
8754766;6247520 
8755155;6247515 
8754169;6247520 
8754389;6247515 
8753746;6247513 
8753959;6247517 
8754309;6247516 
8754925;6247517 
8755726;6247519 
8754241;6247519 
8754149;6247513 
8754569;6247522 
8755286;6247519 
8755912;6247516 
8754220;6247521 
8754300;6247521 
8753939;6247516 
8753794;6247518 
8756463;6247515 
8754048;6247513 
8753764;6247518 
8756299;6247518 
8754295;6247513 
8754143;6247519 
8754364;6247518 
8754501;6247515 
8754232;6247518 
8754715;6247516 
8754391;6247519 
8754382;6247517 
8755457;6247523 
8754208;6247513 
8754565;6247518 
8757756;6247518 
8753636;6247512 
8753907;6247516 
8754430;6247520 
8753712;6247519 
8754791;6247520 
8755693;6247523 
8754351;6247517 
8754822;6247521 
8758203;6247520 
8753817;6247517 
