CYCLES;INS
8754862;6247520 
8753929;6247516 
8754278;6247524 
8753979;6247519 
8755114;6247520 
8754524;6247520 
8757515;6247520 
8754392;6247518 
8754218;6247522 
8755080;6247521 
8754167;6247522 
8754475;6247520 
8756814;6247518 
8755113;6247521 
8755455;6247527 
8755118;6247518 
8756071;6247519 
8754652;6247523 
8753663;6247514 
8755614;6247523 
8754861;6247524 
8754031;6247517 
8755066;6247524 
8754578;6247521 
8756000;6247517 
8756092;6247523 
8755671;6247521 
8754715;6247516 
8754505;6247519 
8756322;6247526 
8754148;6247513 
8755114;6247522 
8754306;6247525 
8754238;6247518 
8755137;6247523 
8756656;6247517 
8756328;6247518 
8755812;6247524 
8756368;6247528 
8754859;6247519 
8755796;6247524 
8754366;6247518 
8753900;6247518 
8754370;6247524 
8755571;6247518 
8753808;6247520 
8754076;6247521 
8755945;6247518 
8754315;6247521 
8755101;6247521 
8755160;6247518 
8754688;6247519 
8755023;6247522 
8754149;6247525 
8755196;6247521 
8756513;6247521 
8755594;6247522 
8753845;6247517 
8754123;6247521 
8754525;6247517 
8754935;6247519 
8753590;6247518 
8754815;6247530 
8754311;6247519 
8755375;6247523 
8755523;6247518 
8755039;6247519 
8755119;6247519 
8755366;6247520 
8755451;6247520 
8754985;6247521 
8756445;6247526 
8754356;6247518 
8753997;6247521 
8753843;6247520 
8755150;6247516 
8754246;6247524 
8754947;6247526 
8757243;6247519 
8755329;6247519 
8754786;6247519 
8754547;6247518 
8754212;6247522 
8754800;6247523 
8754094;6247517 
8754226;6247519 
8755914;6247530 
8753776;6247515 
8755529;6247517 
8753820;6247521 
8755149;6247514 
8754058;6247518 
8755597;6247528 
8754352;6247515 
8754933;6247521 
8755258;6247542 
8753706;6247517 
8754526;6247518 
8756555;6247522 
8754218;6247519 
8756420;6247521 
8754191;6247520 
8756460;6247516 
8755110;6247519 
8754710;6247519 
8754227;6247522 
8755920;6247522 
8753928;6247514 
8754754;6247524 
8755353;6247521 
8754686;6247521 
8754438;6247526 
8754150;6247519 
8753826;6247518 
8754214;6247524 
8755099;6247519 
8755425;6247517 
8758100;6247522 
8754064;6247518 
8754632;6247515 
8756198;6247520 
8753945;6247519 
8755819;6247520 
8754494;6247522 
8755694;6247519 
8754207;6247519 
8755393;6247524 
8753973;6247522 
8754920;6247520 
8755832;6247522 
8755254;6247527 
8754968;6247521 
8754441;6247520 
8755577;6247517 
8753701;6247520 
8755018;6247523 
8754393;6247522 
8757142;6247517 
8754183;6247522 
8755385;6247516 
8754492;6247516 
8754477;6247522 
8755785;6247521 
8754022;6247520 
8754295;6247521 
8755205;6247527 
8754004;6247523 
8754128;6247519 
8754319;6247520 
8755797;6247520 
8754884;6247519 
8756772;6247522 
8755114;6247521 
8755130;6247520 
8755023;6247529 
8753957;6247519 
8754320;6247520 
8754516;6247529 
8754149;6247516 
8755483;6247521 
8754434;6247522 
8753784;6247515 
8754705;6247524 
8753918;6247522 
8753751;6247513 
8755614;6247523 
8755209;6247523 
8754368;6247518 
8754286;6247524 
8755771;6247521 
8754801;6247516 
8754281;6247530 
8755699;6247523 
8754227;6247515 
8754535;6247528 
8754071;6247521 
8753672;6247518 
8754181;6247522 
8754621;6247522 
8754110;6247520 
8754316;6247524 
8756044;6247517 
8755204;6247519 
8754270;6247527 
8755193;6247523 
8756403;6247520 
8754763;6247523 
8754156;6247522 
8756659;6247520 
8754032;6247521 
8754365;6247518 
8754868;6247520 
8753826;6247517 
8754926;6247523 
8756578;6247519 
8754412;6247520 
8756604;6247528 
8753903;6247522 
8754783;6247520 
8755818;6247525 
8754689;6247520 
8756809;6247518 
8756117;6247527 
8753762;6247518 
8755814;6247518 
8753850;6247513 
8754065;6247517 
8754499;6247517 
8754107;6247519 
8754459;6247526 
8754408;6247518 
8756424;6247517 
8755531;6247522 
8753980;6247516 
8754379;6247515 
8754699;6247519 
8755766;6247516 
8754433;6247520 
8756733;6247519 
8754034;6247519 
8754565;6247516 
8753868;6247519 
8754145;6247524 
8754577;6247522 
8755867;6247522 
8754272;6247518 
8754728;6247515 
8754026;6247520 
8753974;6247517 
8754097;6247523 
8754387;6247524 
8755406;6247522 
8755644;6247519 
8754873;6247520 
8754128;6247521 
8754129;6247518 
8754699;6247524 
8754064;6247526 
8755738;6247518 
8755643;6247526 
8754846;6247521 
8755270;6247519 
8754976;6247524 
8755647;6247521 
8753884;6247518 
8753813;6247520 
8754270;6247529 
8753650;6247517 
8755505;6247519 
8755093;6247520 
8754362;6247517 
8754991;6247523 
8754716;6247527 
8755154;6247515 
8754124;6247522 
8754921;6247522 
8755679;6247517 
8754746;6247524 
8754989;6247523 
8754260;6247514 
8755496;6247525 
8756895;6247527 
8754452;6247515 
8754431;6247519 
8754264;6247520 
8754127;6247517 
8754514;6247523 
8755166;6247523 
8755808;6247522 
8754884;6247521 
8754565;6247525 
8757191;6247523 
8755940;6247522 
8754546;6247517 
8755266;6247518 
8755525;6247530 
8753581;6247518 
8753936;6247520 
8754421;6247523 
8755249;6247516 
8754327;6247520 
8758259;6247521 
8754706;6247540 
8754567;6247518 
8754157;6247524 
8756513;6247521 
8753872;6247519 
8756258;6247522 
8755950;6247518 
8755353;6247520 
8755182;6247522 
8754536;6247523 
8753663;6247521 
8756038;6247520 
8755005;6247526 
8754934;6247519 
8754346;6247524 
8754641;6247524 
8756053;6247519 
8755848;6247519 
8754264;6247521 
8753857;6247518 
8754135;6247519 
8755109;6247522 
8755198;6247516 
8755993;6247516 
8754992;6247514 
8754822;6247522 
8755000;6247521 
8754712;6247518 
8755572;6247527 
8755657;6247517 
8754733;6247515 
8755202;6247524 
8756701;6247527 
8753841;6247517 
8756249;6247523 
8755346;6247525 
8754333;6247518 
