CYCLES;INS
8754690;6247518 
8754332;6247521 
8754102;6247520 
8753863;6247517 
8754428;6247519 
8755078;6247517 
8754276;6247521 
8755186;6247522 
8755106;6247519 
8755161;6247519 
8754438;6247519 
8755078;6247523 
8754194;6247522 
8755264;6247520 
8758002;6247522 
8754372;6247520 
8755208;6247518 
8753742;6247518 
8754044;6247519 
8755034;6247524 
8754272;6247525 
8754458;6247517 
8754379;6247523 
8754519;6247517 
8754095;6247518 
8755928;6247521 
8754261;6247523 
8754231;6247518 
8755407;6247516 
8757278;6247518 
8756085;6247518 
8755600;6247515 
8753997;6247517 
8754507;6247518 
8754911;6247525 
8755099;6247519 
8754861;6247518 
8754838;6247524 
8754808;6247519 
8755143;6247519 
8754415;6247523 
8754490;6247523 
8754380;6247521 
8754406;6247522 
8754230;6247516 
8757169;6247520 
8754142;6247519 
8753683;6247517 
8754580;6247520 
8754569;6247525 
8754517;6247516 
8755121;6247520 
8754141;6247521 
8754476;6247520 
8754668;6247520 
8754124;6247518 
8754707;6247518 
8755503;6247520 
8755015;6247521 
8759148;6247517 
8754217;6247518 
8755133;6247523 
8754687;6247518 
8755888;6247518 
8756851;6247523 
8754711;6247518 
8755451;6247516 
8755477;6247528 
8756385;6247520 
8757479;6247518 
8754696;6247528 
8755369;6247517 
8754451;6247514 
8754561;6247527 
8754526;6247520 
8754561;6247516 
8754747;6247521 
8758099;6247517 
8753907;6247515 
8754134;6247523 
8755508;6247517 
8754153;6247521 
8755433;6247524 
8755612;6247519 
8754266;6247514 
8754590;6247525 
8754055;6247518 
8754337;6247515 
8754320;6247524 
8755683;6247519 
8754110;6247514 
8755588;6247524 
8753887;6247518 
8755111;6247517 
8755338;6247525 
8754815;6247516 
8754997;6247517 
8754253;6247525 
8755431;6247521 
8754124;6247513 
8755232;6247522 
8753981;6247522 
8755833;6247517 
8754162;6247521 
8754030;6247519 
8753766;6247514 
8754300;6247516 
8754055;6247520 
8754050;6247522 
8755649;6247525 
8754341;6247519 
8754531;6247515 
8754310;6247527 
8755202;6247519 
8755289;6247518 
8754088;6247525 
8755197;6247521 
8754025;6247516 
8753925;6247519 
8755246;6247519 
8755072;6247518 
8755011;6247521 
8754886;6247522 
8755064;6247519 
8755970;6247522 
8755468;6247518 
8754070;6247523 
8754817;6247524 
8754064;6247520 
8754387;6247521 
8756332;6247524 
8754062;6247519 
8756218;6247518 
8754535;6247523 
8755607;6247516 
8754914;6247515 
8755064;6247522 
8754271;6247521 
8754839;6247524 
8754910;6247523 
8756777;6247524 
8754488;6247520 
8754185;6247523 
8755681;6247521 
8754275;6247517 
8755640;6247526 
8755190;6247523 
8754208;6247522 
8754536;6247519 
8754539;6247519 
8754233;6247517 
8754096;6247516 
8755192;6247521 
8754619;6247517 
8755330;6247526 
8754351;6247528 
8754310;6247517 
8754004;6247523 
8754648;6247519 
8753904;6247522 
8755023;6247521 
8755263;6247520 
8754413;6247518 
8754304;6247519 
8754606;6247525 
8754504;6247517 
8754342;6247517 
8756093;6247522 
8754897;6247523 
8756330;6247542 
8755826;6247529 
8754464;6247518 
8755884;6247521 
8754849;6247526 
8756904;6247522 
8755603;6247523 
8755124;6247525 
8755587;6247517 
8754325;6247517 
8754214;6247523 
8754313;6247518 
8754940;6247528 
8756632;6247522 
8753919;6247516 
8754755;6247519 
8754551;6247521 
8753842;6247518 
8754645;6247523 
8754245;6247524 
8753824;6247513 
8755424;6247523 
8755416;6247521 
8756366;6247516 
8755329;6247518 
8755021;6247518 
8755232;6247516 
8755354;6247519 
8754038;6247526 
8755782;6247520 
8755795;6247523 
8754340;6247524 
8755263;6247519 
8755202;6247517 
8754742;6247523 
8754045;6247517 
8754202;6247518 
8755883;6247521 
8754819;6247519 
8754478;6247516 
8755565;6247521 
8753983;6247519 
8755731;6247522 
8755318;6247525 
8756193;6247520 
8754306;6247518 
8755786;6247524 
8754888;6247517 
8754961;6247520 
8757155;6247522 
8754203;6247518 
8754376;6247517 
8755255;6247523 
8753572;6247520 
8754280;6247523 
8753909;6247529 
8753556;6247517 
8754214;6247521 
8755550;6247521 
8754597;6247519 
8754721;6247523 
8754938;6247526 
8754799;6247516 
8754550;6247517 
8754190;6247521 
8756894;6247523 
8755167;6247519 
8757047;6247519 
8754321;6247525 
8754931;6247520 
8754580;6247525 
8754024;6247518 
8754521;6247517 
8754460;6247522 
8754346;6247520 
8753973;6247518 
8754485;6247524 
8755832;6247518 
8756310;6247519 
8754568;6247528 
8757011;6247517 
8754331;6247518 
8754749;6247525 
8753617;6247521 
8755055;6247518 
8754408;6247521 
8754965;6247518 
8754636;6247526 
8754347;6247520 
8754424;6247517 
8754288;6247518 
8754052;6247524 
8755658;6247524 
8754563;6247523 
8754510;6247525 
8754022;6247522 
8754521;6247520 
8754808;6247524 
8754310;6247520 
8754638;6247519 
8754341;6247525 
8754472;6247517 
8753978;6247519 
8755017;6247528 
8754895;6247519 
8754573;6247518 
8755275;6247523 
8754602;6247519 
8754410;6247517 
8754972;6247523 
8755310;6247519 
8756510;6247522 
8754100;6247522 
8754018;6247517 
8755744;6247517 
8754542;6247523 
8755010;6247516 
8754911;6247518 
8754215;6247524 
8755059;6247521 
8754121;6247520 
8754799;6247523 
8754100;6247519 
8756432;6247518 
8754805;6247526 
8756043;6247517 
8755678;6247518 
8755145;6247521 
8753978;6247514 
8754441;6247519 
8754859;6247519 
8753835;6247516 
8754377;6247522 
8754826;6247526 
8754262;6247520 
8754094;6247519 
8755742;6247523 
8753862;6247517 
8754777;6247518 
8756633;6247522 
8754258;6247514 
8754834;6247522 
8753925;6247518 
8754142;6247517 
8754111;6247519 
8754057;6247518 
8754581;6247520 
8754217;6247519 
8755242;6247523 
8754576;6247518 
8755514;6247522 
8755219;6247531 
8754298;6247519 
8755292;6247517 
8756187;6247522 
8754567;6247514 
8755059;6247517 
8754357;6247521 
8755641;6247517 
8755085;6247520 
8754602;6247519 
8754334;6247515 
8755969;6247518 
8756116;6247522 
8754661;6247521 
8754146;6247522 
8754015;6247525 
8754982;6247516 
8756519;6247520 
8756399;6247522 
8754865;6247516 
8754362;6247520 
8755871;6247518 
8756874;6247515 
8754944;6247518 
8754217;6247520 
8754493;6247520 
8755076;6247521 
8754598;6247517 
8754027;6247522 
8754840;6247518 
8756332;6247517 
8754536;6247520 
8754652;6247519 
8755177;6247519 
8756183;6247517 
8755860;6247518 
8755965;6247520 
8753746;6247518 
8753941;6247518 
8753692;6247518 
8754537;6247520 
8755568;6247519 
8756768;6247521 
8754044;6247526 
8755074;6247523 
8755283;6247519 
8755696;6247523 
8755542;6247520 
8755232;6247523 
8755043;6247523 
8754259;6247524 
8754415;6247520 
8754364;6247518 
8754466;6247520 
8753889;6247518 
8753917;6247519 
8757941;6247516 
8754185;6247520 
8754289;6247520 
8754952;6247520 
8755651;6247520 
8755214;6247519 
8754865;6247520 
8754361;6247522 
8754503;6247521 
8754890;6247519 
8754526;6247517 
8753705;6247520 
8756173;6247517 
8754073;6247517 
8757375;6247523 
8754800;6247520 
8755520;6247520 
8754295;6247519 
8754881;6247522 
8755561;6247523 
8754152;6247520 
8754430;6247518 
8756500;6247524 
8754956;6247520 
8754792;6247518 
8755467;6247524 
8753772;6247519 
8754410;6247517 
8754400;6247522 
8753838;6247519 
8755644;6247519 
8754992;6247523 
8755232;6247520 
8753934;6247515 
8755895;6247523 
8755425;6247520 
8754241;6247518 
8754619;6247522 
8755404;6247523 
8754572;6247515 
8754330;6247524 
8754316;6247517 
8755366;6247516 
8754192;6247522 
8754663;6247520 
8755501;6247516 
8754762;6247526 
8754574;6247521 
8754237;6247517 
8755814;6247523 
8754871;6247521 
8755228;6247517 
8756475;6247530 
8754762;6247520 
8754830;6247518 
8754391;6247520 
8754251;6247518 
8754799;6247519 
8754325;6247523 
8756194;6247521 
8755343;6247517 
8754828;6247522 
8755091;6247521 
8754805;6247518 
8754820;6247522 
8754460;6247520 
8755145;6247514 
8754417;6247526 
8756315;6247516 
8754059;6247514 
8755742;6247525 
8753694;6247517 
8756014;6247514 
8755700;6247518 
8754594;6247521 
8754480;6247520 
8754639;6247518 
8755178;6247524 
8754605;6247521 
8755846;6247521 
8754722;6247521 
8754225;6247519 
8756874;6247521 
8756698;6247519 
8754644;6247521 
8754184;6247519 
8756983;6247523 
8755325;6247523 
8754916;6247520 
8755768;6247527 
8753857;6247517 
8753945;6247518 
8753873;6247522 
8754453;6247520 
8754600;6247519 
8754525;6247521 
8755032;6247521 
8755188;6247521 
8756497;6247519 
8753812;6247519 
8754221;6247521 
8754309;6247521 
8754669;6247525 
8755788;6247521 
8753631;6247520 
8754316;6247520 
8753790;6247515 
8754052;6247517 
8754917;6247522 
8754471;6247518 
8754526;6247521 
8755361;6247525 
8754559;6247516 
8754192;6247518 
8756350;6247521 
8754186;6247519 
8756928;6247520 
8755793;6247524 
8754754;6247516 
8754358;6247522 
8754440;6247518 
8754059;6247518 
8754393;6247524 
8754741;6247525 
8754384;6247519 
8754187;6247519 
8754586;6247521 
8756338;6247518 
8755547;6247518 
8754583;6247523 
8754225;6247514 
8754806;6247523 
8754399;6247522 
8753561;6247513 
8754179;6247519 
8753984;6247529 
8754074;6247516 
8754632;6247521 
8757498;6247525 
8754113;6247517 
8754545;6247525 
8755558;6247523 
8755948;6247517 
8755876;6247521 
8755673;6247527 
8756485;6247513 
8754808;6247520 
8754808;6247522 
8754375;6247515 
8754450;6247520 
8755390;6247526 
8755227;6247519 
8754072;6247526 
8754487;6247526 
8755464;6247517 
8754344;6247527 
8755331;6247521 
8754088;6247516 
8754490;6247524 
8754985;6247528 
8754570;6247514 
8754122;6247528 
8755910;6247523 
8754193;6247514 
8755246;6247524 
8754572;6247523 
8754098;6247515 
8754797;6247520 
8755555;6247524 
8755108;6247521 
8754485;6247522 
8755425;6247522 
8754179;6247515 
8754388;6247522 
8756184;6247519 
8757265;6247517 
8754702;6247528 
8756461;6247524 
8755302;6247515 
8753980;6247523 
8755260;6247524 
8754162;6247518 
8754800;6247526 
8755241;6247524 
8754067;6247518 
8754955;6247526 
8754581;6247522 
8755555;6247518 
8755037;6247525 
8754361;6247519 
8754329;6247521 
8754350;6247524 
8754836;6247518 
8754281;6247515 
8754592;6247523 
8755655;6247521 
8754554;6247520 
8755999;6247527 
8755506;6247525 
8754562;6247524 
8755123;6247519 
8754094;6247520 
8753928;6247522 
8755175;6247522 
8754726;6247521 
8755313;6247519 
8754835;6247525 
8757016;6247520 
8757986;6247520 
8753965;6247522 
8753760;6247523 
8754955;6247520 
8755759;6247519 
8754119;6247522 
8754841;6247519 
8756655;6247520 
8754670;6247523 
8755116;6247517 
8754196;6247519 
8754527;6247519 
8755805;6247519 
