CYCLES;INS
543873;411136 
542376;411132 
542342;411132 
542411;411133 
541383;411134 
543793;411136 
541953;411134 
541665;411133 
542548;411134 
543215;411134 
542040;411137 
541818;411134 
544838;411135 
544356;411138 
542944;411134 
541997;411133 
541722;411136 
544179;411137 
544450;411133 
544176;411137 
541921;411132 
541944;411134 
543763;411135 
542556;411135 
543345;411133 
542240;411133 
543771;411132 
544608;411135 
544019;411135 
541542;411135 
542185;411137 
542603;411135 
544808;411135 
542209;411134 
542648;411137 
543377;411131 
542116;411135 
542480;411136 
545117;411133 
542005;411136 
542264;411135 
542277;411134 
542245;411135 
541608;411129 
541805;411133 
541836;411133 
542501;411133 
544472;411134 
541768;411132 
543073;411136 
541342;411132 
542672;411136 
542187;411132 
542222;411132 
542368;411135 
543433;411131 
542072;411136 
544300;411135 
544209;411134 
544298;411136 
543395;411133 
542861;411134 
542249;411139 
543958;411135 
544535;411134 
542223;411133 
543603;411139 
541833;411136 
542475;411137 
542629;411134 
543210;411133 
544140;411132 
543435;411131 
541658;411134 
544757;411136 
541700;411132 
542246;411135 
544604;411132 
542305;411135 
542232;411135 
542023;411133 
543259;411135 
542070;411133 
542287;411138 
541937;411134 
541799;411136 
543728;411133 
542322;411134 
542697;411133 
541907;411132 
541864;411134 
544685;411134 
542432;411135 
543345;411133 
543979;411132 
541996;411137 
543627;411131 
542850;411136 
541851;411135 
541799;411133 
542186;411141 
541687;411130 
542207;411135 
541688;411133 
544200;411133 
543599;411132 
544368;411130 
542639;411136 
542632;411135 
543986;411133 
541972;411134 
541594;411134 
541647;411136 
544236;411135 
541929;411137 
544462;411137 
541910;411130 
542513;411134 
543085;411134 
543737;411132 
542581;411132 
542394;411136 
541802;411132 
541863;411133 
541642;411130 
541889;411132 
542566;411132 
543829;411135 
543775;411132 
544054;411133 
541582;411133 
544530;411137 
543131;411134 
542456;411133 
542735;411135 
541735;411134 
542082;411137 
541164;411132 
541692;411134 
542533;411135 
543996;411135 
541321;411134 
543690;411134 
541744;411134 
541977;411133 
544190;411134 
543755;411134 
542834;411135 
542248;411135 
543719;411138 
544387;411135 
541991;411140 
542759;411136 
544338;411134 
541816;411132 
541506;411135 
544374;411133 
542413;411135 
542052;411131 
544252;411130 
543952;411135 
543076;411134 
541397;411135 
542069;411132 
544054;411135 
541746;411135 
542297;411136 
541774;411134 
541724;411132 
541912;411132 
544293;411134 
542776;411136 
541680;411135 
541748;411134 
542355;411134 
541656;411135 
542936;411135 
544159;411138 
541692;411133 
541949;411135 
541644;411136 
544062;411136 
543962;411136 
542052;411133 
543486;411133 
542310;411136 
541849;411135 
541627;411132 
543719;411135 
542357;411137 
542327;411133 
542388;411132 
542590;411135 
541948;411133 
541526;411135 
543895;411133 
542165;411135 
544585;411135 
542418;411137 
542161;411133 
544507;411132 
542045;411132 
544170;411135 
543768;411134 
541692;411131 
541483;411131 
541941;411132 
544132;411135 
542692;411132 
542107;411131 
543902;411136 
542123;411139 
542138;411133 
544044;411134 
542625;411135 
543575;411135 
541831;411132 
543188;411138 
542007;411135 
542338;411135 
543084;411135 
541789;411134 
542858;411134 
542238;411135 
542192;411136 
543403;411134 
542435;411132 
541668;411136 
542592;411136 
541724;411133 
543352;411136 
542817;411135 
541852;411133 
542729;411137 
543693;411132 
541603;411133 
544026;411132 
544343;411132 
542217;411134 
541542;411136 
542991;411135 
542219;411133 
544715;411137 
541794;411134 
543940;411134 
544388;411137 
543097;411134 
543367;411138 
541361;411135 
544638;411135 
544280;411137 
541996;411134 
544361;411132 
544151;411131 
542011;411134 
543752;411133 
541940;411134 
542316;411137 
542405;411135 
543843;411137 
542091;411133 
543826;411134 
544515;411137 
544509;411135 
541434;411132 
542553;411134 
541601;411131 
543502;411132 
542095;411132 
542119;411135 
542922;411136 
542336;411136 
541754;411133 
542125;411136 
541566;411134 
544056;411133 
541525;411133 
541655;411136 
544029;411134 
542142;411133 
541911;411133 
542286;411134 
542164;411131 
541360;411134 
542746;411135 
542483;411140 
542305;411136 
544287;411133 
542702;411140 
543616;411132 
544477;411135 
541631;411135 
541841;411133 
543695;411135 
541820;411132 
544385;411135 
542046;411134 
542719;411134 
542210;411133 
541655;411134 
541932;411134 
541785;411133 
542014;411135 
542201;411131 
542489;411134 
542676;411139 
542799;411133 
541449;411133 
541938;411133 
543897;411134 
544796;411134 
542863;411133 
544204;411135 
542705;411135 
542172;411138 
544064;411135 
543615;411136 
543620;411132 
541714;411132 
542464;411135 
542067;411134 
544702;411138 
544208;411139 
544659;411138 
543841;411133 
544296;411134 
544412;411133 
543386;411130 
541765;411135 
544140;411134 
542501;411133 
541779;411133 
543890;411133 
543037;411135 
542194;411132 
542073;411135 
543630;411137 
544105;411133 
542603;411135 
542783;411134 
542251;411138 
542235;411135 
543821;411135 
543823;411135 
542953;411134 
543876;411134 
543465;411136 
541974;411133 
542716;411135 
541847;411132 
541864;411132 
542792;411137 
541747;411134 
543981;411134 
544116;411134 
543970;411133 
543385;411136 
542184;411138 
541406;411132 
542306;411132 
542099;411136 
543074;411134 
544174;411136 
542513;411135 
542267;411136 
544777;411137 
542152;411131 
544244;411133 
543992;411134 
541684;411133 
542127;411134 
543804;411135 
542450;411133 
544282;411132 
542840;411133 
541757;411135 
542447;411132 
542083;411134 
541946;411132 
543344;411133 
542245;411137 
543494;411133 
544078;411136 
541713;411132 
544264;411138 
541463;411134 
542926;411132 
542069;411133 
542302;411141 
544058;411135 
541708;411132 
542443;411135 
542174;411132 
544403;411135 
542563;411137 
542559;411134 
543865;411135 
541927;411136 
544074;411133 
543036;411133 
543124;411137 
543709;411135 
542433;411135 
541809;411134 
542344;411133 
542644;411137 
542387;411135 
543970;411133 
543561;411136 
541861;411135 
541782;411133 
544159;411138 
543341;411134 
544087;411134 
544418;411141 
541729;411133 
542482;411136 
541070;411133 
542464;411130 
542038;411137 
542379;411133 
541979;411133 
