CYCLES;INS
543566;411189 
542391;411191 
541547;411185 
541084;411187 
543929;411188 
541722;411188 
541403;411190 
541767;411187 
542038;411194 
543666;411191 
542129;411188 
541079;411188 
540797;411187 
542059;411188 
541135;411186 
541607;411190 
541881;411190 
541486;411188 
542341;411189 
541647;411188 
542337;411187 
542733;411187 
541386;411189 
541874;411190 
542697;411188 
541640;411193 
541351;411190 
541370;411188 
543943;411188 
541893;411187 
541454;411189 
541349;411187 
544055;411190 
544136;411189 
542914;411188 
543717;411189 
541916;411189 
541388;411188 
541711;411187 
541606;411189 
543724;411188 
542317;411188 
544271;411190 
542763;411188 
543582;411189 
541760;411189 
541619;411191 
544304;411189 
542092;411191 
541225;411188 
542090;411190 
544344;411189 
541487;411190 
541234;411188 
541292;411185 
541139;411189 
544639;411190 
542253;411187 
542712;411187 
544042;411190 
542936;411191 
541606;411188 
541845;411187 
541670;411189 
541658;411189 
540996;411188 
543860;411188 
542343;411187 
541694;411190 
541955;411192 
541332;411190 
543204;411187 
542074;411189 
541992;411188 
541835;411189 
544119;411187 
542167;411189 
541130;411187 
541682;411188 
541432;411189 
543663;411188 
541152;411185 
542533;411189 
543778;411187 
544843;411192 
542017;411188 
543949;411188 
542434;411189 
541363;411188 
542931;411186 
541450;411190 
541403;411188 
541657;411188 
543843;411195 
543685;411185 
541335;411190 
542244;411187 
541351;411189 
543483;411188 
541501;411189 
541909;411189 
541746;411192 
543932;411190 
543634;411191 
543832;411188 
542614;411188 
541152;411189 
542979;411188 
541594;411190 
541550;411187 
542059;411193 
541774;411190 
541103;411188 
541364;411188 
542968;411189 
541728;411187 
543527;411188 
543636;411191 
541984;411191 
544687;411191 
541889;411192 
542476;411187 
542303;411186 
541437;411190 
541157;411188 
541555;411189 
540881;411186 
542746;411189 
542141;411186 
541573;411189 
541665;411188 
543157;411188 
542682;411188 
541571;411187 
541891;411186 
542428;411192 
541653;411189 
541883;411190 
541755;411189 
540998;411187 
542050;411188 
541791;411188 
541263;411188 
543682;411186 
541253;411193 
541546;411188 
543544;411189 
543681;411188 
542026;411190 
541565;411188 
542478;411188 
541567;411192 
543408;411193 
541756;411187 
541406;411188 
541856;411186 
541568;411187 
544080;411188 
541294;411186 
543886;411188 
541176;411189 
542218;411190 
542826;411189 
541880;411191 
542069;411189 
544205;411191 
541442;411188 
541725;411187 
541525;411188 
544170;411191 
541478;411191 
541757;411189 
542976;411188 
543571;411189 
541368;411186 
542651;411192 
541760;411191 
541987;411189 
544187;411191 
541084;411185 
541726;411189 
541737;411189 
541918;411191 
541903;411187 
542830;411189 
543047;411186 
541622;411193 
541786;411189 
543183;411189 
541937;411188 
541481;411187 
541772;411187 
541982;411188 
541381;411189 
541738;411193 
543975;411191 
542560;411190 
543732;411186 
541878;411188 
544137;411189 
541842;411187 
542966;411188 
541120;411189 
541784;411194 
541570;411187 
543466;411187 
543537;411189 
541677;411188 
541395;411189 
542062;411188 
541547;411192 
541905;411190 
544095;411188 
541164;411191 
541583;411186 
541691;411189 
542038;411188 
541316;411186 
542946;411190 
541714;411189 
543579;411191 
541135;411186 
543777;411186 
543825;411189 
541789;411187 
542567;411188 
541814;411190 
542891;411192 
543695;411186 
542811;411189 
543486;411188 
542431;411189 
543495;411188 
541618;411187 
543437;411190 
541582;411188 
541945;411188 
541613;411191 
541833;411190 
542787;411185 
541979;411187 
540965;411186 
541978;411189 
541499;411190 
542005;411192 
541351;411186 
541655;411186 
544003;411188 
541318;411188 
541666;411187 
542117;411189 
541561;411188 
542245;411193 
542826;411188 
541346;411187 
544347;411188 
542119;411188 
541729;411189 
541599;411192 
542170;411188 
543995;411192 
541922;411191 
543271;411188 
541601;411192 
541354;411191 
541596;411189 
541621;411188 
541690;411188 
542314;411191 
542232;411192 
542177;411188 
541922;411188 
543636;411189 
541503;411189 
543736;411189 
