CYCLES;INS
542653;411136 
541315;411133 
541150;411133 
542983;411139 
541527;411138 
541226;411136 
544323;411139 
541477;411135 
541019;411134 
541684;411131 
541512;411134 
541588;411136 
541278;411133 
542996;411134 
540789;411134 
543207;411134 
541240;411130 
542670;411133 
543707;411136 
541255;411133 
541855;411134 
543559;411131 
543584;411132 
541695;411136 
543756;411137 
541966;411137 
543300;411133 
541424;411134 
541840;411134 
543281;411135 
542442;411136 
541314;411132 
543624;411134 
542702;411135 
541545;411130 
541789;411138 
541309;411134 
541414;411134 
541347;411134 
542168;411135 
541232;411133 
543138;411135 
542766;411133 
541768;411133 
543711;411134 
541261;411137 
541559;411134 
542227;411141 
543012;411132 
541406;411138 
541035;411134 
541669;411134 
543331;411135 
543826;411134 
541179;411133 
542172;411133 
542013;411133 
542199;411136 
541965;411137 
541779;411135 
542709;411133 
541280;411136 
543496;411134 
543794;411133 
541960;411134 
543801;411133 
543774;411135 
541450;411133 
542511;411135 
543110;411134 
543372;411133 
541798;411135 
541253;411133 
543084;411141 
541683;411133 
541701;411135 
542851;411135 
543323;411134 
543596;411135 
541100;411132 
541813;411135 
540939;411135 
542478;411137 
541015;411136 
543081;411134 
542306;411137 
542064;411132 
541755;411132 
543570;411136 
541499;411136 
541719;411134 
541425;411134 
544175;411136 
542604;411134 
541276;411134 
541470;411132 
543935;411134 
544321;411136 
541534;411138 
541529;411132 
541603;411134 
541424;411130 
541821;411137 
542835;411135 
543216;411134 
543768;411134 
541885;411135 
540945;411135 
541230;411133 
541725;411137 
541537;411138 
541363;411137 
543579;411134 
542526;411136 
542033;411138 
541983;411136 
542025;411134 
543145;411136 
543715;411136 
541779;411132 
543845;411131 
543831;411134 
541555;411132 
542436;411133 
541569;411135 
540865;411135 
541576;411135 
543659;411135 
542720;411137 
541698;411132 
543236;411133 
543860;411133 
541009;411134 
541952;411132 
541066;411135 
543568;411136 
540941;411133 
541508;411136 
541825;411133 
541352;411134 
543759;411137 
543070;411134 
541695;411136 
541564;411131 
543453;411136 
543163;411134 
541657;411133 
543809;411136 
541192;411134 
541519;411134 
542088;411135 
542839;411131 
541744;411139 
541384;411133 
543836;411137 
542304;411134 
542690;411135 
543655;411139 
543045;411134 
541761;411134 
542573;411132 
541872;411137 
542439;411135 
543527;411134 
543763;411136 
541123;411136 
544153;411137 
543221;411131 
543258;411133 
543037;411131 
541167;411136 
541246;411135 
541479;411134 
543216;411132 
543338;411131 
541856;411133 
542706;411138 
541653;411132 
543542;411136 
541149;411134 
543501;411136 
544176;411137 
541453;411133 
541649;411135 
543196;411134 
541135;411137 
541561;411135 
541640;411136 
541339;411137 
544102;411134 
540893;411133 
542782;411134 
542796;411135 
542012;411132 
541546;411133 
541385;411134 
543170;411135 
543652;411136 
541062;411133 
541787;411136 
541983;411137 
543535;411135 
541546;411135 
543899;411135 
541472;411134 
541312;411135 
542797;411134 
543813;411136 
