CYCLES;INS
541796;411188 
542723;411193 
541840;411188 
541879;411194 
541849;411189 
544432;411191 
544409;411189 
544332;411186 
541754;411188 
541889;411192 
541926;411187 
541970;411188 
541181;411188 
541336;411192 
542579;411190 
541919;411190 
543650;411188 
541679;411187 
542420;411191 
541364;411189 
544370;411191 
541508;411189 
542732;411191 
542774;411189 
544108;411191 
541515;411187 
541810;411190 
541177;411187 
543361;411189 
543805;411190 
541172;411187 
543957;411191 
543504;411187 
543690;411188 
541756;411189 
541575;411191 
543630;411188 
541724;411187 
542087;411188 
542154;411190 
543446;411189 
541624;411189 
543041;411186 
543265;411190 
541369;411188 
541624;411189 
543812;411192 
541762;411189 
543908;411188 
543512;411186 
542177;411191 
543644;411187 
541390;411186 
541968;411187 
541132;411187 
541288;411186 
541146;411186 
543438;411186 
543438;411191 
541675;411188 
543110;411187 
541601;411190 
543975;411187 
541494;411188 
541229;411188 
541552;411189 
543045;411187 
541390;411190 
541894;411190 
542581;411190 
541663;411186 
541318;411187 
541714;411189 
541581;411191 
542468;411192 
543817;411190 
541577;411190 
541633;411187 
541554;411189 
542171;411191 
543509;411188 
544175;411189 
541204;411188 
541399;411190 
544288;411189 
541767;411186 
542033;411186 
541626;411189 
541229;411187 
541560;411188 
541802;411192 
541422;411188 
541404;411187 
541927;411189 
542141;411188 
543960;411187 
541637;411185 
542997;411188 
541113;411187 
543457;411190 
543720;411189 
543219;411188 
541500;411188 
542653;411192 
541317;411190 
541821;411192 
541396;411187 
544146;411190 
543545;411189 
541655;411186 
541311;411187 
542114;411189 
541521;411188 
542554;411189 
542679;411190 
542009;411187 
542755;411186 
541653;411187 
541811;411188 
542578;411188 
544172;411190 
541597;411187 
544215;411191 
544351;411189 
541315;411189 
543567;411189 
543097;411188 
543348;411188 
541954;411188 
542070;411188 
543717;411188 
541517;411193 
543369;411187 
542892;411186 
541270;411189 
541325;411189 
541024;411190 
541242;411188 
541609;411189 
542880;411190 
541272;411186 
544173;411189 
543522;411189 
541592;411188 
541154;411189 
543637;411188 
541661;411191 
541239;411186 
541148;411188 
541404;411188 
541549;411188 
543042;411190 
543356;411187 
540912;411189 
542124;411190 
541754;411189 
543696;411185 
544134;411187 
541705;411192 
541576;411186 
541758;411190 
541688;411189 
541798;411187 
541608;411189 
541612;411188 
541637;411190 
541650;411189 
544549;411190 
543682;411189 
542586;411187 
541822;411189 
543233;411189 
542122;411190 
541958;411187 
544019;411188 
544447;411189 
542098;411191 
543733;411188 
541512;411189 
541768;411187 
543803;411188 
541787;411190 
541614;411188 
542125;411192 
543543;411190 
543860;411186 
541979;411191 
540998;411188 
541615;411189 
541721;411190 
544179;411188 
542114;411193 
542080;411189 
541386;411187 
541470;411187 
542036;411192 
542094;411188 
543060;411190 
544931;411187 
544019;411186 
541801;411186 
541683;411189 
543741;411189 
541959;411191 
544037;411189 
543887;411187 
543828;411190 
541666;411187 
544039;411188 
543693;411187 
543928;411191 
541652;411189 
541523;411186 
542525;411189 
543782;411190 
541604;411189 
541227;411186 
544282;411185 
544851;411193 
541850;411191 
541418;411187 
541935;411189 
542636;411188 
541775;411187 
541641;411189 
541521;411187 
540760;411187 
544020;411191 
541681;411188 
542122;411188 
543288;411188 
541367;411191 
543899;411188 
541393;411192 
541168;411192 
542082;411190 
541383;411188 
543484;411185 
541962;411187 
541605;411189 
541856;411189 
543782;411190 
543903;411189 
541879;411190 
541564;411188 
541961;411190 
541563;411187 
541404;411189 
541058;411188 
541759;411190 
544293;411194 
541679;411186 
541706;411187 
542276;411190 
541513;411187 
542894;411189 
541554;411188 
542386;411188 
543511;411188 
541493;411187 
543986;411188 
543315;411189 
543456;411187 
