CYCLES;INS
542059;411192 
542414;411189 
544148;411187 
542610;411189 
543777;411188 
543225;411185 
542519;411192 
541404;411187 
543848;411191 
543013;411187 
541745;411191 
543247;411189 
541643;411188 
541537;411188 
542606;411189 
541632;411194 
542265;411189 
541791;411189 
541559;411188 
541816;411187 
543245;411186 
542048;411187 
542525;411192 
541446;411188 
541593;411191 
541133;411188 
541203;411189 
542365;411188 
541183;411188 
542331;411191 
542070;411190 
541532;411188 
541890;411188 
541859;411189 
542986;411190 
543788;411191 
541658;411187 
543640;411190 
541602;411190 
543038;411187 
541928;411189 
541651;411190 
542541;411190 
541786;411191 
542007;411188 
542149;411187 
541831;411189 
543194;411190 
543773;411187 
541284;411187 
541524;411186 
541606;411190 
541050;411188 
543938;411189 
541937;411189 
541395;411188 
542983;411187 
542068;411188 
541581;411188 
541908;411188 
541535;411189 
541501;411188 
542091;411190 
541750;411187 
541281;411188 
544221;411192 
541633;411186 
541325;411190 
543811;411188 
542851;411189 
541560;411189 
542288;411190 
544059;411192 
543520;411185 
543491;411187 
543172;411188 
541807;411189 
542163;411189 
543018;411187 
542462;411194 
542072;411188 
541628;411189 
542129;411188 
542254;411192 
541755;411189 
541743;411189 
541672;411187 
543317;411190 
541779;411188 
542157;411190 
541347;411190 
541753;411189 
543374;411190 
543384;411188 
541913;411187 
541731;411190 
541968;411187 
543436;411190 
543516;411188 
541522;411186 
541527;411187 
541677;411188 
541866;411189 
541239;411190 
541714;411192 
544137;411189 
542916;411192 
541929;411190 
540880;411190 
542007;411192 
541885;411188 
543911;411188 
542064;411189 
540726;411187 
543376;411189 
542489;411190 
543402;411188 
541271;411188 
543578;411192 
541254;411186 
543678;411188 
542695;411189 
541670;411189 
544016;411193 
541883;411189 
541319;411188 
541563;411187 
541629;411186 
542700;411194 
542057;411189 
542836;411188 
542435;411192 
542500;411190 
542243;411192 
543786;411187 
542210;411190 
542341;411188 
541931;411189 
542202;411189 
541866;411188 
541586;411188 
542131;411187 
543739;411190 
541276;411186 
541741;411187 
543738;411191 
541592;411190 
541725;411189 
541859;411188 
543903;411190 
541684;411196 
541192;411187 
541904;411188 
541307;411189 
541092;411187 
543656;411188 
541373;411188 
542356;411189 
542859;411189 
541389;411192 
542236;411188 
541987;411188 
542026;411189 
541920;411189 
541957;411195 
541754;411191 
543640;411189 
542119;411190 
541740;411189 
544861;411190 
541665;411187 
541588;411189 
541605;411189 
542019;411189 
543097;411189 
541391;411188 
541466;411190 
542762;411188 
541241;411189 
542121;411188 
541756;411189 
544114;411192 
543490;411188 
541048;411188 
544131;411187 
543876;411187 
542026;411189 
541930;411187 
541670;411189 
542856;411187 
542223;411190 
541631;411190 
541474;411188 
541415;411188 
542878;411189 
541888;411192 
542774;411187 
543879;411189 
541281;411190 
541829;411187 
542017;411190 
541903;411189 
541883;411191 
544066;411192 
542065;411186 
541221;411190 
542179;411187 
544095;411191 
543237;411188 
541925;411187 
542088;411192 
543932;411190 
541674;411190 
543692;411189 
541831;411192 
541528;411191 
544165;411189 
541410;411189 
541842;411188 
543810;411190 
541487;411187 
541806;411191 
542104;411193 
541689;411189 
541605;411189 
541518;411187 
542005;411189 
541701;411190 
541251;411186 
541380;411188 
541420;411188 
542054;411193 
541689;411186 
541435;411189 
541505;411190 
543516;411189 
542193;411191 
541168;411187 
543536;411191 
542705;411192 
541637;411188 
542030;411189 
541587;411188 
541819;411190 
541257;411186 
541538;411190 
541685;411189 
541511;411187 
543076;411190 
541364;411188 
541486;411191 
541641;411188 
541693;411189 
544370;411192 
541921;411188 
541689;411190 
542028;411190 
541821;411191 
541908;411190 
542130;411187 
541680;411190 
541591;411186 
541437;411187 
544024;411191 
541520;411189 
541557;411193 
541651;411189 
541430;411192 
541467;411189 
541180;411189 
541439;411191 
542300;411190 
541668;411187 
541741;411190 
541522;411189 
541839;411193 
541489;411187 
542794;411187 
541772;411188 
544206;411188 
542086;411187 
541284;411191 
541710;411188 
541852;411188 
543910;411192 
541979;411189 
541524;411186 
541925;411190 
541312;411187 
542323;411190 
541693;411188 
542453;411189 
542622;411187 
541343;411188 
543984;411195 
543629;411187 
541163;411188 
543532;411187 
542700;411187 
543097;411189 
543199;411191 
542204;411190 
541183;411188 
541801;411187 
541436;411189 
541819;411188 
542798;411185 
543650;411189 
541604;411191 
543452;411187 
541477;411191 
543723;411191 
541831;411189 
541950;411190 
542378;411189 
541510;411191 
541612;411191 
541322;411188 
543970;411193 
541800;411190 
541724;411187 
540865;411188 
542088;411190 
541546;411187 
541626;411186 
543479;411193 
541564;411187 
543889;411189 
541314;411189 
541069;411189 
541672;411190 
541656;411189 
541826;411191 
542066;411189 
543529;411189 
541898;411191 
543657;411187 
543939;411189 
541439;411186 
542154;411189 
543717;411190 
541929;411192 
542017;411189 
543942;411189 
542306;411189 
542476;411188 
542271;411193 
541695;411187 
542095;411192 
541699;411190 
541519;411189 
543947;411190 
542102;411189 
541617;411188 
541990;411192 
541332;411189 
541493;411187 
544429;411191 
541559;411187 
541347;411186 
541411;411188 
541719;411187 
542452;411191 
542041;411192 
542244;411190 
543997;411190 
543540;411190 
542793;411188 
541687;411188 
542163;411189 
543490;411190 
542690;411189 
541020;411191 
543550;411187 
543886;411190 
543341;411190 
543691;411189 
544005;411191 
541761;411190 
544327;411189 
542083;411186 
541405;411187 
541758;411185 
541751;411188 
543536;411190 
542395;411189 
541491;411194 
541932;411188 
541876;411189 
542243;411194 
541457;411186 
541671;411191 
543896;411187 
540996;411186 
542022;411192 
543886;411187 
541279;411186 
541744;411187 
543747;411187 
541516;411187 
541415;411187 
541075;411188 
541549;411190 
545665;411191 
541719;411189 
543400;411188 
543427;411188 
542553;411187 
542610;411192 
541679;411186 
542096;411189 
541362;411190 
540870;411187 
544404;411192 
543391;411187 
543876;411192 
542199;411188 
541658;411190 
542928;411191 
543524;411188 
542885;411191 
541781;411187 
541110;411189 
543810;411189 
542172;411187 
543421;411188 
542074;411189 
542435;411189 
541569;411190 
542030;411189 
542267;411190 
543744;411187 
543569;411192 
542214;411188 
542277;411189 
542202;411189 
542539;411188 
543717;411188 
541404;411188 
543628;411191 
541283;411189 
543585;411189 
542063;411189 
541789;411188 
541498;411190 
541286;411188 
541625;411187 
541885;411188 
541454;411187 
541221;411187 
541392;411188 
541713;411189 
542059;411188 
543587;411186 
543657;411188 
541478;411191 
542893;411190 
542401;411188 
541770;411191 
541688;411186 
541518;411189 
543873;411193 
542117;411187 
544403;411193 
543527;411186 
541344;411188 
542484;411193 
543717;411189 
542979;411186 
541194;411188 
543310;411187 
541835;411194 
544548;411189 
541391;411188 
541893;411190 
544396;411192 
543291;411185 
541118;411186 
541981;411188 
542026;411187 
541740;411194 
542529;411190 
542249;411188 
541372;411186 
543068;411190 
541378;411189 
543618;411189 
541785;411188 
541930;411190 
541935;411190 
541356;411189 
541354;411190 
541706;411191 
541426;411186 
543188;411186 
541879;411188 
541585;411187 
543978;411193 
541695;411190 
541744;411188 
543724;411188 
543258;411187 
543932;411191 
541527;411187 
543531;411189 
541514;411190 
543449;411190 
541400;411187 
542490;411189 
542877;411191 
541590;411186 
543784;411190 
541787;411191 
541848;411187 
542489;411186 
543248;411186 
541975;411195 
541569;411187 
541164;411189 
541615;411187 
542083;411189 
542057;411188 
543791;411188 
541455;411189 
541851;411188 
543625;411186 
542918;411189 
541266;411190 
541964;411193 
541617;411187 
544045;411191 
543374;411191 
542155;411186 
542552;411193 
542517;411190 
541717;411187 
542037;411190 
