CYCLES;INS
541648;411193 
541811;411189 
543108;411188 
541863;411187 
544211;411188 
543972;411189 
543848;411188 
541439;411189 
543819;411187 
544200;411193 
542557;411189 
541132;411188 
543996;411188 
541530;411188 
543401;411192 
543392;411189 
543578;411189 
541525;411192 
543643;411187 
542385;411196 
542224;411187 
541441;411189 
541845;411189 
542693;411187 
541944;411190 
543110;411189 
542003;411191 
543984;411189 
542006;411190 
541639;411188 
541370;411190 
544361;411192 
541986;411189 
543725;411194 
541833;411190 
541377;411187 
541758;411192 
543404;411187 
541112;411190 
541494;411189 
541699;411191 
542151;411187 
540980;411187 
541667;411189 
543565;411186 
541676;411192 
542914;411188 
541922;411189 
540817;411186 
542599;411187 
543866;411190 
541826;411189 
541660;411189 
543523;411189 
543300;411187 
541638;411190 
543799;411191 
541628;411190 
542972;411188 
544139;411191 
542206;411189 
541115;411191 
541712;411189 
543279;411187 
542324;411194 
543358;411189 
541595;411188 
541838;411190 
541746;411190 
542907;411189 
544683;411190 
541312;411187 
543883;411192 
541024;411188 
543810;411188 
543541;411188 
543327;411188 
541628;411191 
541264;411188 
543824;411191 
543051;411189 
543556;411190 
543977;411186 
541811;411189 
541388;411192 
541786;411187 
542007;411190 
541192;411188 
541287;411188 
543172;411191 
543373;411186 
543660;411189 
541490;411189 
541764;411186 
543789;411189 
541625;411188 
542042;411187 
541853;411191 
542028;411190 
543863;411188 
543527;411191 
541176;411188 
542721;411189 
543788;411190 
543124;411190 
541488;411188 
541381;411189 
543066;411187 
541675;411190 
541633;411188 
542296;411187 
542266;411188 
541608;411189 
542032;411186 
541026;411190 
541739;411189 
541304;411186 
542111;411194 
541090;411187 
543289;411187 
541636;411194 
541941;411190 
542233;411187 
541402;411188 
541362;411189 
541813;411196 
544118;411191 
543845;411188 
543140;411189 
541047;411191 
541249;411188 
543225;411190 
542265;411190 
542842;411191 
542061;411196 
543854;411190 
543083;411190 
541585;411187 
541377;411187 
541662;411194 
541287;411186 
544279;411189 
542285;411192 
541822;411191 
542084;411188 
541310;411186 
541046;411189 
544218;411189 
543661;411188 
541565;411189 
