CYCLES;INS
542009;411190 
542527;411189 
542737;411188 
541732;411188 
541185;411188 
541461;411187 
542021;411190 
540864;411190 
542201;411191 
541463;411190 
544281;411188 
541707;411188 
541763;411189 
541317;411187 
543207;411188 
541645;411187 
541680;411188 
541646;411188 
540871;411188 
541621;411189 
541655;411191 
542050;411189 
541892;411187 
542160;411189 
541437;411186 
543543;411190 
541013;411188 
542755;411190 
541562;411188 
541485;411188 
540948;411186 
543299;411187 
541864;411189 
541429;411191 
542980;411192 
541414;411187 
542875;411189 
541447;411187 
541119;411188 
542088;411189 
541373;411188 
541759;411188 
541261;411188 
542858;411187 
541882;411187 
542634;411191 
543627;411188 
542524;411195 
541397;411187 
543579;411185 
542791;411188 
541608;411188 
541834;411186 
542970;411191 
541566;411186 
542864;411188 
541169;411189 
541463;411190 
541617;411188 
542206;411190 
542725;411190 
543121;411189 
541352;411190 
541803;411189 
541685;411188 
543896;411188 
541525;411188 
541305;411186 
541186;411187 
542691;411191 
541618;411187 
541617;411189 
541185;411189 
541914;411193 
543826;411189 
541240;411189 
541706;411188 
541363;411189 
542270;411189 
541196;411189 
541767;411191 
541240;411186 
541378;411188 
543339;411186 
543184;411188 
541813;411189 
541532;411193 
541817;411187 
541847;411190 
541634;411187 
541574;411190 
541338;411190 
541536;411192 
543732;411188 
543466;411187 
541591;411187 
543885;411188 
541662;411191 
541666;411189 
541673;411191 
543685;411190 
543258;411189 
541548;411188 
544433;411189 
541766;411188 
541968;411192 
541206;411189 
540931;411191 
541191;411187 
541820;411189 
542704;411189 
541462;411185 
544758;411195 
543626;411189 
541987;411191 
541572;411189 
541436;411189 
542286;411188 
541811;411189 
541363;411188 
541808;411189 
541090;411189 
541294;411190 
542516;411190 
541864;411188 
541626;411186 
544059;411191 
541625;411187 
542019;411188 
542019;411188 
543429;411189 
542160;411191 
542144;411187 
541586;411191 
541533;411190 
541303;411187 
541021;411189 
541295;411188 
544292;411194 
543553;411193 
541532;411189 
541305;411187 
541560;411187 
541607;411187 
543458;411189 
541689;411188 
543844;411188 
542889;411186 
542922;411187 
541469;411191 
544092;411188 
541897;411194 
543536;411187 
542518;411188 
541081;411189 
541061;411186 
543552;411190 
541373;411190 
543575;411187 
541911;411188 
541937;411189 
544215;411189 
541838;411192 
540931;411187 
542018;411190 
542592;411187 
543587;411189 
542021;411188 
541832;411193 
542428;411188 
541418;411190 
541746;411189 
543653;411186 
543780;411190 
541228;411187 
544381;411194 
540948;411189 
542969;411190 
541245;411187 
541429;411189 
540867;411187 
542218;411191 
542239;411188 
543942;411190 
543618;411187 
541140;411187 
541325;411189 
541565;411191 
540898;411190 
541376;411190 
543292;411187 
543671;411188 
543678;411189 
541433;411185 
542436;411191 
541854;411189 
541798;411187 
540968;411188 
541586;411188 
543950;411189 
542862;411190 
542058;411193 
542604;411189 
541554;411190 
541522;411187 
542882;411191 
543524;411188 
542448;411190 
541514;411188 
541680;411187 
541475;411186 
543210;411187 
543774;411187 
541498;411187 
541657;411190 
543572;411188 
543847;411188 
543376;411189 
543963;411189 
541227;411187 
541766;411192 
541489;411190 
541608;411188 
541771;411188 
541516;411189 
543441;411189 
541886;411189 
541960;411191 
541392;411188 
541509;411187 
541508;411186 
541850;411188 
541410;411190 
544062;411190 
541684;411188 
541256;411190 
541427;411189 
541567;411190 
541887;411188 
541195;411187 
543814;411193 
543594;411186 
541572;411188 
541134;411189 
541530;411188 
541637;411188 
542843;411190 
541504;411190 
556556;411190 
541186;411188 
543319;411188 
543445;411186 
541420;411185 
546095;411190 
541384;411186 
543017;411189 
541562;411190 
541268;411186 
541716;411189 
542051;411189 
542268;411187 
542103;411188 
541385;411189 
541504;411187 
541362;411186 
544146;411189 
542195;411191 
541574;411190 
541517;411189 
543725;411189 
541806;411188 
541349;411188 
541706;411192 
543390;411187 
541606;411189 
542859;411189 
541559;411187 
541938;411188 
541504;411186 
541373;411189 
541671;411189 
543860;411188 
543569;411189 
544295;411188 
541885;411190 
544541;411188 
541401;411190 
541530;411189 
541565;411185 
543548;411186 
541635;411188 
541068;411189 
544086;411193 
540921;411187 
541290;411188 
543362;411188 
543820;411188 
542273;411190 
541602;411190 
542594;411190 
542743;411187 
541797;411188 
541233;411188 
542534;411188 
542088;411187 
542145;411193 
541165;411187 
541286;411191 
543338;411189 
542042;411186 
541451;411187 
542782;411187 
544123;411187 
542058;411192 
541640;411187 
542314;411188 
542205;411188 
543902;411188 
542541;411191 
541187;411189 
541646;411188 
541591;411190 
542238;411192 
541097;411189 
542151;411190 
541608;411187 
542035;411189 
541466;411189 
541541;411190 
543533;411189 
542029;411189 
543812;411187 
541824;411189 
542251;411189 
541918;411189 
541413;411187 
543303;411189 
541472;411191 
543188;411187 
541790;411190 
542899;411187 
543527;411185 
542631;411188 
541431;411189 
541199;411189 
541555;411189 
541005;411190 
541961;411189 
541440;411189 
541587;411189 
542305;411191 
541268;411187 
542398;411188 
541879;411187 
541656;411189 
543360;411188 
541527;411188 
542177;411190 
541060;411188 
542090;411188 
541733;411189 
541493;411188 
544162;411189 
541693;411189 
541291;411185 
542102;411192 
543388;411186 
544060;411188 
541664;411189 
543607;411189 
541690;411192 
541683;411189 
541475;411187 
543840;411189 
543006;411189 
541145;411188 
541644;411189 
540672;411189 
541451;411190 
543544;411189 
543017;411189 
543672;411189 
541321;411190 
544110;411187 
541907;411191 
542355;411192 
540878;411188 
541607;411189 
541421;411187 
541559;411188 
541547;411188 
544379;411189 
541304;411187 
541316;411190 
541498;411188 
541192;411188 
542366;411189 
544395;411187 
541191;411186 
541336;411186 
541819;411191 
541814;411190 
541299;411189 
542144;411188 
541647;411189 
542070;411191 
540720;411189 
541072;411190 
541795;411187 
542172;411188 
544210;411188 
541997;411191 
541023;411187 
541401;411187 
541000;411187 
543390;411188 
543539;411188 
543540;411190 
541909;411188 
543283;411191 
541279;411189 
540703;411188 
542489;411190 
543812;411190 
542604;411192 
541785;411189 
541603;411189 
543437;411188 
542001;411188 
543488;411189 
541503;411191 
541877;411189 
541215;411189 
541895;411187 
541681;411187 
542380;411195 
543289;411187 
542079;411188 
541354;411189 
541523;411188 
544005;411187 
544677;411191 
542726;411188 
543268;411192 
541858;411187 
541447;411188 
544203;411191 
