CYCLES;INS
543778;411188 
541706;411190 
541441;411189 
541704;411188 
541592;411187 
541515;411189 
542853;411188 
542567;411191 
542873;411188 
541684;411192 
541849;411190 
541577;411188 
543923;411188 
541551;411190 
541325;411190 
543225;411190 
543294;411192 
542806;411188 
541748;411187 
543525;411189 
542890;411188 
542487;411185 
543549;411187 
556935;411189 
544548;411191 
541768;411187 
541998;411188 
542997;411188 
541923;411188 
541929;411190 
543315;411188 
542260;411190 
541270;411187 
542100;411189 
541912;411190 
541554;411191 
542104;411189 
543658;411189 
542683;411188 
544032;411191 
541646;411188 
541513;411190 
541869;411188 
543720;411189 
541124;411187 
541687;411187 
541903;411192 
544042;411190 
541794;411188 
543563;411189 
541647;411190 
542259;411188 
541508;411189 
543399;411188 
541887;411191 
541314;411190 
543487;411188 
543285;411187 
541179;411190 
542483;411189 
541283;411186 
543387;411188 
541195;411188 
542663;411189 
541350;411185 
542868;411188 
541277;411190 
541837;411190 
543389;411187 
543097;411192 
543592;411188 
541345;411188 
541849;411187 
541320;411187 
542702;411189 
541452;411189 
544064;411189 
541548;411187 
541626;411191 
544054;411189 
543044;411188 
543241;411188 
541844;411189 
543649;411189 
543911;411189 
541465;411190 
541155;411185 
541424;411189 
542836;411187 
542280;411188 
541485;411188 
541757;411189 
541479;411186 
541274;411191 
542597;411186 
542141;411189 
540890;411186 
541643;411190 
541732;411188 
541712;411190 
541829;411189 
541694;411189 
541547;411187 
541217;411186 
542003;411190 
541811;411188 
541874;411192 
541584;411187 
541645;411190 
544452;411188 
541435;411188 
542076;411188 
541655;411188 
541454;411190 
544112;411193 
543952;411187 
541096;411190 
544022;411187 
541288;411190 
541407;411191 
543211;411189 
543634;411191 
542119;411188 
541686;411193 
541973;411190 
541603;411186 
541611;411187 
541649;411191 
542152;411190 
541639;411191 
541963;411190 
543433;411188 
543365;411188 
541361;411191 
541491;411191 
543621;411187 
541855;411192 
541224;411189 
541334;411190 
542193;411190 
542066;411191 
540916;411186 
541665;411190 
541209;411187 
543528;411189 
543313;411188 
541601;411189 
541606;411188 
541550;411190 
542383;411187 
541385;411187 
541221;411190 
541569;411190 
541540;411189 
543239;411191 
542418;411191 
541367;411189 
542516;411188 
543280;411189 
541346;411188 
541709;411188 
541136;411189 
541169;411187 
544474;411191 
541748;411189 
541598;411189 
541345;411188 
541677;411189 
542974;411191 
541093;411188 
541502;411193 
543619;411188 
542726;411191 
543236;411187 
542059;411189 
543935;411187 
542534;411192 
543216;411189 
543591;411191 
543400;411186 
541715;411189 
543161;411189 
543368;411188 
543384;411189 
541998;411190 
542623;411192 
541191;411187 
542928;411189 
544017;411188 
541921;411189 
541534;411187 
541660;411192 
541528;411189 
542698;411193 
543502;411189 
543136;411189 
541287;411188 
543092;411186 
541226;411188 
543003;411187 
543962;411194 
541992;411191 
541865;411186 
541578;411187 
541424;411189 
542304;411188 
541955;411188 
541067;411189 
541440;411190 
543808;411189 
542561;411189 
541911;411190 
541722;411189 
540970;411189 
541803;411190 
541776;411190 
541461;411190 
541023;411188 
541470;411187 
540861;411190 
541393;411188 
542130;411190 
541207;411187 
542078;411191 
541494;411185 
541491;411188 
541611;411190 
541234;411190 
541707;411189 
542745;411189 
542021;411189 
543901;411189 
541512;411191 
542645;411189 
541620;411189 
542247;411190 
541272;411190 
541943;411188 
541653;411189 
543252;411189 
541269;411189 
542565;411187 
541267;411189 
541900;411188 
541218;411188 
541741;411192 
541747;411189 
541899;411187 
541588;411188 
541629;411187 
542833;411189 
541917;411186 
543821;411188 
541417;411188 
543488;411187 
543326;411188 
542853;411189 
542073;411189 
541799;411187 
541262;411187 
543476;411190 
541478;411189 
543582;411191 
541176;411190 
543684;411187 
541379;411190 
541719;411193 
541478;411188 
541442;411189 
543681;411191 
542090;411189 
543814;411190 
542314;411190 
541372;411190 
544056;411188 
541995;411191 
541246;411188 
542106;411190 
541746;411190 
543940;411189 
543296;411188 
543422;411188 
542293;411190 
541154;411192 
541465;411187 
542084;411187 
541738;411187 
544060;411190 
541338;411187 
541338;411188 
541522;411192 
541734;411186 
541897;411190 
543758;411189 
541614;411190 
541822;411187 
543661;411190 
543388;411187 
542897;411188 
542034;411190 
541597;411188 
541069;411190 
541876;411188 
541669;411190 
541831;411189 
541864;411192 
543666;411186 
542287;411187 
541506;411190 
541039;411187 
541715;411193 
544280;411189 
541267;411189 
542355;411193 
543428;411189 
542848;411187 
543898;411188 
541148;411188 
541598;411191 
541072;411187 
541646;411190 
541811;411191 
542904;411191 
541444;411190 
543130;411187 
543336;411188 
541790;411188 
543807;411188 
542353;411190 
541824;411190 
541681;411189 
541415;411189 
541563;411188 
543815;411187 
541280;411189 
543681;411191 
542833;411187 
543894;411192 
543471;411190 
541591;411188 
541434;411191 
541688;411188 
541591;411189 
544057;411191 
541532;411189 
542001;411189 
541439;411189 
544235;411189 
541773;411188 
541559;411190 
543708;411188 
542001;411188 
544052;411193 
541847;411190 
541340;411188 
543666;411187 
541078;411188 
541459;411189 
543240;411191 
540666;411188 
542441;411187 
541850;411186 
543746;411190 
541473;411189 
541373;411190 
541564;411191 
541523;411190 
541844;411189 
541680;411188 
544144;411190 
543847;411187 
541717;411189 
541334;411187 
541625;411192 
543279;411190 
541546;411187 
541225;411189 
542966;411188 
541814;411189 
542996;411188 
543003;411193 
542377;411188 
542222;411189 
541149;411189 
543498;411190 
543906;411190 
543129;411189 
541585;411190 
542115;411191 
541576;411188 
541443;411189 
544015;411187 
542441;411187 
544040;411190 
540836;411187 
541681;411193 
541618;411190 
542071;411191 
540952;411186 
541450;411189 
541456;411190 
542164;411191 
543555;411189 
541698;411191 
541221;411190 
541744;411191 
543564;411191 
543228;411190 
543948;411188 
541419;411185 
541916;411190 
542763;411190 
544626;411192 
541431;411190 
541762;411188 
542109;411190 
541595;411188 
544248;411189 
541961;411188 
542878;411193 
541707;411189 
541110;411188 
541730;411187 
541024;411187 
543539;411188 
541638;411189 
541825;411189 
542047;411193 
541399;411188 
541229;411189 
541206;411187 
543881;411191 
541784;411188 
543402;411188 
542991;411188 
541805;411188 
541006;411185 
541391;411189 
541575;411189 
543324;411188 
542997;411189 
543541;411185 
544422;411191 
541626;411189 
544194;411188 
542046;411189 
541968;411188 
542420;411190 
541942;411190 
542381;411191 
541999;411190 
542692;411189 
541426;411186 
541501;411187 
541643;411187 
543162;411188 
541499;411187 
542677;411192 
542248;411188 
541999;411189 
542008;411187 
541120;411188 
543500;411190 
543901;411188 
544015;411190 
543591;411186 
541729;411189 
543552;411188 
541869;411189 
541053;411187 
542119;411188 
541695;411187 
543981;411190 
542261;411188 
542026;411189 
541468;411189 
544060;411189 
541277;411187 
542482;411188 
541727;411191 
542016;411192 
541460;411188 
541496;411188 
543934;411188 
543730;411188 
543436;411187 
541843;411190 
543696;411189 
541746;411189 
543242;411190 
543186;411209 
541478;411185 
541545;411190 
541427;411189 
543877;411193 
541238;411188 
542114;411191 
542053;411187 
541572;411187 
541827;411188 
542364;411190 
541298;411189 
541661;411190 
541616;411187 
543670;411191 
541414;411188 
541568;411189 
543172;411190 
541951;411188 
541122;411190 
541771;411191 
543892;411187 
542158;411187 
541612;411187 
541830;411189 
541486;411189 
541020;411189 
542378;411190 
543797;411189 
541491;411186 
541385;411190 
543297;411187 
543826;411188 
542025;411189 
542260;411190 
543822;411189 
541831;411187 
544220;411188 
541650;411189 
540787;411189 
543405;411190 
541469;411186 
540931;411191 
542342;411190 
540934;411187 
541045;411187 
541842;411189 
541702;411189 
541121;411186 
541592;411190 
543495;411189 
541499;411190 
540848;411186 
541832;411188 
541901;411188 
544268;411189 
543871;411188 
542152;411192 
541520;411189 
541336;411189 
541729;411190 
543362;411190 
543865;411186 
543715;411189 
542555;411190 
541826;411191 
541231;411188 
543089;411189 
542818;411189 
543999;411186 
541799;411189 
541147;411188 
541799;411190 
543644;411188 
541687;411186 
541919;411188 
541354;411188 
541051;411188 
541074;411190 
544660;411192 
543281;411189 
543752;411189 
541602;411187 
542416;411191 
543107;411190 
541810;411188 
543426;411187 
541673;411191 
541518;411186 
541001;411189 
541166;411188 
541902;411187 
541310;411189 
543626;411187 
541943;411192 
541832;411186 
543638;411185 
544134;411186 
541653;411188 
542479;411187 
541548;411188 
541168;411189 
541926;411193 
543584;411187 
541816;411189 
541538;411188 
541426;411189 
544651;411189 
542150;411186 
544084;411195 
542318;411191 
543841;411186 
543325;411187 
543728;411188 
543378;411189 
542873;411192 
543833;411190 
