CYCLES;INS
543574;411189 
541951;411190 
541097;411188 
542160;411187 
541391;411187 
541162;411191 
541929;411191 
541611;411190 
543465;411188 
542020;411188 
541780;411188 
544318;411191 
543388;411189 
542334;411190 
543752;411192 
541741;411190 
541703;411188 
541794;411189 
541811;411189 
544219;411189 
543554;411190 
541803;411189 
541987;411189 
541805;411187 
543322;411190 
544005;411189 
540718;411188 
541971;411187 
541172;411191 
541505;411189 
542570;411188 
543656;411191 
541778;411188 
541825;411188 
542113;411190 
541466;411189 
541114;411187 
542201;411189 
542036;411190 
541235;411189 
542860;411189 
542206;411190 
543923;411187 
541581;411190 
543556;411189 
541602;411188 
542139;411190 
541955;411187 
541624;411194 
542063;411188 
543661;411188 
542108;411189 
541092;411188 
543705;411186 
541477;411187 
543567;411190 
541566;411189 
541677;411188 
541488;411189 
542848;411191 
542139;411193 
542909;411188 
542642;411186 
545303;411189 
541499;411188 
543951;411192 
543887;411185 
542184;411189 
541440;411190 
544352;411190 
543887;411187 
541955;411187 
541803;411191 
543654;411187 
541624;411187 
541702;411188 
543524;411188 
544036;411193 
544011;411191 
541634;411187 
541843;411188 
541796;411190 
541960;411187 
542510;411188 
542079;411188 
541513;411189 
541517;411189 
541449;411187 
541582;411186 
541810;411193 
566553;411188 
555962;411191 
575250;411188 
552525;411189 
545394;411187 
544067;411188 
557496;411192 
548285;411188 
543164;411188 
557209;411188 
601281;411190 
541839;411189 
558822;411189 
586775;411187 
544372;411188 
582044;411189 
549492;411186 
549231;411190 
544275;411188 
559859;411190 
542620;411187 
542747;411188 
541641;411189 
544553;411189 
543235;411188 
543816;411189 
541851;411189 
541524;411190 
543514;411188 
542440;411189 
542187;411188 
542368;411190 
543362;411190 
543812;411189 
543246;411189 
542975;411193 
541525;411188 
541742;411191 
543898;411188 
543781;411207 
543933;411189 
541690;411188 
543362;411189 
541853;411190 
544049;411188 
541947;411190 
543042;411187 
541114;411187 
541413;411188 
541678;411189 
541116;411190 
541864;411188 
541911;411190 
541678;411189 
543678;411187 
542917;411191 
541578;411186 
542586;411191 
542044;411190 
541641;411189 
541840;411194 
541266;411188 
541179;411187 
541724;411188 
543959;411186 
542216;411188 
541494;411188 
543319;411190 
541560;411188 
541424;411189 
541124;411189 
541973;411187 
541656;411190 
543209;411188 
541718;411188 
542905;411194 
541479;411189 
543680;411190 
541040;411188 
543350;411187 
541135;411188 
542948;411190 
542808;411189 
543411;411190 
541224;411189 
542778;411193 
542679;411188 
541823;411191 
543669;411187 
543364;411187 
541534;411188 
541831;411186 
543537;411191 
541612;411187 
543567;411191 
541786;411189 
543081;411187 
542631;411187 
541494;411189 
542516;411187 
541662;411188 
543522;411188 
541683;411189 
541970;411188 
542539;411194 
544213;411189 
543579;411190 
542318;411191 
541514;411190 
541774;411189 
542855;411188 
543965;411188 
542037;411187 
541124;411189 
541331;411188 
542554;411189 
541743;411190 
542063;411187 
541002;411186 
542077;411189 
544180;411190 
542784;411191 
543479;411189 
543021;411186 
543986;411188 
543868;411188 
543277;411189 
542341;411191 
544257;411187 
541899;411188 
541636;411187 
541544;411189 
544339;411189 
541975;411192 
541528;411188 
543315;411190 
541720;411193 
542009;411187 
541805;411189 
543584;411190 
543677;411188 
541622;411192 
541857;411186 
544087;411188 
544042;411188 
541556;411188 
541483;411188 
543162;411190 
541884;411189 
541451;411190 
541771;411189 
541678;411187 
541597;411188 
543839;411191 
541288;411188 
541653;411186 
542621;411192 
541462;411192 
543411;411192 
543835;411189 
542194;411190 
543392;411189 
543638;411189 
543516;411191 
544264;411190 
541502;411187 
541657;411189 
541464;411189 
543166;411187 
541246;411188 
544525;411194 
541870;411188 
543855;411189 
541675;411190 
543761;411187 
544579;411191 
541186;411187 
543213;411189 
541660;411188 
541458;411188 
542217;411190 
541725;411189 
542561;411187 
542025;411188 
541546;411189 
542118;411192 
541829;411190 
541334;411190 
544281;411190 
541795;411188 
543766;411190 
541586;411191 
541632;411189 
543463;411189 
541807;411190 
541724;411190 
541802;411189 
541435;411194 
541708;411188 
541467;411191 
541637;411188 
541131;411189 
544455;411191 
541138;411188 
542131;411192 
544461;411191 
542175;411190 
544283;411194 
541633;411190 
544089;411187 
541538;411188 
541439;411188 
542948;411195 
541268;411187 
542005;411189 
543014;411190 
541604;411186 
541782;411188 
542189;411188 
544698;411190 
541464;411189 
543318;411189 
543848;411189 
541370;411189 
541303;411193 
542085;411189 
542130;411189 
542015;411189 
542088;411192 
541639;411188 
541637;411190 
541663;411189 
541591;411186 
541466;411188 
541301;411191 
542019;411188 
543537;411189 
542884;411190 
541576;411188 
543040;411193 
543029;411186 
541368;411187 
541278;411187 
541929;411188 
542717;411189 
543300;411189 
541484;411191 
543904;411188 
541686;411190 
541562;411187 
542142;411188 
541789;411194 
541703;411193 
541345;411190 
542245;411195 
542256;411187 
544163;411191 
541704;411189 
541524;411192 
542622;411187 
541178;411189 
543640;411190 
541188;411189 
541747;411192 
541325;411191 
543231;411188 
541644;411188 
543012;411187 
544405;411192 
541781;411188 
541346;411191 
542238;411194 
541283;411186 
541400;411187 
541564;411189 
543527;411188 
541912;411194 
541783;411190 
541646;411190 
541805;411190 
541715;411190 
542696;411190 
541492;411189 
542227;411193 
541558;411188 
541930;411189 
541362;411188 
543933;411189 
541185;411190 
541676;411189 
543768;411191 
544378;411190 
542462;411189 
540937;411189 
541267;411187 
541454;411190 
542059;411192 
542583;411191 
544086;411188 
541937;411187 
542336;411191 
541341;411190 
543373;411188 
541961;411191 
542194;411187 
543821;411191 
541884;411189 
541168;411189 
542881;411189 
543643;411190 
541744;411187 
541114;411187 
542267;411192 
541249;411187 
543586;411189 
542836;411188 
543369;411190 
541430;411188 
543396;411188 
540704;411186 
541743;411188 
541419;411187 
541258;411189 
541580;411192 
542280;411191 
541255;411190 
541787;411188 
542368;411189 
543449;411191 
541582;411188 
541539;411190 
544030;411188 
541282;411188 
543630;411189 
543872;411188 
541759;411191 
543998;411189 
544063;411189 
542696;411189 
541813;411190 
541990;411191 
541771;411189 
542836;411188 
541607;411188 
541828;411191 
541674;411189 
541992;411191 
541335;411189 
543571;411189 
541489;411188 
543814;411191 
541290;411187 
541813;411190 
541941;411191 
541671;411186 
542204;411191 
541380;411186 
541537;411190 
543933;411192 
542627;411188 
542980;411188 
541925;411189 
541351;411188 
542333;411189 
541679;411187 
542531;411189 
542692;411188 
541348;411192 
544055;411192 
543147;411186 
542174;411193 
541760;411189 
541091;411188 
541541;411188 
541899;411189 
541888;411192 
542461;411192 
541445;411188 
543328;411191 
541711;411190 
543394;411190 
542235;411186 
541492;411188 
540966;411187 
542185;411192 
540949;411188 
541319;411187 
541740;411193 
541565;411187 
543665;411189 
543662;411188 
541630;411189 
542500;411196 
542914;411189 
541382;411189 
540907;411194 
543842;411190 
541684;411186 
541841;411187 
541439;411190 
544235;411190 
541349;411190 
544520;411191 
542254;411189 
544037;411193 
541905;411189 
541441;411187 
543507;411193 
542532;411190 
541551;411191 
542215;411191 
541998;411188 
541829;411190 
541248;411188 
542532;411188 
541910;411187 
541428;411190 
543294;411188 
541595;411191 
542078;411191 
541799;411189 
542805;411189 
541473;411188 
541068;411190 
541487;411197 
541105;411187 
542768;411187 
543565;411192 
541469;411188 
541890;411188 
541783;411187 
541473;411188 
541848;411190 
541778;411190 
543609;411194 
542889;411189 
543901;411192 
542545;411189 
543903;411190 
542352;411192 
542115;411191 
542116;411189 
541881;411188 
541348;411191 
543884;411188 
542980;411189 
541496;411189 
542869;411190 
541649;411190 
543447;411187 
541313;411186 
544594;411191 
541385;411188 
541453;411186 
543779;411189 
541110;411189 
542517;411198 
543165;411188 
544576;411189 
544583;411189 
541552;411188 
541752;411190 
542440;411189 
541839;411189 
544423;411192 
541256;411188 
541968;411190 
541763;411190 
543263;411190 
543527;411189 
543542;411188 
541222;411190 
541639;411187 
542116;411192 
541303;411189 
541137;411187 
544084;411192 
541611;411188 
543436;411191 
541444;411187 
541440;411187 
541498;411187 
544072;411190 
541636;411189 
544015;411186 
543344;411188 
541627;411189 
543134;411188 
541944;411192 
541154;411187 
541639;411189 
544073;411187 
542741;411189 
541846;411192 
541709;411190 
541304;411188 
544367;411188 
541582;411187 
541827;411187 
541441;411190 
543599;411194 
542381;411188 
541662;411192 
541763;411187 
543349;411188 
542979;411192 
541542;411187 
544027;411189 
543352;411194 
544072;411187 
542127;411190 
542791;411189 
544129;411187 
543784;411187 
541452;411189 
541626;411189 
541431;411188 
541162;411191 
542033;411187 
542089;411191 
541758;411189 
541930;411189 
541298;411190 
543425;411188 
543689;411188 
542609;411188 
541022;411188 
543115;411192 
541708;411187 
541422;411188 
542199;411189 
542649;411189 
541711;411191 
541795;411188 
541603;411193 
544238;411187 
543856;411189 
543824;411189 
541706;411189 
541614;411190 
542118;411188 
541487;411187 
543155;411191 
541295;411186 
543648;411189 
541278;411190 
544376;411188 
543372;411191 
542232;411187 
541623;411194 
541627;411189 
541725;411189 
541979;411190 
542565;411189 
544036;411190 
542069;411188 
541347;411189 
541848;411189 
543896;411189 
541947;411193 
541808;411188 
541499;411187 
543511;411188 
544030;411188 
541282;411188 
542009;411194 
541533;411189 
544410;411188 
541830;411190 
541130;411187 
541528;411187 
543402;411194 
541423;411187 
541353;411187 
541634;411190 
541641;411190 
541999;411191 
541700;411190 
543518;411188 
541283;411187 
543563;411189 
544351;411193 
541703;411189 
543961;411190 
541900;411187 
543629;411187 
541393;411189 
541994;411188 
541806;411191 
541689;411188 
541413;411188 
542765;411190 
543664;411189 
543176;411192 
542160;411189 
544159;411190 
541626;411190 
541970;411190 
543383;411190 
541056;411191 
542353;411191 
541350;411187 
543546;411191 
543299;411188 
543139;411189 
543918;411187 
541422;411188 
544106;411194 
542237;411191 
541667;411188 
541796;411190 
541382;411189 
541883;411191 
541525;411188 
541765;411190 
541577;411190 
543438;411190 
543371;411190 
541408;411187 
541749;411191 
542026;411188 
541590;411188 
542011;411188 
541994;411189 
542008;411188 
542737;411188 
541246;411189 
541707;411191 
540945;411187 
541738;411189 
542743;411190 
543670;411188 
541992;411191 
541274;411187 
543817;411187 
543807;411188 
543952;411196 
543760;411188 
541371;411190 
541962;411189 
542117;411189 
541365;411191 
541993;411189 
541710;411189 
542021;411190 
543548;411189 
541785;411189 
541464;411189 
544097;411188 
542056;411188 
541770;411189 
541640;411191 
541071;411187 
541736;411191 
541412;411187 
541551;411188 
542785;411189 
543195;411188 
542239;411189 
541930;411188 
541568;411189 
541379;411191 
541510;411189 
541222;411193 
541568;411189 
543951;411191 
541658;411188 
541946;411190 
541575;411189 
541556;411189 
541692;411189 
541620;411191 
541446;411189 
541916;411186 
544063;411189 
541121;411188 
541465;411188 
541948;411190 
541328;411188 
543278;411191 
541841;411189 
542452;411188 
542824;411190 
540995;411188 
542715;411189 
543385;411188 
542370;411186 
542147;411187 
542510;411189 
541794;411187 
542213;411191 
544064;411192 
541172;411188 
543210;411190 
541444;411186 
541606;411187 
541653;411191 
541730;411188 
541698;411189 
541648;411189 
543713;411192 
543602;411190 
541074;411188 
541446;411189 
542082;411191 
541671;411188 
541955;411192 
541454;411188 
541791;411188 
541962;411192 
541955;411190 
544351;411188 
541161;411192 
544079;411189 
541694;411192 
543345;411189 
541907;411190 
540927;411187 
544464;411188 
542099;411189 
541243;411190 
541334;411188 
543116;411189 
542164;411189 
541806;411188 
544432;411193 
541194;411186 
541243;411187 
542202;411190 
541976;411188 
544209;411191 
541977;411188 
544128;411189 
541754;411194 
541937;411188 
540830;411187 
543741;411189 
541824;411192 
541962;411189 
541472;411188 
542053;411188 
542947;411188 
544187;411188 
543661;411186 
541272;411191 
544110;411194 
542218;411193 
541654;411188 
544286;411190 
541197;411189 
541673;411193 
541268;411190 
541169;411188 
544133;411189 
542021;411191 
541706;411188 
541146;411186 
541957;411194 
541314;411186 
543869;411190 
541551;411189 
542097;411189 
541669;411192 
542075;411189 
542306;411187 
541594;411191 
541944;411189 
541398;411188 
542016;411187 
543002;411190 
541198;411188 
541165;411188 
542331;411192 
543281;411188 
541863;411190 
541016;411190 
542894;411190 
543827;411191 
542002;411187 
543805;411188 
542443;411191 
541229;411189 
544069;411193 
541353;411189 
544176;411187 
541449;411187 
544131;411189 
542217;411187 
541574;411189 
542000;411191 
541604;411188 
541091;411188 
542941;411188 
542825;411190 
542316;411189 
542086;411187 
542286;411188 
543579;411191 
541408;411189 
542034;411190 
541705;411189 
541269;411188 
543193;411187 
543428;411189 
542498;411189 
543412;411187 
542302;411195 
542276;411190 
543991;411187 
542404;411186 
543960;411187 
544126;411189 
543766;411189 
541491;411187 
541900;411194 
541411;411187 
541820;411188 
541501;411187 
541917;411187 
541521;411190 
541595;411189 
541779;411189 
541591;411187 
541454;411189 
541147;411190 
544048;411190 
542690;411189 
543884;411189 
541623;411187 
542993;411189 
541725;411187 
541698;411194 
543618;411188 
541400;411188 
543433;411188 
541562;411189 
544070;411190 
541433;411189 
542162;411192 
541232;411186 
543356;411190 
542168;411189 
543916;411187 
544167;411192 
543591;411187 
541521;411191 
541901;411188 
543242;411188 
543605;411191 
540980;411187 
543869;411187 
544434;411187 
543889;411191 
541512;411189 
541556;411188 
542193;411193 
542147;411189 
543502;411187 
542678;411190 
541324;411186 
543873;411194 
541103;411188 
541485;411187 
541392;411192 
541335;411190 
542088;411190 
543109;411189 
541370;411190 
542608;411189 
541955;411189 
541805;411188 
542258;411189 
542228;411193 
544038;411188 
541917;411187 
544021;411190 
541693;411188 
542217;411194 
541874;411189 
541432;411188 
543324;411192 
544369;411187 
543312;411188 
541613;411189 
