CYCLES;INS
541530;411191 
541212;411190 
543712;411187 
541569;411189 
541742;411187 
540912;411187 
544065;411192 
543571;411187 
541737;411187 
542463;411193 
541625;411188 
543853;411187 
541887;411190 
541324;411188 
541131;411191 
541010;411188 
541460;411190 
541738;411194 
541279;411186 
541481;411188 
541494;411190 
541792;411189 
543816;411187 
541743;411193 
543446;411188 
541823;411190 
542396;411187 
541425;411189 
541408;411194 
541619;411187 
541283;411189 
543709;411191 
542010;411190 
541908;411189 
542355;411189 
541658;411189 
541193;411189 
542857;411189 
540975;411187 
541781;411188 
544457;411190 
543775;411191 
543430;411188 
541445;411188 
543961;411190 
541753;411189 
542374;411188 
540987;411189 
543740;411190 
544622;411188 
544053;411192 
541713;411188 
541345;411189 
542874;411189 
543383;411188 
543398;411189 
541197;411186 
544397;411191 
541340;411188 
542553;411188 
541034;411187 
541584;411190 
542319;411192 
540890;411187 
541920;411186 
543859;411188 
541313;411187 
541966;411189 
542858;411188 
541609;411187 
541986;411189 
543615;411187 
541676;411188 
543902;411188 
541874;411195 
541735;411187 
541985;411188 
541234;411189 
543644;411190 
541744;411194 
541580;411188 
541508;411188 
542052;411192 
544079;411188 
540994;411190 
542164;411188 
542429;411190 
541806;411188 
541328;411188 
541929;411188 
541840;411189 
543872;411191 
541363;411187 
541271;411190 
543802;411191 
543427;411187 
543014;411193 
541796;411189 
541600;411187 
541374;411190 
541327;411189 
541608;411191 
544517;411187 
541179;411188 
541404;411190 
541202;411187 
541666;411187 
541738;411187 
541944;411189 
541416;411189 
541741;411193 
541356;411187 
541023;411188 
541957;411191 
540771;411186 
542059;411190 
541785;411190 
543050;411189 
541813;411189 
541791;411189 
543785;411189 
541881;411187 
540715;411186 
544165;411193 
543219;411190 
541918;411189 
542491;411187 
543418;411194 
543774;411188 
544249;411192 
541819;411190 
544551;411189 
541589;411190 
541294;411189 
541260;411193 
543256;411190 
543182;411188 
541780;411192 
543733;411191 
543194;411190 
543286;411187 
541826;411186 
541495;411188 
542445;411189 
541358;411186 
543771;411188 
543017;411196 
541080;411187 
541638;411188 
541257;411185 
543833;411186 
541431;411191 
541776;411186 
543337;411189 
544159;411194 
541742;411189 
541905;411189 
541110;411189 
543978;411190 
541872;411189 
541621;411188 
543132;411187 
541326;411187 
542271;411190 
543958;411190 
541415;411189 
542695;411186 
541517;411187 
541860;411192 
541614;411189 
541516;411190 
543793;411191 
541818;411187 
542306;411189 
544159;411186 
541772;411187 
542129;411189 
542171;411189 
541095;411192 
541858;411187 
543590;411190 
542936;411188 
542043;411189 
542798;411187 
541805;411191 
541308;411192 
544161;411188 
543508;411191 
541637;411189 
541167;411188 
543863;411192 
541900;411185 
542640;411191 
541501;411188 
540989;411187 
541687;411189 
541683;411190 
541551;411189 
541667;411188 
541720;411192 
543909;411190 
541700;411189 
541841;411187 
541231;411187 
541633;411192 
543292;411190 
541782;411189 
541641;411193 
543494;411190 
543387;411187 
543096;411188 
541136;411188 
542234;411193 
541535;411187 
541639;411188 
542567;411193 
542132;411190 
544057;411190 
541232;411189 
542544;411189 
541290;411188 
543808;411189 
542642;411187 
543820;411188 
544154;411187 
543799;411185 
541554;411187 
541216;411188 
542395;411188 
542301;411188 
544096;411189 
541477;411186 
541884;411189 
541551;411188 
541670;411191 
541687;411189 
543529;411188 
541955;411188 
541192;411188 
543948;411189 
542103;411187 
543677;411189 
541775;411188 
542885;411192 
541288;411187 
541990;411192 
541508;411187 
541566;411190 
541819;411192 
541468;411190 
541823;411189 
542548;411189 
541830;411187 
541943;411189 
543982;411189 
542088;411189 
543627;411189 
542595;411185 
543815;411188 
541763;411192 
544625;411193 
542956;411191 
542698;411187 
543608;411189 
541956;411191 
542189;411191 
541784;411188 
541270;411187 
541523;411191 
543840;411189 
543725;411191 
542549;411187 
541767;411188 
541468;411188 
541840;411189 
541927;411192 
543243;411187 
546254;411189 
542955;411186 
543878;411192 
541693;411187 
543380;411188 
542009;411188 
541343;411188 
544108;411189 
541556;411190 
541713;411191 
544203;411185 
541752;411188 
541846;411187 
541385;411190 
541684;411192 
541413;411188 
541929;411188 
541629;411188 
541834;411191 
544680;411193 
541589;411191 
543942;411194 
543994;411190 
543794;411188 
543712;411188 
543576;411187 
541778;411189 
541314;411189 
542493;411194 
541668;411188 
541304;411192 
541378;411188 
541359;411187 
543349;411190 
541553;411189 
541142;411189 
543774;411191 
541570;411186 
541847;411190 
541643;411188 
543173;411189 
541692;411189 
543796;411189 
542162;411188 
541475;411189 
543664;411192 
544439;411191 
541507;411189 
541949;411186 
541571;411190 
543256;411190 
541501;411189 
541520;411188 
541896;411189 
541855;411188 
541040;411192 
542835;411187 
541751;411188 
541514;411189 
543507;411187 
541496;411190 
541419;411188 
542468;411193 
541872;411187 
542283;411188 
543460;411187 
541542;411187 
544055;411193 
541589;411189 
541863;411187 
543725;411189 
544028;411188 
541443;411191 
541305;411190 
541918;411188 
544297;411191 
543853;411187 
541968;411189 
541775;411190 
541708;411189 
543658;411190 
541509;411191 
541929;411190 
543496;411193 
541592;411188 
541340;411187 
541519;411189 
541783;411189 
541754;411190 
542194;411194 
541714;411187 
543681;411192 
541837;411187 
543531;411191 
544012;411191 
541339;411186 
543666;411189 
541402;411188 
541929;411189 
541350;411189 
541475;411187 
544430;411192 
541375;411189 
541354;411190 
541531;411191 
543363;411188 
541926;411193 
542268;411190 
544070;411190 
541325;411187 
542625;411191 
541697;411187 
541539;411188 
541398;411189 
541738;411185 
542482;411191 
543004;411188 
541676;411190 
541118;411190 
542671;411188 
544331;411193 
541628;411188 
541526;411187 
543125;411196 
541754;411190 
543350;411186 
541567;411188 
541487;411185 
541198;411186 
541347;411191 
543504;411190 
541987;411189 
542165;411190 
541828;411185 
542928;411189 
541348;411190 
541489;411186 
543566;411193 
541908;411188 
541499;411190 
541823;411190 
541461;411187 
541893;411187 
543541;411187 
544246;411189 
544175;411187 
541566;411188 
541987;411188 
543584;411191 
542304;411190 
541332;411188 
541469;411186 
543731;411191 
541449;411189 
542769;411194 
541781;411191 
541915;411186 
544331;411188 
541865;411189 
541054;411195 
541957;411190 
543548;411189 
541572;411189 
541212;411189 
541635;411190 
544043;411188 
541798;411188 
543786;411189 
544169;411191 
541377;411187 
541484;411190 
542893;411189 
541397;411188 
542867;411191 
541549;411188 
541068;411187 
544274;411194 
541389;411187 
543033;411186 
542935;411189 
541577;411190 
541880;411190 
541635;411190 
541748;411189 
543292;411190 
544023;411189 
541801;411188 
541587;411190 
541727;411188 
541873;411192 
542436;411190 
541697;411188 
543879;411188 
541018;411191 
541382;411185 
541694;411193 
543732;411186 
541620;411186 
543828;411186 
543496;411187 
543103;411188 
541480;411189 
543403;411192 
542134;411190 
541418;411191 
543567;411189 
541346;411189 
543691;411189 
544378;411191 
541700;411189 
542731;411189 
543556;411188 
541771;411193 
541242;411188 
541370;411191 
541317;411189 
542734;411189 
543452;411188 
543233;411190 
543923;411190 
543587;411189 
541995;411189 
541487;411188 
541350;411188 
541968;411193 
541493;411185 
541436;411190 
541797;411189 
543464;411188 
542249;411192 
542243;411185 
543567;411189 
543905;411188 
541319;411187 
544019;411188 
542913;411188 
541792;411186 
544241;411188 
543865;411189 
541309;411188 
542894;411188 
542260;411190 
541281;411187 
542470;411191 
541783;411188 
543521;411188 
542085;411189 
541706;411188 
541398;411186 
542473;411187 
543541;411190 
542043;411188 
543521;411189 
541597;411190 
542010;411189 
541679;411193 
541760;411189 
542015;411189 
541917;411189 
543708;411187 
544212;411193 
543203;411187 
543439;411186 
541910;411189 
555340;411189 
543816;411187 
543455;411188 
542950;411187 
541475;411189 
541735;411187 
541135;411187 
541551;411188 
543457;411190 
541323;411189 
541943;411193 
543757;411187 
541107;411186 
543968;411192 
542037;411191 
541487;411189 
543958;411186 
542009;411186 
544430;411196 
541087;411188 
541734;411186 
542787;411189 
543422;411188 
541456;411189 
541441;411188 
543979;411190 
542969;411187 
541923;411187 
543110;411185 
541606;411190 
542033;411193 
543521;411189 
541882;411189 
543615;411189 
541570;411190 
542142;411191 
543750;411190 
541378;411192 
543491;411187 
542069;411191 
541693;411189 
542011;411187 
541607;411188 
543542;411187 
541844;411192 
541194;411189 
541337;411188 
541263;411189 
543717;411187 
542846;411193 
541116;411188 
541954;411186 
541823;411190 
541816;411188 
543898;411188 
541657;411187 
542014;411190 
543691;411187 
541684;411190 
541942;411190 
543128;411189 
541613;411188 
541113;411187 
543272;411189 
541878;411187 
541415;411186 
544051;411192 
542585;411188 
542344;411190 
541620;411191 
541968;411189 
541620;411193 
543892;411188 
541864;411191 
541582;411188 
541460;411189 
541368;411189 
542404;411189 
541546;411190 
543160;411189 
543125;411189 
542376;411189 
543727;411190 
541806;411186 
540958;411187 
543438;411191 
544358;411189 
543965;411189 
544301;411190 
543289;411188 
542135;411188 
541377;411189 
542526;411189 
541432;411188 
541045;411187 
541798;411190 
541160;411187 
543005;411193 
541857;411189 
541606;411189 
542199;411209 
541415;411188 
541651;411191 
541613;411188 
541542;411193 
544166;411189 
541503;411189 
543488;411190 
542487;411188 
543178;411190 
541534;411188 
542151;411188 
543653;411186 
541401;411187 
543318;411190 
541940;411187 
544345;411190 
541644;411185 
542112;411188 
543370;411188 
541940;411187 
542135;411192 
541157;411187 
544036;411188 
541918;411189 
541387;411188 
541955;411189 
543738;411189 
542984;411188 
541622;411187 
543419;411188 
543722;411185 
541711;411189 
541871;411189 
542706;411188 
541945;411190 
542775;411188 
543824;411189 
542463;411192 
542018;411187 
542493;411189 
541222;411190 
543431;411190 
541838;411192 
543921;411190 
541723;411193 
541696;411190 
541186;411187 
541702;411190 
543534;411188 
541883;411190 
542338;411188 
542072;411190 
542131;411189 
541216;411188 
541751;411190 
541482;411187 
541912;411190 
541805;411188 
541375;411189 
541942;411194 
544281;411186 
543207;411186 
541292;411187 
541696;411187 
541557;411187 
542149;411189 
541984;411186 
542954;411187 
542549;411193 
541671;411189 
541913;411186 
541330;411187 
541424;411187 
541843;411196 
542021;411189 
543133;411187 
543195;411189 
543111;411187 
541637;411191 
541572;411188 
541660;411191 
541262;411188 
541567;411188 
542724;411188 
544620;411190 
542927;411191 
541246;411187 
541444;411189 
542412;411192 
541046;411188 
543876;411194 
542639;411187 
543915;411189 
543216;411190 
541737;411189 
543207;411193 
543297;411186 
542013;411191 
544623;411188 
541508;411187 
541077;411187 
541654;411187 
543336;411190 
543266;411191 
544170;411193 
542363;411188 
542583;411189 
541878;411189 
543098;411190 
543743;411188 
544538;411189 
543013;411188 
541921;411191 
542071;411189 
541438;411187 
541322;411188 
542827;411189 
544112;411190 
544286;411188 
543613;411189 
541431;411189 
541791;411192 
542153;411188 
541861;411186 
542047;411188 
541849;411185 
541474;411191 
543725;411190 
543427;411188 
543949;411191 
541107;411189 
542682;411192 
543666;411187 
541631;411187 
541525;411192 
543518;411187 
543293;411187 
543025;411189 
541594;411190 
541006;411188 
541708;411188 
543670;411194 
543383;411188 
542068;411191 
543540;411187 
543681;411186 
541801;411192 
541710;411189 
544113;411189 
541951;411189 
543193;411191 
541420;411193 
543571;411188 
542038;411190 
541032;411188 
541114;411189 
541345;411187 
541528;411187 
543643;411190 
541350;411188 
544285;411196 
541733;411186 
541730;411191 
541567;411189 
541454;411186 
542166;411191 
541722;411186 
543086;411186 
541392;411191 
541541;411188 
543372;411187 
542377;411189 
541325;411188 
541794;411189 
541841;411189 
541892;411189 
541355;411190 
542097;411191 
541375;411189 
542767;411188 
543423;411190 
543683;411188 
541651;411195 
543448;411190 
541210;411189 
542232;411189 
541891;411187 
544030;411192 
543314;411187 
