CYCLES;INS
816302;631260 
815169;631258 
818031;631267 
816966;631259 
816521;631264 
816150;631258 
818401;631260 
818633;631257 
817269;631252 
815839;631256 
815573;631258 
817248;631256 
816688;631255 
816318;631261 
817703;631254 
815987;631263 
816404;631259 
816055;631260 
816567;631264 
816257;631255 
818039;631263 
815809;631260 
815662;631256 
816406;631258 
815933;631255 
815848;631258 
817387;631255 
817969;631255 
818042;631253 
817150;631264 
818071;631254 
816009;631259 
816227;631258 
816392;631258 
817631;631266 
817292;631257 
816214;631257 
815716;631259 
816930;631260 
817807;631263 
817133;631253 
816605;631264 
816997;631257 
817129;631261 
816775;631260 
818677;631265 
816737;631258 
818366;631263 
815715;631256 
815972;631260 
816988;631255 
816278;631267 
819813;631259 
818317;631257 
815902;631262 
815398;631261 
815692;631261 
817702;631255 
818175;631258 
818922;631269 
817945;631260 
815910;631256 
816734;631265 
817015;631257 
816220;631256 
815717;631260 
815945;631273 
816598;631256 
819218;631258 
818536;631258 
816944;631259 
816417;631257 
818653;631255 
816337;631263 
816643;631255 
815801;631258 
815825;631255 
815758;631258 
816641;631256 
818450;631261 
815972;631258 
816174;631261 
817321;631262 
816184;631256 
816246;631259 
817049;631253 
815866;631256 
816613;631260 
816484;631260 
816090;631256 
816481;631260 
816151;631263 
816327;631257 
817117;631258 
817022;631255 
817917;631262 
816416;631256 
816483;631254 
816901;631258 
816126;631260 
815821;631253 
816354;631254 
816939;631256 
816214;631254 
818754;631259 
816446;631255 
816620;631254 
816478;631267 
816689;631257 
816000;631254 
818370;631257 
815809;631253 
818938;631260 
816955;631256 
815566;631260 
816630;631263 
817699;631261 
816720;631254 
816079;631260 
815832;631257 
816665;631258 
817081;631265 
815981;631252 
819696;631263 
818132;631255 
816221;631259 
819063;631257 
816691;631251 
817381;631259 
816229;631252 
817936;631258 
820617;631257 
819181;631259 
816768;631261 
818134;631263 
815825;631256 
815419;631258 
816094;631256 
816568;631261 
816394;631259 
817018;631257 
816105;631257 
815988;631256 
818001;631256 
816253;631261 
816264;631269 
816058;631259 
818380;631258 
815311;631261 
817027;631261 
816229;631253 
816778;631258 
816517;631258 
