CYCLES;INS
817739;631261 
816416;631262 
816695;631263 
815858;631258 
816641;631255 
816233;631259 
816566;631263 
816392;631254 
816656;631257 
816589;631255 
819274;631260 
817112;631258 
816262;631258 
816162;631256 
816118;631259 
816725;631264 
816416;631257 
815359;631255 
817190;631259 
815911;631253 
817197;631265 
816156;631253 
817394;631264 
817201;631262 
816888;631257 
816561;631263 
816809;631268 
816548;631259 
817135;631259 
815779;631253 
817054;631267 
816668;631260 
816037;631263 
817085;631265 
816733;631263 
816130;631251 
817092;631263 
816954;631259 
817810;631272 
816869;631250 
816482;631255 
816182;631251 
817255;631262 
816575;631254 
817126;631260 
816628;631261 
816919;631262 
816538;631260 
816935;631265 
816591;631259 
816149;631260 
817873;631256 
816369;631263 
816738;631256 
817227;631260 
816585;631255 
816843;631259 
816651;631252 
817978;631256 
816690;631257 
815621;631269 
816411;631254 
816861;631259 
819196;631256 
817867;631256 
816001;631253 
816556;631260 
815003;631255 
816408;631266 
815786;631260 
817386;631258 
816144;631257 
816015;631259 
815794;631253 
818777;631255 
816277;631265 
816480;631255 
816850;631256 
817604;631254 
815792;631259 
817915;631259 
817126;631264 
816699;631255 
816054;631255 
817668;631261 
816546;631263 
815899;631259 
818260;631261 
816134;631266 
816608;631261 
815626;631263 
818170;631260 
814784;631257 
815885;631259 
816236;631254 
816716;631259 
815893;631255 
816500;631260 
816224;631262 
815725;631253 
816660;631257 
816892;631259 
816551;631256 
817051;631257 
819123;631256 
816307;631258 
817969;631257 
816617;631255 
816110;631255 
818108;631253 
816489;631256 
815871;631261 
815674;631253 
816328;631255 
815571;631252 
816661;631263 
818150;631260 
818511;631253 
816006;631260 
817586;631256 
815928;631265 
817290;631256 
815834;631261 
816068;631257 
815730;631258 
818036;631255 
817304;631265 
815704;631260 
818220;631253 
817560;631255 
816209;631261 
816928;631258 
818151;631257 
816544;631260 
816430;631261 
816154;631261 
819527;631254 
815967;631258 
816377;631256 
815656;631258 
816222;631256 
816625;631258 
816666;631263 
816552;631255 
815786;631259 
817780;631255 
816214;631254 
818344;631262 
816115;631256 
818111;631256 
816290;631258 
818403;631252 
816203;631254 
816984;631256 
815868;631257 
816111;631259 
817244;631257 
818579;631260 
816539;631262 
818078;631256 
816383;631252 
816562;631262 
816215;631255 
816535;631262 
816214;631255 
817800;631260 
816349;631256 
815808;631257 
816431;631262 
816651;631261 
816085;631252 
819043;631259 
815342;631255 
816813;631260 
816823;631259 
816932;631260 
816718;631264 
819649;631257 
815987;631258 
818275;631263 
815878;631256 
816943;631262 
816655;631268 
817500;631263 
818861;631256 
816018;631266 
816005;631257 
815853;631262 
818457;631256 
816420;631261 
815689;631257 
818098;631257 
816464;631266 
816531;631258 
816303;631259 
816406;631264 
818021;631258 
816188;631260 
816068;631253 
817613;631256 
817504;631257 
816471;631260 
815944;631258 
817283;631256 
816305;631257 
815894;631256 
816508;631256 
817439;631252 
818608;631258 
818006;631262 
815845;631260 
817116;631256 
816883;631250 
815391;631258 
816938;631256 
818609;631268 
816081;631253 
817545;631256 
815559;631261 
815931;631261 
815981;631257 
815425;631258 
818343;631255 
815834;631256 
814842;631257 
815381;631261 
816073;631256 
815750;631256 
816520;631256 
817791;631257 
816195;631259 
816502;631253 
818731;631253 
815718;631256 
816885;631257 
815139;631258 
816668;631257 
815871;631256 
816452;631253 
816324;631260 
816978;631259 
815711;631259 
816194;631254 
816546;631258 
818250;631264 
815697;631259 
816906;631259 
816653;631255 
817010;631255 
816523;631256 
816882;631258 
816007;631260 
816478;631261 
817443;631260 
817013;631255 
815914;631259 
815691;631253 
816594;631263 
816600;631263 
817665;631256 
817597;631264 
816152;631251 
816867;631255 
816196;631262 
816106;631258 
816040;631255 
816670;631257 
816648;631256 
816212;631255 
818874;631260 
817738;631252 
817072;631257 
815952;631266 
816039;631260 
816209;631261 
816077;631257 
816020;631254 
815495;631256 
815662;631255 
817033;631255 
816362;631252 
817666;631269 
816013;631259 
816133;631259 
816521;631259 
816246;631259 
816092;631254 
816209;631256 
816887;631255 
816488;631255 
815613;631264 
817892;631249 
816453;631259 
815385;631254 
817007;631262 
817326;631252 
815927;631255 
816496;631261 
816222;631255 
818723;631257 
817177;631262 
815465;631254 
816479;631258 
816551;631254 
817862;631266 
816021;631259 
815638;631256 
816177;631256 
818107;631256 
817627;631258 
816864;631257 
816926;631257 
817312;631259 
815921;631258 
817316;631257 
816650;631261 
817419;631264 
816378;631256 
815289;631255 
816022;631254 
816285;631266 
816737;631253 
816225;631259 
816217;631253 
818560;631256 
816711;631254 
817455;631255 
816708;631258 
817485;631260 
816036;631257 
816983;631258 
817412;631260 
818701;631253 
815651;631254 
817394;631263 
815988;631256 
815873;631260 
817258;631260 
816127;631259 
817055;631254 
816490;631264 
816216;631258 
815410;631257 
818694;631257 
816401;631255 
815862;631254 
816689;631257 
817309;631260 
816206;631265 
818481;631256 
815834;631251 
816019;631257 
816605;631255 
818229;631261 
819019;631256 
816477;631254 
816439;631254 
818802;631270 
818492;631256 
816911;631258 
816673;631256 
815036;631259 
816236;631258 
815908;631253 
816353;631257 
816402;631257 
815357;631261 
819758;631256 
817736;631256 
816464;631254 
815664;631255 
816203;631256 
817648;631255 
816317;631257 
819260;631254 
816667;631257 
816417;631254 
816319;631254 
818307;631258 
816178;631254 
815470;631256 
816356;631258 
816020;631264 
816030;631263 
816713;631262 
816012;631257 
816809;631262 
816194;631259 
816848;631259 
817608;631258 
815944;631264 
817373;631259 
816614;631258 
816310;631262 
815989;631258 
816619;631266 
815600;631256 
816452;631264 
816435;631257 
816142;631257 
814994;631261 
815313;631256 
819569;631264 
817085;631259 
817688;631261 
818498;631254 
818808;631264 
818650;631257 
816820;631258 
815899;631255 
817337;631260 
816316;631255 
817640;631260 
816414;631261 
816298;631262 
815951;631253 
816281;631261 
816372;631257 
815915;631256 
816077;631263 
817459;631259 
816062;631257 
816755;631259 
818409;631257 
817098;631253 
817603;631262 
817774;631256 
816443;631256 
815675;631261 
817502;631256 
817413;631270 
816568;631260 
817683;631254 
816296;631258 
816714;631254 
816263;631251 
816906;631258 
818137;631257 
817269;631261 
816632;631262 
816722;631262 
815599;631254 
816208;631268 
815952;631257 
817157;631266 
816293;631260 
818333;631259 
815861;631259 
816834;631262 
815892;631255 
817496;631260 
815738;631259 
816730;631272 
816094;631256 
818879;631260 
818409;631261 
816221;631262 
815715;631259 
817357;631259 
816213;631258 
817321;631256 
817004;631262 
815969;631258 
816607;631261 
815951;631262 
816427;631258 
816062;631268 
815808;631257 
816298;631256 
817736;631267 
815947;631256 
816126;631260 
816385;631255 
817211;631258 
817344;631259 
816014;631258 
815972;631258 
815882;631257 
815589;631257 
820637;631257 
816431;631256 
815353;631260 
818803;631254 
816540;631257 
816580;631257 
816827;631256 
817859;631260 
816335;631261 
816467;631260 
818254;631264 
815778;631260 
817328;631261 
816153;631253 
816026;631261 
817152;631259 
817387;631258 
816779;631251 
816954;631262 
816361;631257 
817487;631256 
816297;631254 
816228;631261 
816783;631258 
816706;631261 
816926;631256 
817628;631261 
815560;631261 
818877;631263 
815900;631255 
816659;631260 
815965;631261 
817373;631263 
817184;631261 
815283;631257 
816570;631260 
817226;631263 
816698;631266 
816703;631262 
816260;631252 
817583;631260 
815810;631259 
816681;631259 
817675;631260 
816278;631265 
816129;631264 
816098;631262 
816379;631256 
816402;631259 
815747;631256 
817011;631262 
816371;631256 
817852;631263 
815913;631258 
818759;631258 
815527;631256 
816061;631256 
816146;631259 
817430;631259 
816630;631252 
815791;631256 
816167;631252 
818231;631254 
816079;631252 
816693;631260 
816173;631256 
815992;631258 
817532;631253 
816345;631256 
816871;631257 
817201;631263 
816018;631256 
816293;631258 
816133;631259 
818700;631267 
817405;631258 
815706;631256 
816302;631258 
815953;631259 
817558;631258 
816869;631257 
816421;631258 
816366;631254 
816365;631260 
817294;631264 
817627;631259 
816304;631256 
815729;631257 
815852;631265 
815820;631254 
816352;631258 
816033;631254 
815425;631255 
815905;631263 
816023;631259 
818777;631260 
816144;631259 
815842;631254 
816386;631256 
815850;631252 
816894;631264 
816081;631252 
815500;631258 
815937;631259 
816209;631258 
815758;631262 
815559;631260 
815682;631255 
816349;631256 
815701;631261 
816338;631255 
816127;631258 
816397;631255 
816293;631258 
815973;631253 
816411;631263 
816568;631255 
817980;631258 
815741;631256 
816595;631255 
816824;631260 
816485;631254 
815712;631258 
816576;631260 
817564;631263 
816792;631259 
816904;631254 
817992;631251 
815720;631261 
816133;631256 
816635;631258 
815999;631264 
815719;631256 
815721;631263 
816130;631265 
816529;631260 
816581;631263 
816792;631258 
816089;631263 
816325;631256 
816825;631259 
816027;631254 
815423;631255 
816074;631258 
815919;631258 
816474;631255 
816825;631257 
814809;631261 
815844;631264 
816961;631255 
816775;631257 
816449;631255 
815365;631256 
815692;631259 
816067;631261 
817509;631254 
815711;631263 
817667;631259 
816389;631256 
817198;631262 
816010;631255 
816988;631257 
816247;631262 
816288;631257 
815349;631256 
816508;631259 
817871;631261 
818061;631256 
817483;631259 
816587;631258 
818032;631255 
817776;631254 
816297;631255 
815748;631255 
815790;631261 
818234;631260 
815853;631261 
816753;631256 
817309;631260 
817228;631260 
816004;631261 
816317;631256 
816059;631260 
818933;631257 
816129;631252 
816826;631255 
816715;631257 
815899;631259 
816893;631256 
815688;631256 
816444;631254 
816578;631256 
816731;631256 
817342;631263 
816096;631254 
815813;631254 
815619;631262 
817221;631257 
816707;631262 
816804;631259 
816616;631255 
816420;631254 
816528;631260 
817153;631261 
816410;631261 
816418;631256 
816291;631262 
817820;631260 
815685;631262 
819537;631274 
816843;631255 
817046;631254 
816460;631258 
816225;631257 
816443;631258 
816351;631257 
817467;631259 
815943;631261 
816067;631254 
816595;631262 
817011;631257 
816455;631256 
817290;631258 
817704;631258 
815770;631255 
818107;631261 
816278;631258 
817151;631262 
816148;631263 
818363;631262 
816726;631262 
816720;631270 
818875;631262 
818401;631260 
816264;631259 
817225;631267 
819659;631257 
818170;631267 
816156;631255 
816810;631262 
816911;631254 
817251;631257 
816856;631252 
817434;631269 
816606;631256 
815837;631254 
817930;631253 
817361;631263 
815980;631257 
