CYCLES;INS
816198;631261 
816078;631259 
816389;631255 
815983;631258 
817263;631256 
817863;631254 
816639;631256 
816335;631257 
817836;631270 
816499;631259 
816039;631254 
816124;631260 
816928;631256 
816514;631257 
816490;631254 
816994;631254 
821484;631256 
815968;631257 
815712;631257 
816081;631256 
816788;631260 
817211;631263 
816668;631255 
816344;631253 
815590;631258 
816014;631250 
816983;631265 
816050;631262 
818828;631256 
816269;631259 
817461;631259 
816270;631258 
816703;631260 
816426;631253 
818315;631259 
815765;631256 
816233;631259 
815957;631254 
818768;631257 
815698;631259 
818959;631256 
817404;631260 
815929;631263 
816230;631259 
816651;631257 
817457;631261 
815955;631260 
816043;631258 
816319;631259 
817450;631257 
815573;631258 
818088;631259 
815929;631264 
816725;631259 
816172;631256 
817982;631260 
815995;631252 
818794;631261 
816661;631257 
817580;631264 
817362;631255 
818920;631258 
816176;631258 
817237;631262 
817526;631255 
816605;631259 
815482;631253 
819281;631262 
816002;631258 
816411;631258 
816676;631254 
818231;631259 
815759;631256 
816121;631258 
816365;631257 
816629;631256 
816451;631261 
815565;631256 
816232;631256 
816673;631262 
816295;631262 
816289;631255 
818493;631255 
815819;631257 
818927;631261 
817166;631261 
816046;631255 
814954;631255 
816108;631260 
817371;631261 
817154;631262 
815597;631259 
818188;631259 
816789;631254 
816917;631257 
815501;631259 
816464;631260 
815987;631262 
817767;631259 
816134;631253 
816331;631258 
816007;631256 
816536;631258 
816501;631269 
817761;631258 
818133;631254 
816391;631259 
816781;631253 
816852;631260 
817337;631258 
816252;631266 
816211;631256 
816261;631261 
818591;631262 
816748;631258 
815305;631256 
820226;631256 
817062;631260 
817352;631254 
816666;631261 
815764;631259 
816689;631259 
816801;631254 
816789;631261 
816572;631256 
816617;631261 
816325;631256 
818322;631259 
817103;631258 
816319;631259 
816599;631257 
815500;631256 
815676;631260 
815848;631253 
816301;631258 
815823;631261 
817543;631261 
815977;631256 
815822;631263 
815700;631260 
816607;631257 
816532;631254 
817036;631266 
816306;631255 
816848;631259 
815566;631260 
817180;631258 
819408;631259 
816426;631254 
815527;631255 
817006;631262 
816303;631258 
816663;631260 
815691;631257 
818016;631258 
815894;631254 
816815;631263 
816664;631257 
817887;631254 
815895;631257 
817095;631263 
816187;631261 
818178;631259 
817489;631255 
816195;631254 
816114;631259 
817724;631261 
816120;631255 
816691;631254 
815749;631267 
816961;631266 
816099;631254 
819385;631262 
815932;631253 
817171;631257 
816227;631256 
818555;631253 
816743;631261 
816461;631257 
816466;631256 
816029;631254 
816168;631262 
816867;631262 
815763;631259 
816283;631256 
816094;631257 
816700;631255 
816804;631260 
816177;631254 
815975;631255 
816090;631257 
816816;631258 
817991;631261 
816935;631255 
816730;631255 
816052;631260 
819420;631262 
816977;631256 
817164;631261 
816415;631259 
816265;631259 
816522;631258 
817011;631254 
816672;631257 
817019;631263 
819104;631263 
816560;631261 
816461;631259 
815079;631262 
816770;631257 
815751;631258 
815223;631256 
817165;631265 
815615;631252 
818873;631258 
816681;631260 
817063;631257 
819581;631255 
819320;631254 
818317;631258 
818935;631257 
817081;631252 
816813;631258 
815694;631256 
816531;631260 
816319;631258 
816891;631258 
816423;631256 
816974;631262 
816331;631257 
816054;631256 
815931;631257 
817017;631268 
815536;631259 
817739;631263 
816107;631257 
815791;631267 
817800;631261 
817056;631256 
816115;631257 
817428;631265 
817242;631255 
817795;631259 
815795;631253 
817546;631259 
818082;631256 
818021;631262 
820786;631257 
816131;631256 
815550;631259 
816314;631260 
817953;631260 
817203;631260 
816343;631258 
816638;631262 
818188;631252 
816289;631258 
815934;631263 
818313;631271 
816288;631256 
817844;631263 
816022;631256 
817037;631264 
815600;631253 
816262;631258 
815826;631253 
817435;631259 
816298;631257 
818876;631257 
816021;631259 
816860;631262 
815554;631254 
817200;631262 
815461;631255 
817200;631257 
816614;631252 
817036;631259 
816675;631258 
816524;631259 
815813;631256 
816400;631258 
816196;631254 
818632;631256 
816081;631256 
818371;631255 
815763;631254 
817357;631259 
817121;631261 
816716;631259 
815626;631256 
816702;631256 
815956;631255 
819945;631265 
815853;631255 
816973;631263 
816138;631260 
816464;631254 
817202;631258 
816245;631261 
816439;631258 
816392;631258 
816442;631255 
816461;631266 
815646;631255 
818189;631258 
816166;631260 
817343;631263 
817299;631267 
818494;631266 
816324;631259 
817006;631261 
816651;631252 
816880;631262 
815274;631261 
816770;631261 
816227;631258 
818393;631265 
816134;631255 
819093;631259 
815283;631257 
816498;631267 
817707;631259 
816441;631262 
818212;631259 
816649;631260 
816335;631256 
816871;631259 
816296;631253 
815758;631259 
817494;631253 
816440;631257 
815274;631253 
816098;631265 
816529;631256 
817645;631261 
815644;631256 
816583;631264 
816252;631258 
816313;631262 
816071;631255 
818528;631255 
818687;631256 
816150;631255 
815795;631252 
816156;631254 
816276;631256 
816357;631259 
815770;631258 
816254;631257 
816393;631256 
818475;631260 
816224;631262 
