CYCLES;INS
816204;631262 
815580;631255 
818596;631253 
816473;631262 
816656;631256 
819516;631263 
816398;631256 
816288;631258 
817014;631258 
817050;631260 
815928;631259 
816469;631260 
816339;631264 
815967;631262 
816645;631256 
815426;631263 
816374;631258 
815679;631263 
817272;631268 
816447;631258 
816811;631256 
816657;631264 
815329;631260 
816601;631256 
816320;631255 
817935;631257 
816387;631255 
818701;631256 
816136;631256 
819093;631267 
815958;631252 
816789;631258 
815559;631257 
817523;631265 
816533;631259 
818217;631262 
816290;631261 
816999;631261 
816322;631261 
820283;631260 
816310;631255 
818546;631262 
817052;631260 
818244;631257 
817663;631257 
816274;631260 
815646;631260 
816683;631266 
816819;631262 
816115;631262 
816014;631260 
816312;631263 
816652;631257 
816470;631257 
815974;631258 
814875;631258 
816182;631258 
815933;631257 
817590;631260 
815502;631261 
815651;631258 
816354;631253 
815461;631260 
815669;631256 
816607;631256 
816334;631257 
816627;631263 
816103;631258 
816543;631257 
816324;631259 
816093;631257 
816687;631259 
815471;631258 
815742;631261 
815587;631259 
816171;631259 
816411;631262 
816096;631260 
815556;631256 
816073;631261 
818962;631255 
816374;631262 
816327;631254 
815885;631257 
814775;631257 
815605;631254 
816770;631262 
818386;631254 
816804;631256 
817352;631254 
816230;631254 
816031;631261 
815587;631259 
816344;631262 
817883;631255 
818079;631260 
816469;631257 
815802;631254 
816383;631256 
815884;631256 
815759;631261 
816802;631256 
816225;631257 
816252;631252 
816194;631258 
816214;631255 
816392;631267 
816282;631257 
816573;631258 
817376;631253 
815795;631259 
815842;631257 
816581;631251 
817135;631260 
816886;631264 
815847;631263 
817024;631257 
815491;631258 
816310;631256 
815764;631253 
815541;631254 
818697;631258 
815516;631261 
818425;631259 
818079;631269 
816061;631257 
816393;631259 
816085;631260 
817507;631258 
816459;631259 
816181;631260 
816114;631258 
816433;631259 
816501;631257 
817217;631259 
815867;631252 
819041;631258 
816764;631257 
817325;631258 
816395;631258 
815551;631256 
816349;631252 
816784;631257 
816344;631257 
816155;631257 
816251;631253 
815905;631257 
815775;631257 
818460;631255 
816288;631255 
816179;631255 
816420;631261 
815814;631262 
816952;631261 
816455;631257 
815706;631257 
816450;631257 
816726;631262 
815910;631262 
817004;631260 
816132;631256 
815943;631255 
815953;631254 
816695;631264 
815395;631255 
818135;631259 
815620;631257 
818798;631261 
815885;631265 
816890;631270 
816889;631250 
817809;631258 
816284;631255 
817100;631263 
816627;631257 
817551;631263 
815430;631253 
816625;631259 
815789;631259 
816554;631267 
815615;631259 
817399;631265 
815553;631252 
816959;631257 
816366;631256 
816505;631265 
816243;631260 
817139;631257 
817590;631254 
816041;631259 
816178;631259 
816624;631262 
816241;631255 
816726;631259 
815360;631261 
818920;631262 
818221;631260 
816536;631252 
817884;631257 
816492;631255 
815822;631261 
816751;631267 
816538;631260 
816701;631254 
815848;631258 
816156;631258 
817582;631258 
815904;631255 
817047;631261 
815828;631258 
815723;631258 
816423;631260 
816359;631259 
816440;631256 
817664;631255 
815437;631255 
819713;631261 
816519;631255 
816074;631264 
816852;631256 
816090;631253 
816987;631262 
816406;631260 
818205;631256 
815825;631254 
818790;631258 
816592;631261 
818101;631260 
818143;631260 
815943;631257 
816440;631257 
816407;631261 
816983;631258 
814809;631257 
815660;631258 
816373;631263 
816742;631259 
816206;631252 
816877;631259 
815114;631255 
816102;631255 
819138;631258 
817669;631258 
815848;631257 
816144;631256 
816514;631260 
817082;631257 
816547;631261 
816018;631257 
815692;631252 
816833;631259 
816627;631260 
815726;631257 
815815;631259 
816338;631259 
818953;631259 
817540;631264 
816571;631257 
816215;631264 
815399;631256 
816329;631256 
816370;631260 
817756;631260 
817847;631251 
817449;631256 
816124;631257 
819246;631265 
816083;631261 
818689;631261 
816743;631260 
816441;631259 
818518;631255 
815962;631259 
816022;631261 
816250;631264 
816525;631254 
816791;631258 
816896;631264 
816227;631257 
818191;631261 
816130;631253 
818112;631261 
817109;631253 
815950;631255 
815892;631259 
816811;631259 
817094;631258 
816449;631260 
816492;631256 
817825;631259 
815802;631252 
817104;631263 
816273;631264 
816292;631252 
816754;631253 
816189;631257 
816995;631258 
816600;631256 
816799;631257 
816620;631258 
816714;631261 
818646;631262 
816413;631255 
816565;631256 
817023;631254 
817066;631255 
816876;631260 
816282;631257 
816109;631259 
818249;631254 
816815;631258 
818539;631261 
815358;631259 
815375;631258 
815979;631261 
815478;631261 
816622;631258 
815709;631258 
816251;631256 
816828;631255 
816534;631259 
816909;631257 
816312;631261 
816338;631255 
815702;631256 
816128;631259 
817831;631256 
816574;631258 
815641;631256 
815828;631263 
816610;631257 
815937;631267 
816039;631259 
816054;631258 
816775;631258 
817912;631260 
817270;631259 
816215;631261 
817351;631262 
816116;631257 
817762;631260 
818424;631257 
815828;631259 
816583;631256 
816879;631253 
818136;631262 
816827;631258 
815579;631254 
817652;631258 
816381;631253 
816695;631259 
818298;631257 
815635;631258 
817695;631263 
815509;631258 
816275;631256 
