CYCLES;INS
816168;631263 
816370;631258 
817187;631256 
816861;631256 
816169;631257 
817100;631266 
816034;631256 
817934;631255 
815714;631259 
815789;631255 
818820;631267 
816529;631262 
816075;631260 
816124;631268 
816747;631257 
817747;631260 
816053;631256 
816712;631255 
815941;631255 
816464;631256 
816719;631254 
818910;631258 
816306;631253 
817010;631263 
815869;631264 
816940;631260 
816952;631256 
816072;631254 
815934;631258 
817079;631261 
816701;631252 
816480;631261 
818727;631261 
816636;631257 
816778;631256 
818380;631259 
817874;631259 
816843;631261 
817565;631259 
818442;631258 
816138;631255 
818949;631263 
816953;631252 
817237;631263 
815801;631262 
817163;631269 
818829;631256 
816116;631265 
816420;631255 
818470;631264 
818220;631255 
818757;631264 
816129;631259 
820373;631255 
816035;631251 
815988;631257 
815837;631258 
816807;631260 
817287;631263 
816249;631262 
816097;631251 
816601;631269 
816302;631258 
817334;631259 
818093;631254 
816058;631260 
818107;631257 
817249;631258 
816324;631260 
815978;631257 
816168;631258 
818194;631266 
817802;631254 
816984;631257 
816154;631256 
815945;631262 
816232;631258 
815630;631257 
815737;631260 
816041;631255 
817040;631258 
818252;631258 
816611;631256 
816383;631261 
816042;631252 
816244;631255 
816411;631261 
816865;631261 
816171;631257 
817008;631259 
816704;631259 
816651;631257 
816311;631259 
816242;631255 
819306;631260 
817000;631258 
817788;631258 
815933;631252 
816515;631260 
817031;631255 
815507;631257 
818029;631257 
816370;631260 
816029;631256 
818613;631256 
816691;631261 
816559;631258 
815669;631257 
815660;631259 
816098;631253 
816745;631268 
815646;631256 
817552;631254 
816357;631253 
815891;631255 
815492;631256 
816617;631256 
815296;631257 
815603;631258 
816683;631255 
816346;631264 
815457;631254 
816840;631262 
816105;631262 
816297;631262 
815558;631259 
816114;631251 
816702;631254 
816405;631257 
815815;631256 
815924;631259 
815769;631254 
818301;631260 
816349;631255 
816180;631259 
816230;631261 
816336;631262 
816411;631256 
816047;631257 
816056;631257 
816266;631255 
818489;631255 
815706;631258 
817154;631259 
816343;631268 
816394;631257 
816130;631256 
817383;631256 
818008;631255 
815452;631253 
816049;631253 
816070;631254 
815487;631268 
817995;631262 
816263;631255 
815722;631254 
816614;631260 
816283;631258 
815761;631259 
815982;631257 
816031;631255 
817616;631254 
816058;631262 
816362;631257 
818060;631261 
815166;631253 
817046;631256 
815242;631256 
817824;631263 
816237;631258 
815820;631261 
816632;631254 
816729;631259 
817536;631257 
816194;631256 
816204;631252 
817596;631259 
816691;631253 
815600;631254 
816508;631257 
816422;631259 
816139;631255 
815770;631257 
816314;631261 
816444;631257 
815396;631256 
819069;631257 
815943;631259 
817274;631258 
815658;631258 
816112;631258 
816682;631257 
816758;631257 
816531;631253 
818012;631255 
815907;631261 
817907;631256 
816203;631256 
816852;631251 
816291;631252 
815903;631257 
816866;631256 
818474;631255 
817958;631254 
816721;631263 
815561;631263 
816245;631254 
815654;631261 
815725;631257 
816280;631256 
819625;631256 
815880;631262 
816962;631254 
815437;631254 
818015;631256 
816077;631259 
816065;631255 
816409;631258 
816628;631261 
815970;631259 
817099;631258 
816328;631256 
816167;631256 
820788;631272 
816317;631257 
815901;631261 
816329;631264 
816968;631257 
816205;631260 
818362;631257 
815918;631256 
816476;631255 
816201;631258 
816892;631253 
817761;631263 
816610;631259 
816547;631253 
817079;631258 
817773;631260 
816278;631258 
816176;631254 
818302;631255 
816302;631255 
818035;631260 
816764;631258 
816791;631259 
815702;631258 
816063;631257 
815918;631257 
816904;631255 
815902;631255 
815568;631263 
818462;631263 
816954;631259 
816999;631254 
817535;631253 
816266;631262 
816191;631258 
817031;631255 
816007;631260 
816450;631258 
816226;631261 
816201;631261 
816598;631255 
816013;631268 
816447;631256 
816136;631255 
817261;631258 
816791;631256 
817041;631260 
815565;631264 
816099;631262 
817106;631260 
816836;631257 
819033;631257 
816684;631252 
816162;631260 
815804;631260 
816562;631259 
816562;631261 
816680;631258 
816237;631251 
816245;631254 
816861;631255 
815946;631269 
816012;631257 
815649;631257 
816858;631259 
815955;631255 
816997;631261 
816389;631255 
816636;631256 
817176;631259 
816535;631252 
816125;631258 
817712;631264 
816489;631261 
818074;631261 
816114;631258 
818016;631258 
815315;631256 
816705;631255 
816969;631251 
816938;631260 
816714;631257 
818441;631259 
816710;631257 
816985;631264 
817878;631256 
816228;631259 
816887;631256 
818354;631258 
818273;631255 
816632;631257 
816900;631257 
817049;631260 
816515;631258 
816418;631261 
815436;631259 
816170;631255 
818211;631254 
817008;631258 
816639;631257 
816779;631261 
816011;631257 
817245;631263 
815956;631264 
815518;631258 
818474;631259 
819180;631261 
816231;631258 
818197;631258 
816597;631258 
816463;631264 
816562;631259 
816722;631254 
817151;631255 
816605;631259 
816402;631257 
815223;631255 
816418;631251 
815842;631256 
817043;631256 
816499;631255 
815533;631253 
816737;631256 
817318;631259 
816017;631255 
816477;631259 
816817;631252 
818792;631260 
816884;631255 
818411;631264 
815715;631259 
816622;631257 
815982;631265 
816578;631264 
816199;631259 
816430;631256 
817020;631257 
817226;631266 
816415;631260 
817211;631252 
815700;631260 
815527;631251 
816730;631257 
815980;631258 
816350;631261 
815673;631259 
817247;631261 
815930;631256 
818238;631260 
818026;631262 
816775;631259 
818210;631255 
816614;631257 
816642;631256 
815703;631259 
818691;631258 
816252;631255 
818643;631257 
816577;631255 
816601;631255 
815531;631266 
816203;631259 
815868;631260 
818558;631257 
816533;631253 
818245;631259 
814989;631258 
816733;631260 
816189;631257 
816513;631254 
816067;631262 
818282;631266 
816368;631259 
816193;631263 
816310;631256 
818663;631255 
816383;631256 
817101;631258 
817488;631257 
816104;631256 
815963;631257 
815856;631258 
816865;631256 
818859;631257 
816357;631275 
816032;631254 
816341;631258 
816819;631254 
817695;631259 
816287;631257 
816871;631256 
816296;631258 
817101;631255 
818631;631259 
816060;631256 
816614;631262 
816570;631258 
816588;631263 
815903;631253 
819349;631256 
815232;631254 
816132;631256 
818898;631258 
816514;631252 
816495;631263 
816701;631256 
815883;631261 
815842;631256 
816608;631258 
816732;631251 
816378;631252 
817310;631255 
816213;631259 
817515;631262 
816825;631261 
816942;631259 
816462;631260 
815932;631261 
816305;631264 
816186;631256 
817912;631255 
815881;631262 
816241;631259 
815733;631256 
815747;631260 
815316;631253 
816184;631261 
816446;631260 
815696;631257 
816341;631257 
816554;631259 
816794;631260 
816129;631253 
816100;631257 
815895;631260 
816331;631255 
816202;631254 
816218;631250 
816923;631257 
815838;631262 
816026;631255 
815759;631257 
815971;631256 
816721;631261 
816867;631261 
816008;631262 
816283;631257 
816074;631259 
816782;631257 
815951;631258 
815360;631253 
818178;631259 
816363;631257 
816549;631256 
816542;631258 
816228;631258 
816314;631256 
815815;631259 
816719;631263 
815870;631255 
816032;631256 
816268;631263 
816591;631262 
816457;631252 
815937;631255 
816467;631257 
815592;631255 
816784;631258 
816643;631257 
817270;631255 
815958;631255 
816661;631261 
816910;631261 
817018;631257 
816786;631265 
815998;631258 
815720;631261 
816178;631250 
816094;631258 
818521;631256 
816775;631259 
818353;631257 
816248;631256 
816208;631261 
817531;631256 
815955;631257 
818899;631252 
815833;631260 
817262;631257 
816551;631261 
816450;631264 
818302;631257 
818015;631254 
816609;631265 
815878;631260 
818704;631258 
818472;631253 
817902;631257 
815910;631255 
817041;631261 
815876;631253 
818050;631259 
816316;631258 
817961;631257 
816058;631260 
816808;631266 
816488;631255 
816759;631260 
816799;631258 
816819;631261 
816404;631259 
816484;631258 
816050;631259 
819217;631258 
816872;631262 
816809;631253 
816222;631259 
816876;631267 
817058;631260 
816094;631260 
816824;631255 
818090;631257 
816478;631264 
816449;631260 
816801;631257 
817980;631260 
816092;631260 
816131;631254 
816365;631261 
816190;631253 
817117;631260 
816189;631266 
818295;631252 
816731;631260 
816256;631254 
816362;631255 
816705;631257 
818081;631258 
816820;631262 
818472;631264 
817002;631253 
817035;631257 
816346;631258 
816604;631255 
816945;631254 
816931;631264 
818387;631262 
818915;631257 
816058;631257 
816470;631257 
816149;631263 
816507;631256 
816582;631259 
818650;631257 
815939;631256 
818528;631266 
815900;631254 
817170;631254 
816719;631255 
816286;631262 
