CYCLES;INS
817496;631257 
816597;631258 
816331;631256 
816379;631262 
815249;631257 
816801;631268 
816913;631258 
816873;631263 
816956;631259 
816609;631255 
819339;631257 
816571;631268 
817411;631259 
814911;631253 
818319;631259 
816317;631260 
816087;631258 
815584;631252 
816221;631258 
815129;631256 
816945;631254 
816013;631256 
816097;631258 
816785;631259 
816991;631266 
817208;631262 
815688;631257 
816750;631263 
816468;631251 
816020;631259 
815629;631262 
816377;631257 
815853;631255 
814995;631261 
815890;631252 
815486;631261 
816145;631265 
817640;631261 
815846;631259 
815415;631263 
816663;631263 
816374;631253 
817066;631254 
815720;631255 
815545;631254 
817515;631261 
817336;631251 
816458;631266 
817170;631262 
816276;631262 
815427;631256 
816412;631259 
816938;631258 
816268;631269 
816551;631262 
816532;631259 
816150;631257 
815756;631262 
816587;631261 
816596;631258 
816681;631261 
817007;631260 
816235;631252 
815858;631259 
815176;631256 
816270;631256 
817148;631265 
816537;631263 
816171;631257 
815907;631259 
816493;631266 
815884;631261 
816305;631259 
816811;631260 
817143;631256 
816887;631262 
815708;631262 
816392;631254 
815440;631256 
818181;631260 
815764;631257 
816691;631260 
816568;631259 
816058;631264 
816340;631261 
816253;631253 
816488;631260 
816401;631263 
815734;631262 
816077;631268 
816236;631255 
816471;631261 
816362;631260 
816197;631254 
815900;631262 
817198;631266 
815880;631255 
817174;631260 
816239;631254 
815790;631263 
817087;631259 
816727;631278 
816777;631264 
816719;631267 
816045;631256 
816084;631264 
816186;631255 
815730;631258 
816814;631259 
815956;631255 
816307;631260 
816861;631259 
815799;631257 
816951;631259 
816305;631259 
816719;631258 
817404;631264 
815963;631256 
815955;631260 
816469;631256 
815684;631255 
816138;631259 
816213;631258 
816184;631255 
816258;631261 
815151;631261 
815548;631263 
816519;631258 
816467;631259 
816575;631259 
816807;631268 
816614;631265 
816275;631259 
816148;631254 
815532;631260 
816163;631260 
816029;631262 
816395;631261 
815917;631260 
816298;631259 
816081;631259 
816278;631261 
817543;631260 
815918;631257 
816679;631261 
