CYCLES;INS
818273;631257 
816830;631260 
816685;631258 
815820;631257 
815780;631259 
817250;631256 
815612;631259 
817117;631261 
817432;631258 
817076;631262 
816161;631255 
816060;631255 
816606;631260 
815717;631253 
816558;631264 
815890;631251 
816805;631253 
816349;631254 
816160;631255 
816317;631257 
817925;631260 
816600;631259 
817310;631265 
816276;631250 
818596;631262 
817183;631262 
816932;631262 
815838;631251 
816298;631261 
816149;631264 
816935;631262 
815973;631254 
817029;631256 
817248;631254 
815857;631259 
817822;631256 
816052;631256 
815710;631259 
816686;631253 
816115;631255 
815446;631256 
816285;631259 
818344;631256 
815803;631259 
817362;631257 
815976;631257 
817944;631258 
818719;631263 
817238;631260 
817522;631258 
815953;631261 
817886;631258 
815571;631256 
818972;631256 
816236;631254 
817438;631264 
816268;631263 
816256;631256 
816038;631254 
816671;631256 
815945;631263 
816196;631261 
816986;631256 
815508;631256 
816020;631261 
816283;631250 
816972;631259 
816606;631258 
817274;631259 
815438;631264 
815776;631263 
817232;631257 
815593;631255 
816039;631256 
816142;631255 
815802;631255 
816625;631258 
816381;631257 
814577;631258 
816573;631255 
816137;631254 
817330;631257 
815634;631254 
816384;631257 
815924;631260 
816383;631261 
816307;631259 
816241;631259 
815057;631259 
816630;631263 
815873;631255 
817068;631261 
815855;631256 
817288;631258 
817938;631256 
818239;631259 
817246;631257 
816674;631261 
816080;631259 
816628;631263 
815680;631255 
815681;631262 
816791;631255 
815279;631258 
815910;631257 
817120;631262 
815984;631259 
816113;631256 
816283;631254 
818700;631254 
817312;631256 
816213;631255 
816841;631259 
816349;631258 
816566;631254 
816242;631258 
817195;631256 
816747;631261 
816785;631256 
818110;631261 
817164;631256 
816180;631258 
816283;631260 
816053;631264 
816622;631261 
815921;631266 
815915;631261 
815853;631267 
816286;631262 
816710;631262 
817953;631257 
816456;631261 
816936;631253 
816369;631260 
815889;631262 
816170;631261 
816713;631259 
817483;631266 
816825;631251 
816589;631256 
815597;631256 
817146;631261 
816758;631261 
816180;631267 
817895;631254 
816088;631258 
815635;631256 
817023;631260 
817084;631256 
815671;631253 
815358;631254 
817223;631255 
816537;631264 
817221;631260 
815836;631255 
819417;631259 
815881;631257 
816862;631269 
816238;631252 
816312;631260 
814890;631256 
816425;631260 
817568;631257 
816544;631258 
815508;631255 
815124;631257 
816216;631254 
817553;631253 
815935;631254 
815423;631259 
816300;631261 
816071;631255 
817672;631260 
816349;631259 
816826;631264 
816774;631260 
815258;631257 
816156;631255 
816400;631259 
816473;631263 
816689;631253 
816295;631254 
815717;631255 
816624;631260 
815736;631251 
816557;631260 
816071;631256 
816173;631263 
816199;631260 
815999;631256 
816561;631259 
816630;631256 
816823;631252 
816324;631257 
817000;631254 
816116;631258 
816134;631256 
815982;631260 
816723;631261 
817801;631262 
815932;631255 
817964;631262 
816087;631262 
817460;631258 
815936;631257 
815676;631256 
817886;631256 
816768;631255 
816808;631262 
815946;631258 
816506;631260 
817041;631252 
815179;631253 
817052;631261 
815901;631259 
818370;631258 
816618;631263 
814805;631256 
815780;631256 
816155;631256 
818228;631262 
815927;631258 
815767;631255 
814918;631255 
815968;631257 
816690;631258 
816319;631257 
815771;631253 
815550;631260 
816183;631258 
816339;631255 
816269;631256 
816006;631258 
815372;631252 
815888;631256 
816529;631254 
818398;631263 
818316;631264 
815465;631255 
816674;631268 
815927;631256 
817005;631262 
816152;631261 
817233;631257 
816367;631256 
817055;631255 
817298;631256 
816001;631259 
815587;631253 
818537;631255 
816285;631259 
815957;631259 
816590;631257 
815380;631255 
816210;631256 
815587;631263 
816787;631265 
816365;631255 
816168;631256 
815912;631253 
817115;631270 
816484;631262 
815747;631258 
815834;631259 
817050;631266 
815801;631254 
