CYCLES;INS
815888;631257 
816259;631257 
815680;631256 
816605;631256 
815393;631256 
817380;631253 
819008;631252 
816584;631261 
817135;631250 
816536;631269 
815784;631256 
815911;631259 
815848;631255 
816209;631258 
815850;631254 
814578;631253 
816663;631254 
815762;631257 
818786;631262 
815312;631256 
815833;631268 
817182;631262 
815952;631254 
816854;631258 
816637;631253 
814887;631258 
815342;631257 
816372;631256 
816203;631253 
816193;631265 
816730;631256 
817968;631264 
815707;631256 
815525;631262 
815009;631256 
817790;631263 
817688;631253 
816771;631263 
815637;631256 
817179;631256 
815788;631258 
817627;631259 
816599;631264 
817911;631263 
816166;631260 
816642;631261 
816553;631254 
816509;631261 
815389;631255 
816066;631257 
818266;631258 
816641;631261 
814852;631256 
817268;631259 
815992;631259 
817670;631258 
816373;631259 
815662;631254 
815054;631259 
815779;631256 
818477;631261 
816018;631262 
817149;631262 
815992;631260 
815951;631258 
815690;631258 
816501;631262 
817125;631255 
816899;631261 
816042;631261 
815525;631259 
816426;631262 
815623;631257 
815503;631259 
815986;631265 
814139;631256 
817144;631262 
816427;631252 
817535;631256 
816074;631254 
816480;631258 
817183;631257 
816867;631263 
816380;631253 
816570;631256 
815697;631253 
815680;631258 
815851;631257 
818848;631262 
816009;631253 
816318;631258 
816182;631253 
817333;631261 
816235;631260 
816073;631262 
815925;631255 
818044;631254 
816066;631262 
816110;631257 
817060;631260 
815985;631255 
815518;631260 
817186;631252 
814826;631257 
815685;631256 
816645;631260 
815938;631258 
815188;631257 
815121;631257 
815901;631256 
816741;631253 
814859;631256 
817639;631255 
815959;631257 
815147;631257 
815945;631260 
815965;631261 
815975;631256 
817773;631255 
816548;631253 
816955;631260 
815745;631252 
816329;631264 
816338;631255 
815930;631257 
816471;631255 
815656;631258 
816573;631257 
816385;631258 
818184;631252 
816450;631254 
816605;631264 
816785;631255 
815373;631260 
815900;631259 
815798;631259 
815679;631257 
817015;631263 
816219;631260 
816639;631259 
815863;631255 
816031;631259 
816321;631253 
815856;631261 
815737;631259 
818296;631263 
815075;631255 
817412;631255 
816190;631253 
818010;631261 
818879;631266 
818094;631260 
818414;631258 
817732;631257 
817304;631255 
816234;631261 
815157;631255 
815191;631252 
815426;631262 
815224;631257 
