CYCLES;INS
815959;631258 
815919;631255 
817678;631260 
815677;631260 
815701;631256 
815401;631264 
816000;631251 
816773;631254 
816118;631261 
818662;631254 
815837;631257 
816167;631257 
817179;631255 
815917;631258 
816545;631256 
816330;631260 
816379;631260 
816409;631260 
816263;631261 
818358;631259 
815464;631258 
818104;631264 
816291;631254 
816444;631259 
816080;631260 
817687;631257 
815364;631257 
817234;631264 
815689;631256 
816682;631261 
816623;631260 
816638;631263 
817000;631257 
816246;631260 
816349;631256 
815676;631260 
816724;631253 
816637;631263 
816583;631254 
816704;631258 
815467;631251 
815985;631260 
817831;631260 
815693;631256 
818326;631256 
816459;631261 
816178;631257 
816868;631266 
815590;631259 
818040;631257 
816168;631259 
817191;631262 
816922;631254 
816206;631258 
818255;631263 
816653;631258 
816117;631253 
817743;631264 
816812;631264 
816673;631260 
816708;631254 
821358;631264 
818253;631257 
816022;631265 
816524;631258 
816860;631264 
815588;631257 
816599;631262 
815619;631257 
816689;631255 
815903;631259 
822115;631262 
817000;631261 
819080;631255 
817531;631255 
818179;631260 
815955;631255 
816322;631262 
816494;631261 
816606;631266 
816333;631261 
817544;631256 
815730;631257 
817844;631265 
816300;631254 
817664;631262 
816596;631261 
816274;631262 
815917;631260 
818104;631262 
817673;631264 
816252;631263 
815756;631262 
818389;631259 
816006;631256 
818318;631259 
815339;631255 
815987;631259 
816688;631255 
817101;631260 
817015;631257 
816828;631265 
817193;631257 
823070;631258 
817038;631259 
818061;631262 
816116;631257 
815920;631266 
816476;631261 
816223;631265 
816387;631257 
816394;631257 
816704;631256 
818910;631261 
816250;631253 
815530;631259 
815813;631253 
816405;631257 
815837;631256 
816211;631264 
818029;631253 
818160;631261 
816085;631259 
816370;631258 
816091;631257 
818191;631256 
816095;631253 
819079;631260 
815866;631252 
817442;631261 
815392;631255 
817508;631259 
815661;631257 
817200;631260 
815895;631259 
817796;631261 
816231;631261 
816445;631266 
816325;631263 
817214;631261 
816832;631253 
816734;631264 
817392;631257 
817524;631262 
817101;631260 
818293;631261 
816936;631260 
817436;631257 
816783;631257 
817424;631267 
816040;631262 
816517;631267 
815962;631263 
816393;631264 
815195;631255 
816258;631264 
816398;631260 
816531;631264 
815714;631255 
817236;631266 
815670;631253 
816646;631259 
816376;631251 
816255;631259 
817476;631254 
816904;631259 
816164;631259 
816796;631260 
816399;631258 
816001;631259 
815997;631252 
816740;631262 
817335;631266 
818291;631255 
816788;631260 
815772;631261 
815527;631254 
817251;631263 
817782;631254 
816795;631261 
816514;631257 
816823;631258 
817568;631261 
818692;631255 
815818;631255 
816642;631257 
816469;631256 
816624;631267 
818168;631262 
815523;631258 
818385;631259 
818007;631255 
817065;631263 
818525;631261 
816608;631265 
817825;631274 
816031;631254 
818393;631264 
816515;631253 
818625;631257 
816636;631259 
816040;631254 
818623;631266 
817454;631254 
815543;631259 
816152;631265 
818359;631260 
817296;631258 
816750;631264 
816381;631259 
816531;631258 
817238;631260 
816317;631260 
816335;631253 
817855;631253 
816519;631255 
816374;631256 
816608;631257 
817348;631257 
817256;631260 
816342;631260 
817859;631263 
817394;631266 
816448;631265 
816942;631256 
817925;631261 
816206;631256 
817326;631261 
815817;631254 
816362;631262 
815921;631258 
820675;631258 
817832;631256 
815454;631263 
816242;631258 
816446;631263 
816815;631258 
817640;631261 
815954;631262 
818348;631255 
816260;631255 
817954;631258 
816641;631258 
816318;631265 
817225;631261 
816604;631255 
816010;631270 
815881;631261 
816170;631252 
818229;631257 
818133;631253 
816495;631261 
817139;631259 
815992;631256 
816362;631260 
815885;631257 
816330;631254 
818170;631259 
816517;631258 
816865;631258 
816026;631253 
816820;631261 
816682;631261 
817073;631259 
815914;631253 
818918;631260 
816533;631264 
817539;631267 
818781;631256 
817313;631258 
817935;631261 
817693;631256 
816576;631257 
816828;631264 
815725;631255 
815932;631259 
816631;631257 
819019;631267 
816286;631256 
816873;631260 
815575;631258 
817409;631264 
817150;631254 
816582;631257 
815544;631256 
815535;631256 
816231;631260 
816657;631261 
817569;631254 
817296;631253 
816119;631254 
818971;631259 
818502;631262 
816320;631259 
816542;631260 
815874;631257 
816087;631253 
817440;631257 
815813;631253 
818248;631260 
816523;631256 
816616;631265 
816753;631261 
816907;631265 
816171;631256 
816644;631259 
816199;631257 
816569;631264 
817137;631254 
817066;631255 
816587;631255 
817787;631256 
816158;631270 
816298;631263 
816164;631255 
816532;631262 
816674;631260 
820928;631265 
816141;631262 
816653;631261 
816182;631256 
815890;631254 
817876;631258 
817963;631258 
817815;631256 
818456;631260 
815595;631255 
817683;631267 
815847;631257 
817067;631257 
817110;631262 
816577;631261 
816876;631256 
816931;631261 
817920;631261 
816329;631257 
815133;631259 
817446;631257 
815687;631262 
816591;631260 
816213;631258 
816591;631263 
818767;631260 
818845;631259 
818279;631263 
817031;631261 
815794;631254 
817259;631259 
815669;631261 
816429;631256 
818633;631256 
818859;631260 
817055;631264 
815861;631262 
815910;631257 
816445;631256 
818564;631258 
817328;631265 
816372;631254 
818715;631262 
815690;631252 
816807;631256 
816518;631254 
817204;631255 
816374;631257 
815514;631261 
815550;631256 
819195;631261 
816663;631257 
816652;631260 
816048;631259 
816266;631257 
817255;631258 
819249;631258 
816522;631256 
816690;631260 
817921;631255 
816518;631262 
816307;631261 
816094;631256 
816612;631256 
817891;631260 
816721;631263 
815844;631258 
815762;631254 
815441;631257 
816546;631260 
817958;631261 
816892;631259 
816087;631261 
815433;631262 
816097;631261 
816315;631258 
818781;631261 
816039;631252 
816535;631258 
815616;631256 
816450;631262 
816399;631265 
816171;631263 
816054;631256 
819114;631262 
816605;631257 
816076;631258 
816030;631254 
816750;631257 
816795;631256 
817809;631265 
815617;631252 
816132;631260 
815399;631256 
818687;631260 
815930;631260 
819116;631265 
816416;631252 
818279;631262 
815326;631258 
816956;631260 
816546;631256 
816074;631260 
816284;631256 
816356;631266 
815671;631254 
816558;631263 
818294;631259 
817235;631267 
815890;631257 
815935;631259 
816377;631254 
817784;631265 
817172;631255 
816561;631259 
816713;631252 
816372;631261 
815515;631262 
818706;631269 
815709;631255 
817078;631263 
817687;631258 
815469;631262 
817802;631257 
816254;631259 
816077;631256 
816684;631261 
816534;631257 
874084;631397 
850766;631372 
890439;631436 
892336;631404 
871418;631369 
818616;631255 
829964;631272 
883690;631360 
833102;631300 
880259;631378 
909782;631447 
816229;631260 
857037;631345 
844915;631354 
876652;631406 
831743;631287 
897011;631451 
817004;631257 
896263;631424 
818622;631254 
819647;631261 
816804;631259 
816256;631254 
815627;631261 
815515;631257 
816319;631255 
817838;631256 
816276;631257 
816473;631259 
816635;631255 
816276;631252 
817337;631259 
817442;631259 
815830;631255 
816320;631254 
817355;631257 
816107;631256 
816212;631255 
816758;631264 
816658;631263 
816501;631255 
816909;631265 
816793;631264 
818219;631261 
815374;631257 
818826;631256 
816155;631257 
815938;631261 
816205;631255 
816813;631257 
816484;631260 
817051;631259 
815676;631260 
816769;631255 
816764;631262 
816240;631262 
815687;631255 
818122;631260 
816610;631257 
817236;631260 
816061;631257 
818728;631261 
815853;631252 
817190;631259 
816740;631258 
817148;631265 
816752;631256 
816154;631259 
815732;631255 
816669;631261 
816538;631263 
817017;631256 
817272;631256 
815631;631255 
815211;631261 
816774;631261 
818830;631257 
815923;631251 
816419;631259 
815974;631257 
817132;631261 
816034;631256 
817531;631252 
815856;631257 
815797;631252 
816810;631258 
815798;631253 
816079;631258 
816299;631252 
816340;631260 
815936;631257 
816454;631259 
816213;631257 
816482;631256 
816315;631260 
816990;631263 
816105;631258 
816347;631259 
815942;631255 
815532;631262 
816053;631260 
818039;631257 
816293;631257 
817755;631262 
816952;631259 
815887;631264 
816766;631255 
817082;631256 
815955;631263 
816107;631259 
817581;631256 
816581;631256 
816432;631260 
817400;631257 
816259;631262 
816775;631267 
816793;631256 
816540;631259 
816656;631257 
816921;631258 
816616;631258 
816425;631257 
816371;631253 
816541;631267 
816662;631256 
815987;631258 
816777;631258 
816780;631257 
815565;631264 
815831;631257 
815735;631253 
816365;631258 
815477;631259 
816134;631257 
815825;631260 
818612;631261 
818115;631255 
816716;631256 
816256;631255 
815973;631255 
815895;631257 
819409;631261 
816341;631259 
815774;631254 
816396;631261 
815750;631254 
816565;631259 
815927;631256 
817867;631258 
818826;631258 
816564;631256 
816668;631256 
817676;631259 
816078;631261 
816325;631262 
815339;631258 
817001;631254 
817175;631261 
816714;631260 
816497;631256 
816080;631262 
816001;631254 
816044;631254 
815824;631256 
815899;631255 
817256;631253 
816687;631252 
817363;631264 
816709;631257 
816283;631257 
816263;631255 
817384;631263 
816108;631255 
816866;631254 
818102;631255 
815151;631261 
816917;631259 
815906;631254 
815948;631261 
816884;631264 
816142;631255 
817050;631266 
815776;631258 
816126;631257 
816542;631259 
816311;631269 
816924;631259 
815999;631263 
816419;631259 
817006;631258 
816882;631258 
817390;631259 
815888;631257 
816055;631260 
815622;631254 
815924;631264 
817079;631259 
815573;631257 
817383;631255 
816647;631257 
817722;631262 
815969;631257 
815981;631271 
816311;631253 
820285;631260 
815913;631251 
815727;631260 
816067;631254 
817488;631261 
816686;631253 
815815;631262 
816080;631252 
816226;631265 
817228;631255 
817899;631267 
816177;631254 
817205;631258 
815554;631256 
816665;631257 
815568;631258 
817265;631267 
815542;631255 
816995;631262 
815677;631254 
817643;631262 
815989;631260 
816625;631259 
816053;631254 
816276;631261 
816935;631257 
