CYCLES;INS
816186;631258 
816830;631258 
817235;631268 
816201;631255 
816870;631260 
816551;631256 
817281;631262 
817067;631263 
817091;631261 
816137;631258 
816777;631260 
816230;631255 
815490;631257 
816325;631253 
816351;631258 
817214;631258 
816758;631260 
815922;631265 
816443;631256 
815559;631255 
816541;631258 
817085;631269 
816733;631257 
816250;631258 
817413;631254 
816936;631257 
816327;631254 
817070;631260 
816796;631263 
816598;631260 
817071;631262 
816964;631254 
816432;631258 
817114;631265 
817139;631262 
816254;631257 
816346;631253 
816499;631260 
817781;631260 
816978;631263 
816938;631261 
816497;631256 
817436;631260 
816508;631262 
816400;631263 
816302;631261 
816689;631254 
817515;631266 
816832;631260 
817047;631265 
815306;631256 
815986;631260 
817010;631264 
816567;631263 
816896;631253 
815998;631257 
816485;631263 
816834;631257 
817765;631261 
816567;631256 
816605;631257 
816441;631254 
816246;631260 
816365;631260 
817311;631259 
816602;631266 
817118;631260 
817871;631257 
815894;631259 
816442;631258 
816142;631256 
816974;631259 
817028;631262 
816280;631257 
815895;631256 
815823;631256 
816451;631259 
816066;631262 
815671;631257 
816854;631263 
816175;631258 
816911;631256 
815996;631255 
816348;631260 
817351;631261 
816970;631265 
815789;631254 
816345;631257 
816170;631257 
816788;631262 
815790;631253 
816405;631263 
815359;631252 
816090;631257 
816648;631260 
816107;631256 
816587;631259 
815847;631255 
816133;631253 
816860;631261 
816573;631260 
816650;631257 
817775;631260 
817182;631258 
818048;631260 
816601;631258 
816733;631260 
816632;631263 
817157;631260 
817347;631259 
816656;631263 
815930;631259 
816672;631256 
817824;631260 
816059;631256 
816145;631252 
815953;631257 
816977;631261 
816012;631256 
815233;631257 
816589;631259 
816278;631259 
816814;631259 
815966;631257 
817121;631251 
816936;631262 
817093;631257 
815392;631263 
815906;631258 
817813;631256 
816603;631261 
817348;631258 
816961;631265 
815090;631257 
815673;631253 
816459;631255 
815554;631254 
817313;631256 
815732;631257 
816125;631260 
816125;631262 
816693;631256 
815832;631255 
817096;631265 
816616;631259 
817136;631265 
815890;631257 
816280;631262 
817945;631262 
817098;631259 
817323;631259 
816914;631257 
816228;631261 
816797;631265 
817060;631268 
815249;631257 
815908;631256 
816519;631255 
816575;631261 
816457;631261 
816069;631259 
816596;631261 
816296;631255 
817164;631255 
816108;631255 
816611;631253 
816467;631253 
816703;631260 
818075;631258 
817369;631256 
816259;631256 
816532;631261 
816372;631261 
816581;631264 
816602;631255 
817112;631261 
817795;631262 
816895;631262 
817037;631259 
815794;631255 
817118;631258 
816581;631264 
817214;631264 
816562;631258 
816188;631255 
816529;631260 
816982;631256 
815772;631254 
815947;631263 
816913;631258 
816520;631253 
815638;631257 
816120;631258 
816576;631251 
816335;631261 
816443;631261 
816936;631260 
816167;631251 
817039;631266 
816268;631254 
816986;631259 
815771;631264 
816179;631256 
815824;631256 
817020;631258 
815734;631263 
817414;631255 
816200;631257 
817033;631258 
817088;631254 
816977;631269 
817100;631263 
816364;631253 
818244;631259 
816991;631256 
816847;631260 
816616;631252 
817311;631264 
816379;631260 
817503;631267 
815651;631254 
816438;631257 
816123;631254 
816007;631258 
816153;631259 
816372;631261 
816585;631260 
816642;631268 
816331;631256 
816693;631257 
815451;631257 
816976;631258 
815633;631258 
817040;631257 
816465;631255 
816366;631256 
816656;631258 
817194;631260 
816423;631259 
816419;631253 
815456;631257 
816226;631257 
816144;631259 
817383;631258 
816154;631256 
816700;631262 
816431;631261 
816433;631256 
816278;631258 
816717;631258 
816840;631264 
816776;631257 
817930;631256 
816449;631253 
816717;631262 
818209;631269 
816261;631264 
816583;631264 
816656;631263 
816520;631257 
815386;631260 
817024;631254 
815849;631263 
816068;631259 
817265;631254 
816459;631266 
816630;631257 
815534;631254 
816436;631259 
815366;631250 
817284;631259 
816833;631257 
817065;631252 
817833;631265 
817031;631264 
816309;631265 
816707;631255 
817767;631260 
816420;631257 
816431;631262 
815988;631261 
817038;631263 
816536;631264 
815304;631257 
816738;631261 
818052;631262 
816345;631254 
816260;631259 
816315;631267 
816204;631260 
816284;631256 
816315;631254 
816599;631267 
816732;631262 
817028;631259 
815472;631256 
816164;631257 
816252;631256 
815935;631257 
817105;631259 
816806;631255 
816669;631258 
817489;631262 
817543;631261 
816256;631256 
816834;631264 
816836;631260 
816484;631256 
817940;631258 
816845;631257 
816511;631257 
816394;631263 
816627;631261 
816503;631254 
815367;631260 
816666;631261 
817092;631268 
816638;631255 
816168;631262 
816576;631264 
816892;631258 
816134;631257 
816493;631258 
815834;631261 
817306;631260 
815651;631254 
817316;631263 
816021;631259 
816024;631258 
817081;631259 
816050;631263 
815812;631255 
816636;631256 
817340;631270 
816734;631262 
817233;631261 
816699;631256 
816075;631255 
816953;631264 
817592;631260 
816872;631258 
815654;631259 
816573;631254 
816041;631254 
816704;631255 
815765;631254 
816575;631263 
815344;631255 
816356;631255 
816481;631259 
816733;631256 
816888;631259 
815607;631258 
817299;631256 
816676;631266 
816717;631260 
816316;631254 
817038;631259 
816193;631258 
817360;631261 
816409;631262 
817415;631268 
818305;631261 
816641;631261 
816725;631257 
815876;631255 
816466;631258 
816755;631255 
816883;631256 
815141;631259 
816452;631261 
816144;631255 
816815;631258 
816052;631261 
816066;631255 
817131;631257 
816499;631259 
816343;631259 
815733;631254 
815969;631260 
815834;631257 
816687;631258 
816701;631256 
816488;631256 
817257;631260 
817076;631262 
816481;631259 
816386;631260 
816539;631257 
816232;631250 
816808;631257 
817066;631262 
816415;631250 
816246;631254 
816005;631256 
815860;631258 
816904;631260 
816433;631257 
817597;631261 
815820;631251 
