CYCLES;INS
816419;631253 
816146;631263 
818108;631257 
815753;631267 
816387;631257 
815072;631260 
818541;631255 
817009;631255 
816365;631258 
816146;631255 
816220;631263 
817471;631257 
816252;631265 
816530;631255 
816261;631258 
816888;631254 
816485;631256 
816475;631256 
815903;631258 
816675;631257 
816778;631250 
818978;631259 
816409;631257 
818355;631257 
815769;631257 
816305;631253 
819304;631265 
817616;631254 
815119;631259 
817207;631259 
816338;631260 
816348;631255 
816334;631258 
818144;631256 
816409;631260 
815984;631256 
816662;631265 
816589;631269 
817082;631263 
816881;631258 
820104;631268 
818144;631253 
816982;631255 
816214;631254 
815501;631258 
817618;631254 
816847;631261 
815293;631256 
816464;631266 
818593;631265 
816970;631265 
818511;631255 
816010;631259 
816721;631254 
816544;631259 
815321;631253 
815555;631255 
816244;631264 
816045;631254 
816317;631258 
816427;631257 
816206;631270 
816813;631262 
816665;631264 
816678;631256 
817473;631261 
816069;631255 
817555;631264 
815775;631257 
816614;631260 
816252;631255 
816566;631264 
816311;631255 
817439;631258 
815788;631257 
817952;631265 
816269;631260 
816479;631259 
816182;631260 
816296;631259 
816295;631257 
816265;631260 
816064;631254 
818573;631265 
817160;631260 
817551;631272 
815929;631255 
816610;631259 
816090;631259 
816837;631259 
816085;631261 
815744;631262 
815985;631255 
816885;631258 
818117;631256 
818892;631260 
816124;631255 
816672;631263 
816417;631259 
816542;631262 
816292;631258 
819700;631262 
816705;631254 
817461;631263 
816416;631255 
819013;631261 
815640;631259 
815992;631266 
815914;631259 
819429;631265 
815644;631260 
816705;631263 
815767;631253 
817400;631264 
816222;631255 
818479;631257 
815713;631259 
816902;631265 
816306;631257 
817300;631265 
816031;631255 
817004;631257 
815827;631257 
816553;631256 
818914;631261 
815873;631259 
815551;631258 
816288;631259 
816504;631253 
816639;631263 
816674;631256 
815838;631254 
817039;631259 
815623;631254 
817114;631255 
818426;631263 
815491;631258 
816745;631256 
816204;631256 
817065;631253 
815462;631261 
816187;631259 
816391;631260 
816521;631257 
816622;631254 
815695;631257 
816242;631263 
818469;631254 
816185;631252 
815795;631256 
818517;631260 
817782;631256 
816826;631263 
815339;631252 
816755;631257 
815999;631255 
816066;631256 
818686;631261 
818074;631260 
815927;631261 
817358;631256 
815597;631253 
816482;631262 
817405;631260 
817153;631254 
816666;631261 
816214;631258 
817127;631260 
815918;631259 
819402;631258 
817346;631260 
816795;631261 
819212;631264 
816918;631259 
816554;631256 
818153;631260 
816354;631259 
817346;631257 
816619;631256 
816295;631262 
816503;631260 
816760;631261 
815590;631255 
817327;631261 
818519;631253 
816693;631257 
816004;631256 
817355;631263 
815886;631259 
818632;631256 
815945;631253 
818284;631262 
815932;631254 
816889;631264 
816310;631254 
818097;631263 
816215;631254 
816615;631258 
815940;631254 
815579;631258 
816083;631258 
815750;631257 
816364;631262 
815936;631258 
817700;631262 
816197;631256 
819827;631259 
816347;631255 
818581;631261 
815496;631253 
816882;631260 
816530;631258 
818159;631260 
817111;631255 
817137;631264 
815293;631257 
818603;631265 
815796;631253 
818173;631270 
816096;631260 
816195;631260 
815999;631254 
816087;631263 
816508;631261 
816068;631262 
815636;631257 
818070;631258 
818097;631262 
816743;631257 
816363;631258 
815714;631256 
816671;631258 
816227;631256 
816638;631257 
815624;631255 
815737;631255 
815602;631258 
818135;631260 
816302;631263 
815869;631255 
815930;631256 
816350;631261 
815711;631254 
816060;631257 
816347;631258 
816230;631256 
816653;631258 
818012;631258 
