CYCLES;INS
393397;248853 
394704;248917 
393961;248849 
393631;248866 
394337;248918 
394022;248888 
394131;248900 
394584;248844 
393501;248860 
393482;248867 
393521;248885 
393969;248889 
394218;248934 
394357;248928 
394227;248919 
393827;248889 
394667;248908 
394011;248859 
393646;248894 
393384;248852 
394521;248909 
394567;248913 
393603;248909 
394396;248914 
394449;248934 
393940;248905 
393827;248880 
394693;248915 
394281;248948 
394592;248897 
394349;248942 
394109;248903 
393850;248870 
394318;248919 
394626;248959 
394381;248932 
394314;248925 
394324;248905 
394832;248947 
394800;248999 
393833;248897 
393932;248872 
394489;248935 
393712;248865 
394565;248928 
394101;248919 
394231;248891 
394663;248932 
393805;248843 
394272;248911 
394116;248910 
394166;248919 
393681;248941 
395340;248943 
394913;248961 
393886;248909 
394456;248921 
394684;248928 
395298;248998 
394160;248930 
394480;248913 
394121;248901 
394018;248898 
393842;248860 
394434;248930 
393808;248855 
393240;248908 
393851;248909 
393644;248910 
393352;248871 
394157;248887 
393975;248916 
394926;248941 
394134;248903 
394436;248904 
394680;248939 
393814;248865 
393934;248888 
394202;248945 
393686;248902 
393901;248929 
393663;248883 
393974;248899 
393894;248872 
394015;248887 
394637;248944 
393908;248911 
393564;248880 
393832;248852 
394649;248912 
394636;248926 
394062;248863 
394730;248950 
394342;248876 
395011;248945 
394940;248932 
393324;248884 
394070;248889 
393788;248903 
393647;248909 
394027;248901 
394288;248922 
393605;248900 
393931;248883 
392729;248879 
393863;248890 
394274;248897 
393652;248901 
393738;248908 
394409;248969 
393320;248883 
394019;248905 
394451;248962 
394050;248915 
393340;248848 
393666;248894 
393493;248914 
393764;248885 
394490;248914 
394010;248916 
393982;248937 
393864;248889 
394232;248903 
393945;248911 
394607;248936 
394805;248937 
394020;248899 
394272;248907 
393914;248909 
393777;248917 
394861;248976 
393956;248887 
394607;248921 
394073;248884 
393777;248879 
394324;248923 
394807;248954 
393903;248849 
394190;248916 
393848;248909 
394509;248883 
393412;248872 
394657;248938 
393893;248928 
394240;248950 
393765;248913 
394055;248894 
394318;248907 
394394;248932 
394047;248874 
394257;248939 
394295;248937 
394604;248920 
393502;248870 
393914;248904 
394648;248947 
393337;248852 
394687;248917 
393374;248871 
394120;248885 
393435;248888 
393533;248840 
394045;248895 
394252;248886 
394939;248934 
393745;248889 
394253;248930 
394365;248942 
393989;248927 
394237;248897 
393991;248935 
393770;248936 
394209;248888 
393786;248891 
393849;248901 
394773;248909 
393891;248923 
393718;248904 
393693;248897 
394119;248927 
393617;248871 
394639;248958 
394294;248932 
393991;248878 
393975;248883 
394655;248926 
394797;248952 
393730;248886 
394374;248952 
393317;248888 
394137;248941 
394168;248944 
394663;248937 
393795;248879 
394507;248880 
393592;248881 
393954;248893 
393855;248900 
392584;248872 
394358;248885 
394118;248913 
393952;248897 
394799;248907 
394015;248879 
393560;248910 
394514;248938 
393307;248909 
393802;248883 
394689;248928 
394431;248894 
394582;248923 
394456;248940 
394183;248927 
393672;248884 
394429;248909 
394738;248976 
394128;248937 
394781;248934 
394185;248921 
394844;248950 
393753;248873 
394435;248866 
394639;248918 
