CYCLES;INS
394209;248919 
395722;248882 
394195;248907 
395060;248878 
393844;248883 
395514;248895 
395576;248844 
393242;248872 
395592;248944 
395898;248889 
393968;248894 
393710;248925 
394729;248931 
395331;248906 
393880;248903 
394181;248925 
396027;248879 
394253;248930 
394357;248893 
394190;248923 
396243;248960 
393751;248913 
396047;248916 
395735;248892 
395264;248871 
393610;248875 
395665;248848 
393748;248866 
394314;248969 
394874;248916 
394185;248936 
395959;248909 
394789;248928 
393378;248884 
395844;248942 
395240;248933 
393401;248897 
393886;248856 
394602;248990 
394209;248927 
393723;248892 
394423;248918 
394593;248914 
394590;248982 
394562;248904 
394939;248883 
393685;248934 
394346;248922 
396304;248940 
393181;248932 
394940;248886 
393580;248939 
394691;248910 
394737;248928 
395642;248901 
395743;248905 
396391;248973 
393181;248846 
394562;248941 
393728;248884 
393714;248865 
394253;248966 
394398;248930 
394345;248965 
394048;248860 
395332;248915 
394226;248868 
394725;248884 
394506;248934 
393432;248934 
393156;248869 
394583;248960 
394208;248909 
392898;248850 
394036;248909 
393439;248924 
395780;248994 
394634;248933 
395616;248895 
394339;248932 
394881;248919 
392950;248812 
395299;248960 
394662;248904 
395554;248904 
394075;248954 
394185;248950 
395339;248924 
394381;248946 
394150;248866 
394845;248865 
394003;248926 
395325;248878 
393713;248934 
393489;248905 
394846;248941 
393578;248887 
395001;248915 
395895;248900 
395491;248880 
394020;248901 
393730;248940 
393939;248904 
393814;248914 
394273;248914 
396139;248974 
394907;248906 
393816;248947 
393899;248919 
394326;248938 
395261;248921 
394059;248912 
394124;248893 
393961;248873 
395392;248854 
394104;248919 
394206;248912 
393728;248875 
393337;248879 
395456;248940 
395056;248892 
393943;248891 
393491;248915 
395350;248911 
395497;248865 
394397;248933 
394076;248931 
395282;248866 
393711;248888 
394017;248868 
393969;248920 
393706;248891 
395564;248897 
394097;248907 
393770;248880 
393268;248877 
396374;248878 
396083;248926 
395696;248916 
393771;248883 
393479;248879 
395151;248928 
395569;248932 
393962;248880 
394100;248923 
393961;248903 
393321;248889 
394536;248975 
394105;248911 
396342;248931 
393744;248888 
394930;248900 
394748;248938 
393906;248908 
393298;248904 
394036;248910 
393692;248899 
393590;248901 
396194;248900 
394195;248912 
396036;248920 
394491;248949 
395087;248915 
393501;248918 
393663;248924 
394398;248942 
395266;248908 
396891;248885 
393949;248904 
394434;248901 
392674;248875 
394741;248896 
395237;248909 
395962;248885 
393605;248918 
395522;248866 
394296;248886 
395183;248862 
395455;248892 
393739;248883 
394397;248927 
394834;248926 
393186;248901 
397285;248956 
395792;248929 
395993;248926 
394543;248921 
395157;248899 
394861;248922 
393881;248955 
393690;248949 
393751;248906 
394453;248939 
395425;248901 
395605;248930 
394511;248919 
394954;248909 
393538;248949 
394284;248896 
394763;248899 
392987;248856 
393579;248910 
394159;248915 
394847;248909 
394113;248924 
395274;248900 
395875;248941 
393710;248912 
393486;248910 
393745;248905 
393581;248899 
395251;248936 
394413;248941 
394890;248910 
393861;248925 
394582;248936 
394557;248948 
394708;248886 
395138;248921 
393396;248868 
395895;248895 
393070;248842 
394668;248898 
393892;248890 
394772;248943 
394080;248905 
394072;248918 
394009;248905 
394093;248959 
394670;248947 
394038;248876 
393668;248897 
394369;248899 
394532;248882 
394755;248905 
395170;248926 
393794;248903 
394163;248906 
394804;248914 
396534;248860 
393722;248882 
395822;248915 
395736;248886 
394788;248971 
393742;248889 
396391;248898 
393869;248899 
393536;248899 
394037;248915 
395749;248923 
393823;248912 
395291;248912 
394450;248952 
394412;248897 
395601;248909 
394096;248931 
395587;248879 
393651;248890 
393506;248914 
394092;248931 
394737;248886 
395019;248876 
395061;248912 
393273;248895 
394306;248920 
394628;248977 
393806;248884 
393486;248900 
394947;248923 
393679;248928 
393051;248860 
393448;248918 
397221;248982 
394406;248895 
396501;248927 
394081;248893 
395336;248883 
392718;248831 
393790;248923 
394362;248927 
395999;248892 
394686;248972 
393715;248925 
396480;248864 
393330;248864 
393857;248881 
394042;248921 
394259;248951 
394274;248942 
394013;248895 
394220;248903 
393180;248896 
395172;248911 
394745;248892 
394220;248950 
394086;248877 
395950;248880 
394375;248909 
395833;248882 
393373;248896 
393683;248919 
393239;248896 
394654;248893 
394622;248921 
395568;248907 
393728;248871 
393042;248826 
395723;248911 
396818;248907 
394842;248924 
393468;248907 
394309;248964 
393674;248905 
394050;248932 
393504;248931 
393775;248863 
393972;248864 
393701;248897 
394574;248912 
394062;248944 
394184;248909 
393635;248889 
393439;248879 
394241;248925 
393646;248905 
397374;248909 
394179;248953 
394072;248918 
395681;248900 
393712;248871 
394450;248944 
395436;248935 
393464;248859 
394641;248887 
393608;248893 
392913;248854 
393319;248884 
393555;248871 
393940;248899 
396747;248890 
393419;248905 
394391;248859 
393595;248882 
393807;248878 
395289;248922 
395802;248833 
394512;248922 
394747;248910 
394728;248914 
395316;248909 
396022;248910 
394794;248921 
395361;248820 
394977;248864 
395736;248955 
393770;248908 
394087;248924 
396471;248934 
395296;248913 
394218;248943 
395522;248971 
393948;248939 
394673;248898 
393935;248881 
394100;248926 
395898;248907 
394141;248888 
394188;248904 
394423;248920 
394194;248977 
393767;248891 
393727;248878 
393672;248932 
