CYCLES;INS
394345;248937 
393908;248868 
393679;248909 
394567;248902 
394119;248935 
394330;248900 
394344;248939 
394677;248974 
394561;248919 
394165;248913 
394419;248915 
393903;248883 
394154;248952 
394135;248898 
393709;248881 
394591;248931 
394144;248939 
394535;248905 
394068;248895 
394537;248949 
394269;248946 
393505;248904 
393842;248903 
394354;248845 
393352;248902 
394285;248928 
394702;248892 
394134;248878 
394066;248904 
393697;248866 
394162;248915 
394785;248932 
394330;248924 
394106;248951 
394405;248934 
393578;248859 
393786;248900 
394441;248948 
394972;248928 
393299;248898 
394682;248926 
394283;248917 
394526;248939 
394657;248898 
394097;248912 
393934;248861 
395025;248930 
394413;248925 
393520;248884 
394767;248883 
394331;248911 
394762;248921 
393965;248920 
394240;248932 
393874;248880 
393961;248904 
395042;248955 
393894;248864 
394066;248900 
394828;248961 
394382;248943 
394755;248915 
394154;248869 
395148;248932 
394786;248932 
393994;248906 
394244;248889 
394449;248929 
394242;248920 
393825;248927 
394112;248882 
394551;248915 
394038;248943 
394164;248909 
394206;248926 
394377;248913 
394101;248952 
393001;248826 
393421;248897 
394235;248903 
394870;248917 
394264;248954 
395197;248956 
393861;248888 
394274;248896 
394279;248913 
394426;248897 
394090;248925 
393633;248894 
394247;248906 
394135;248880 
394124;248930 
394308;248928 
394036;248898 
393960;248849 
393746;248918 
395044;248942 
395014;248937 
394351;248875 
394371;248897 
394049;248862 
395123;248961 
393407;248886 
394803;248893 
393902;248891 
394641;248956 
393493;248926 
394071;248921 
394724;248947 
393553;248884 
393979;248908 
395053;248938 
394411;248929 
394842;248952 
393510;248854 
394082;248891 
394469;248975 
394173;248930 
394295;248893 
393985;248886 
393866;248901 
394529;248903 
393672;248899 
395008;248937 
394596;248953 
393741;248916 
394358;248870 
393981;248913 
393649;248883 
394174;248914 
393861;248908 
393469;248877 
394661;248914 
395053;248918 
393596;248911 
393909;248898 
394214;248910 
393236;248896 
394175;248848 
393982;248922 
394122;248894 
393754;248869 
394714;248954 
394479;248879 
394523;248970 
393569;248881 
394162;248906 
394871;248943 
395001;248955 
394637;248931 
394402;248919 
393713;248904 
394344;248892 
394669;248939 
394439;248928 
394362;248895 
393721;248885 
393710;248892 
393534;248877 
394618;248931 
395155;248985 
394456;248915 
394177;248930 
394777;248877 
394011;248932 
394572;248935 
394223;248888 
393976;248904 
394332;248938 
394100;248904 
394842;248931 
393870;248904 
393720;248893 
394196;248878 
394209;248888 
394234;248879 
394235;248914 
394233;248899 
394747;248905 
393917;248844 
393528;248912 
393587;248886 
393454;248881 
393670;248876 
394207;248929 
394347;248910 
394605;248936 
394117;248904 
394481;248950 
394075;248911 
394947;248975 
394669;248934 
393562;248861 
394659;248975 
394453;248900 
394301;248913 
393872;248951 
394248;248906 
393678;248923 
392844;248843 
393742;248884 
393633;248919 
394541;248904 
394219;248929 
393935;248881 
394084;248864 
395366;248957 
393874;248883 
394617;248954 
394094;248929 
395037;248955 
394162;248947 
395314;248934 
393253;248862 
393524;248878 
394563;248915 
394586;248959 
394480;248914 
393745;248899 
394257;248908 
394308;248925 
394891;248877 
393923;248950 
393520;248870 
395758;248912 
394830;248948 
394144;248929 
393129;248823 
394127;248906 
394905;248947 
394297;248945 
394024;248916 
393885;248886 
394215;248889 
394270;248924 
393952;248895 
394402;248970 
394292;248934 
393871;248906 
393873;248902 
393490;248862 
394178;248939 
393868;248906 
394058;248912 
395024;248980 
393777;248877 
393859;248881 
393755;248907 
394245;248951 
394929;248970 
393353;248869 
393767;248889 
394939;248955 
394623;248909 
393888;248875 
394155;248946 
393993;248894 
394521;248921 
393892;248931 
393923;248910 
394413;248918 
393943;248910 
393436;248907 
394012;248910 
394584;248930 
394415;248921 
393822;248887 
394035;248874 
393281;248857 
394360;248919 
394136;248946 
394496;248902 
393497;248888 
394369;248910 
394096;248887 
394865;248960 
393668;248883 
393945;248927 
393998;248922 
394493;248924 
393999;248890 
393413;248871 
394082;248904 
394791;248904 
394477;248901 
394799;248925 
393635;248897 
393841;248927 
393812;248892 
393791;248890 
394539;248891 
393975;248849 
394608;248923 
394627;248939 
393862;248901 
394410;248943 
394439;248926 
394087;248937 
394480;248915 
393247;248868 
394883;248915 
394370;248889 
394114;248892 
394756;248967 
394010;248914 
394498;248954 
394636;248941 
394989;248959 
393907;248895 
394268;248885 
393743;248887 
394042;248902 
394332;248894 
393370;248857 
394669;248950 
394395;248924 
393895;248893 
394770;248902 
394111;248947 
393759;248916 
393538;248919 
394049;248848 
394217;248897 
394209;248913 
394722;248953 
393498;248896 
394125;248948 
393729;248927 
393960;248904 
393901;248887 
394079;248885 
393732;248929 
394599;248908 
392778;248886 
394083;248937 
393710;248888 
394175;248893 
393488;248877 
394191;248927 
393854;248877 
394056;248916 
395042;248930 
394229;248948 
393799;248914 
393320;248877 
393343;248902 
393749;248893 
394281;248890 
394443;248940 
393301;248872 
394372;248925 
392925;248848 
394156;248919 
393988;248888 
395019;248970 
393842;248899 
394703;248942 
394193;248897 
393968;248924 
394384;248894 
393721;248865 
394554;248862 
394063;248939 
394169;248885 
393789;248907 
394047;248924 
394910;248947 
394500;248913 
394816;248939 
394338;248908 
393836;248905 
393340;248855 
394668;248933 
394184;248929 
394059;248886 
394451;248924 
394653;248903 
393661;248880 
393649;248860 
393493;248905 
394232;248919 
394133;248922 
394834;248964 
393944;248899 
394597;248965 
394313;248916 
393824;248844 
393599;248864 
394199;248931 
394145;248901 
394437;248897 
394450;248884 
394259;248878 
394329;248939 
394802;248948 
394086;248902 
394756;248933 
394107;248928 
393974;248884 
393390;248882 
394313;248894 
393742;248894 
394186;248930 
