CYCLES;INS
395036;248918 
396589;248908 
394822;248913 
393511;248905 
394445;248915 
393526;248912 
393510;248885 
395976;248904 
393515;248899 
395510;248921 
395295;248909 
395231;248921 
396212;248938 
394878;248871 
394743;248907 
395476;248910 
395483;248902 
395280;248888 
393811;248885 
394754;248886 
394150;248910 
393780;248900 
394014;248868 
395359;248915 
394198;248928 
393551;248896 
395630;248925 
394262;248938 
394365;248924 
396385;248902 
394806;248908 
394954;248945 
396426;248945 
395527;248944 
397021;248962 
394029;248939 
394073;248933 
393626;248938 
393705;248919 
393823;248937 
393564;248895 
395693;248926 
396430;248906 
396238;248875 
394833;248878 
394869;248917 
394048;248947 
393973;248893 
394556;248921 
394562;248939 
396441;248905 
394128;248954 
393365;248891 
397938;248946 
393942;248884 
394287;248929 
393344;248870 
394653;248905 
393890;248927 
394835;248934 
393790;248916 
394706;248912 
395847;248910 
393301;248882 
394978;248939 
394333;248881 
395065;248931 
393387;248884 
396826;248903 
394415;248969 
393402;248904 
395713;248928 
395571;248908 
393585;248892 
394056;248904 
394645;248932 
393578;248901 
393797;248900 
394828;248899 
393721;248878 
394068;248874 
393993;248914 
395337;248908 
395026;248861 
396189;248931 
394841;248947 
393704;248899 
394420;248849 
394201;248886 
393986;248900 
393794;248928 
394046;248926 
395263;248930 
395260;248895 
394965;248876 
395852;248910 
393383;248898 
394227;248949 
394011;248922 
393808;248923 
394416;248940 
393769;248916 
394609;248983 
394396;248966 
396526;248945 
393819;248927 
394608;248917 
393499;248930 
393792;248881 
394192;248925 
393252;248865 
394179;248890 
393910;248902 
396798;248940 
393967;248945 
395075;248879 
393960;248920 
393769;248901 
394526;248955 
393952;248888 
394260;248945 
395132;248920 
395935;248931 
395084;248918 
394442;248903 
394702;248926 
395089;249003 
392948;248839 
396711;248914 
393707;248894 
394299;248952 
394400;248928 
394022;248940 
394240;248877 
394070;248864 
395384;248963 
395933;248903 
395856;248905 
393607;248904 
393962;248902 
393888;248949 
394718;248887 
394224;248946 
395680;248922 
395460;248915 
393149;248869 
393519;248855 
397916;248923 
395475;248903 
393658;248926 
393692;248881 
394943;248947 
395028;248956 
395042;248927 
393782;248872 
395021;248911 
394086;248904 
394936;248980 
396469;248941 
393487;248905 
396932;248948 
393707;248894 
394981;248912 
393271;248896 
394074;248946 
393480;248936 
395642;248921 
394527;248971 
394512;248926 
394752;248921 
393853;248924 
394449;248956 
395202;248889 
393932;248902 
393044;248861 
394802;248935 
394725;248920 
394934;248927 
394590;248886 
393810;248877 
394414;248929 
394602;248952 
394841;248943 
394052;248859 
393972;248919 
394153;248913 
393894;248920 
393838;248880 
393813;248882 
393992;248852 
393517;248890 
396419;248930 
393683;248883 
393913;248882 
393671;248910 
393871;248933 
394665;248883 
395902;248895 
393625;248906 
395215;248909 
394481;248912 
395759;248888 
395084;248894 
393843;248958 
393963;248926 
394222;248883 
397462;248844 
394342;248922 
393589;248895 
395838;248916 
395681;248955 
394573;248936 
394857;248884 
394220;248867 
394359;248899 
396432;248918 
393843;248914 
393926;248918 
394926;248875 
394248;248966 
394967;248904 
394246;248944 
395361;248932 
395094;248906 
394045;248861 
395403;248941 
393335;248905 
394473;248913 
396272;248928 
394349;248923 
394492;248856 
398022;248948 
393839;248917 
394071;248904 
393746;248844 
395285;248880 
395183;248924 
393304;248890 
397056;248883 
395802;248891 
396194;248924 
393424;248906 
393609;248907 
393882;248910 
394411;248881 
396081;248936 
394206;248876 
394599;248956 
395618;248925 
395082;248931 
393545;248896 
394919;248928 
394115;248909 
395535;248861 
393813;248877 
395172;248921 
394021;248912 
394902;248960 
393382;248874 
393951;248936 
394589;248867 
393760;248889 
394142;248887 
393554;248883 
393788;248893 
395126;248901 
393631;248903 
393623;248897 
395810;248895 
394010;248907 
396431;248945 
394533;248931 
393042;248879 
393637;248852 
394022;248935 
394810;248928 
394907;248928 
393525;248904 
393654;248883 
396100;248919 
394167;248906 
394349;248937 
395511;248939 
393978;248923 
394743;248957 
393971;248909 
393953;248928 
393567;248916 
393592;248914 
393565;248868 
393776;248871 
393711;248926 
395160;248885 
393837;248954 
394127;248913 
394523;248908 
394058;248905 
394438;248889 
397457;248965 
393259;248921 
395871;248891 
393947;248936 
393173;248891 
394258;248879 
394192;248921 
395163;248893 
393887;248883 
394275;248938 
393479;248878 
394935;248958 
393092;248880 
393094;248884 
394181;248888 
394649;248930 
394067;248902 
393091;248865 
394007;248889 
393850;248905 
393540;248931 
396572;248926 
394180;248927 
394187;248939 
396172;248941 
393997;248887 
393386;248888 
394141;248918 
394127;248919 
394139;248919 
394099;248915 
393761;248909 
395627;248923 
393977;248929 
393282;248880 
393991;248891 
395198;248955 
397680;248927 
394266;248927 
394197;248899 
396891;248928 
395416;248897 
393459;248890 
394669;248882 
394637;248885 
393881;248880 
394356;248901 
395961;248950 
395382;248916 
393380;248865 
393808;248900 
396145;248905 
394489;248912 
395320;248934 
395598;248911 
395936;248942 
393791;248895 
394940;248902 
394077;248927 
394090;248880 
393054;248882 
396399;248914 
393374;248851 
395587;248895 
395126;248899 
396074;248885 
393952;248931 
393255;248905 
395268;248862 
394643;248915 
396096;248889 
393464;248878 
395377;248913 
393261;248881 
393695;248932 
394338;248881 
395171;248899 
396131;249001 
394941;248917 
393881;248875 
393746;248893 
393243;248899 
394896;248856 
393751;248956 
394171;248939 
393165;248886 
396727;248881 
395673;248856 
394668;248919 
394701;248921 
393853;248929 
394519;248940 
395189;248892 
393871;248931 
395907;248924 
395525;248945 
394268;248956 
395311;248904 
397297;248918 
393669;248926 
393649;248933 
393810;248916 
394323;248921 
394192;248885 
394249;248952 
393736;248928 
394553;248926 
394763;248953 
396050;248889 
394546;248893 
395011;248880 
394282;248873 
395446;248893 
394280;248909 
393988;248907 
396188;248879 
394502;248879 
395946;248871 
394911;248918 
394024;248941 
394571;248913 
395221;248927 
394525;248952 
394545;248855 
394834;248941 
395285;248948 
393572;248880 
394812;248918 
393784;248891 
395692;248908 
393487;248917 
394422;248882 
393954;248875 
394181;248955 
395768;248875 
394088;248913 
395279;248845 
394600;248926 
396203;248895 
394048;248930 
396117;248958 
396413;248893 
394537;248880 
394251;248941 
394635;248989 
393834;248923 
395794;248893 
393333;248875 
394224;248950 
395940;248979 
396427;248880 
393624;248887 
395732;248920 
394960;248909 
393577;248902 
395580;248912 
394586;248916 
394168;248933 
396538;248885 
393612;248871 
394101;248927 
394496;248867 
395272;248940 
394498;248900 
394951;248912 
393908;248908 
394991;248933 
394779;248886 
395060;248910 
393886;248959 
393889;248901 
394278;248888 
394357;248849 
394235;248890 
393234;248919 
393720;248899 
394237;248914 
396443;248896 
395689;248924 
393900;248913 
395680;248884 
395588;248923 
394887;248888 
397153;248868 
395917;248912 
393584;248895 
393825;248862 
393620;248867 
394086;248859 
393878;248910 
396188;248894 
394173;248968 
394505;248889 
394300;248938 
393283;248856 
394385;248909 
397496;248901 
394372;248908 
393560;248875 
395807;248940 
393434;248919 
394210;248967 
393974;248935 
393460;248883 
393709;248929 
394508;248957 
395295;248875 
395616;248910 
394609;248914 
393754;248937 
393600;248896 
393685;248891 
394495;248915 
392806;248830 
393341;248826 
393695;248903 
393699;248900 
394955;248901 
394975;248927 
393575;248892 
394077;248935 
393314;248827 
397815;248983 
395404;248897 
396075;248932 
394012;248900 
393888;248913 
394381;248884 
394842;248924 
393483;248892 
394848;248930 
394210;248901 
396059;248923 
396953;248963 
396080;248931 
395667;248937 
394339;248941 
394678;248868 
395721;248910 
395961;248913 
395624;248950 
394617;248871 
394054;248895 
394133;248888 
393572;248868 
394052;248951 
393381;248879 
395250;248925 
394898;248826 
393540;248887 
394216;248889 
393725;248887 
395523;248934 
394053;248906 
393676;248924 
393541;248909 
394784;248965 
393583;248956 
393923;248923 
393135;248888 
393593;248916 
394129;248912 
394038;248932 
393902;248908 
394192;248918 
392994;248834 
394559;248930 
395120;248917 
393495;248902 
394049;248932 
394205;248927 
393533;248887 
393653;248880 
395413;248924 
393778;248847 
394770;248879 
393922;248948 
393859;248911 
394536;248889 
393263;248892 
394300;248926 
393677;248913 
393950;248915 
394560;248873 
393958;248915 
393356;248871 
393792;248895 
397249;248940 
394357;248883 
394594;248901 
395224;248924 
396487;248948 
394088;248949 
393911;248914 
393725;248923 
394132;248926 
393466;248893 
393607;248892 
395616;248875 
393822;248926 
395445;248893 
397170;248934 
394176;248907 
395893;248929 
395060;248836 
394520;248909 
393693;248933 
393972;248905 
394142;248876 
395337;248947 
395744;248890 
394229;248927 
395326;248953 
396193;248919 
396921;248948 
393911;248917 
396182;248958 
394179;248899 
393495;248907 
394175;248873 
394982;248922 
395291;248938 
396200;248908 
393769;248925 
394913;248906 
394783;248969 
395240;248881 
395392;248859 
394988;248958 
393619;248895 
396428;248983 
396675;248917 
394364;248858 
394789;248861 
395557;248948 
394142;248906 
393560;248928 
395122;248840 
393658;248902 
393193;248896 
393683;248882 
394154;248920 
395632;248960 
395077;248915 
394053;248881 
394782;248943 
394787;248895 
392961;248898 
394081;248914 
394149;248953 
395142;248914 
393479;248889 
394345;248969 
394635;248958 
393568;248836 
393347;248886 
394024;248939 
395992;248923 
394780;248946 
395014;248907 
393950;248897 
393408;248829 
395292;248928 
393960;248921 
394061;248927 
395163;248928 
396247;248957 
395619;248865 
396656;248893 
395447;248959 
394732;248991 
394622;248888 
394950;248874 
394137;248934 
393519;248870 
394460;248899 
394468;248873 
393865;248900 
393672;248899 
395866;248914 
393587;248893 
395086;248938 
394032;248905 
393509;248892 
393917;248885 
396455;248939 
393703;248860 
395474;248882 
393770;248913 
394461;248860 
394836;248892 
393927;248946 
394562;248925 
396619;248949 
394520;248912 
394814;248891 
393719;248848 
394311;248893 
394060;248875 
394284;248916 
394496;248844 
394293;248898 
394101;248919 
394222;248919 
393631;248879 
393117;248844 
394078;248901 
394617;248960 
395432;248874 
393289;248877 
396140;248963 
393134;248908 
393605;248903 
393357;248862 
392454;248828 
394285;248896 
393887;248935 
393639;248904 
394995;248874 
393743;248923 
394877;248925 
395004;248939 
395039;248970 
394640;248909 
395492;248919 
395240;248859 
393861;248897 
394227;248941 
393309;248893 
395799;248906 
394242;248940 
393453;248863 
396759;248890 
395295;248891 
394685;248886 
393476;248914 
394743;248866 
393767;248909 
393556;248900 
395477;248921 
394181;248939 
395020;248877 
393823;248893 
393227;248894 
393494;248883 
396647;248916 
393655;248854 
395841;248892 
393827;248916 
393970;248867 
394411;248877 
393736;248905 
393704;248889 
395494;248951 
394582;248967 
393789;248861 
395240;248917 
393657;248877 
394808;248973 
393445;248853 
395613;248907 
394496;248886 
394223;248892 
393436;248898 
394285;248950 
393575;248886 
393706;248857 
396521;248930 
395071;248897 
393761;248873 
395744;248934 
393943;248945 
396328;248868 
393845;248910 
393350;248890 
396329;248945 
395802;248897 
394608;248943 
393676;248858 
394173;248927 
395218;248902 
397232;248914 
393734;248950 
394430;248931 
395762;248897 
393101;248887 
393697;248900 
396379;248868 
394944;248819 
394919;248908 
394571;248939 
397230;248904 
395455;248938 
393358;248842 
393215;248872 
394904;248918 
394046;248954 
393955;248909 
394055;248927 
393324;248894 
394998;248916 
393516;248906 
393926;248868 
394105;248929 
395019;248917 
394188;248909 
393906;248892 
396898;248945 
393650;248865 
393393;248837 
394159;248905 
394905;248992 
394959;248928 
393353;248877 
395285;248933 
394186;248848 
394008;248881 
394218;248916 
394153;248909 
394354;248969 
394461;248915 
395022;248913 
394235;248921 
393715;248933 
393403;248891 
393868;248953 
393895;248901 
393532;248899 
396675;248893 
394273;248942 
396156;248923 
395493;248904 
394519;248941 
393347;248875 
397510;248935 
393864;248900 
394052;248906 
394374;248981 
395744;248915 
395542;248883 
394226;248942 
394297;248954 
393675;248929 
393888;248898 
393336;248907 
395411;248979 
393302;248871 
395019;248897 
393554;248856 
393968;248888 
395931;248921 
394843;248887 
394795;248920 
393615;248881 
394364;248937 
394475;248849 
393528;248854 
393704;248938 
395077;248915 
393418;248864 
393958;248897 
394992;248923 
396871;248950 
395867;248862 
394334;248941 
393936;248870 
394250;248888 
394410;248886 
393762;248878 
395850;248917 
393341;248901 
394370;248964 
393408;248923 
393628;248877 
394093;248899 
393949;248975 
395861;248957 
394704;248886 
393368;248887 
395079;248942 
395749;248909 
393333;248911 
394020;248926 
395181;248922 
395177;248900 
395070;248879 
393209;248871 
393780;248910 
394492;248967 
393632;248908 
396057;248926 
393918;248904 
393936;248895 
395827;248926 
393385;248878 
397096;248982 
393601;248901 
395368;248916 
394225;248950 
394308;248901 
395271;248884 
394029;248919 
395169;248924 
394424;248944 
393117;248854 
393875;248907 
394595;248933 
393969;248931 
393745;248879 
397166;248868 
395399;248903 
395646;248940 
395181;248901 
393867;248876 
393110;248871 
394160;248953 
397869;248909 
393328;248841 
393843;248896 
393845;248884 
394294;248920 
394831;248927 
395540;248911 
395269;248935 
394465;248929 
394234;248904 
395480;248921 
396112;248936 
393522;248930 
394382;248873 
396174;248910 
393742;248929 
394047;248929 
394615;248885 
394180;248912 
393816;248870 
395462;248906 
393541;248887 
393571;248901 
393621;248882 
393871;248914 
394192;248923 
394303;248958 
396796;248896 
394848;248911 
393837;248881 
394256;248902 
393611;248917 
393057;248846 
394133;248899 
393705;248909 
394597;248950 
394098;248965 
394432;248915 
394678;248868 
393822;248896 
393638;248892 
394296;248895 
393303;248897 
394764;248959 
394950;248928 
396183;248934 
395731;248899 
393676;248849 
395866;248888 
395426;248912 
393976;248858 
395940;248897 
394434;248893 
394553;248884 
395497;248926 
396315;248921 
393864;248910 
395424;248868 
393928;248938 
394089;248889 
394173;248909 
396452;248909 
393618;248871 
393651;248849 
393391;248908 
393581;248867 
394948;248905 
394465;248948 
395686;248922 
396435;248840 
393451;248916 
393754;248892 
393649;248874 
394352;248876 
396312;248887 
395524;248896 
394127;248907 
394833;248945 
394980;248880 
393241;248821 
396253;248933 
394254;248919 
393460;248871 
393886;248907 
394165;248875 
395973;248929 
394556;248960 
394266;248955 
393678;248905 
394962;248909 
395340;248868 
394146;248870 
394478;248911 
393973;248927 
394855;248895 
394000;248937 
397362;248884 
395851;248885 
395148;248884 
394099;248930 
394468;248926 
394818;248949 
393567;248909 
393668;248872 
396441;248892 
393794;248940 
394525;248944 
397926;248916 
393432;248891 
393684;248911 
394907;248972 
393124;248901 
394833;248914 
393804;248894 
394182;248894 
395058;248912 
395682;248928 
395021;248897 
393171;248879 
395720;248989 
395934;248974 
395536;248965 
393901;248979 
393807;248916 
395196;248857 
394211;248898 
394064;248916 
393834;248911 
393264;248859 
394427;248880 
394916;248932 
395106;248878 
394874;248990 
393486;248881 
394600;248875 
393812;248902 
394651;248857 
393952;248900 
394462;248960 
394472;248936 
395451;248984 
393666;248864 
394105;248893 
395490;248970 
393970;248904 
394093;248944 
393763;248896 
394199;248931 
394192;248936 
393481;248842 
394157;248918 
394227;248934 
397903;248922 
392821;248830 
393174;248887 
395839;248908 
394136;248939 
394136;248896 
394786;248928 
393839;248857 
396952;248865 
396062;248921 
394518;248948 
395839;248959 
393788;248917 
393903;248930 
396472;248942 
394625;248936 
395277;248890 
394252;248928 
393919;248901 
393711;248916 
395126;248941 
394962;248928 
393693;248871 
393498;248893 
395641;248935 
394104;248925 
394241;248883 
393547;248882 
394621;248962 
393841;248959 
394466;248881 
393609;248859 
394010;248906 
394414;248893 
393345;248851 
394159;248898 
394660;248937 
394012;248936 
393651;248917 
394188;248968 
394126;248916 
394615;248893 
393917;248895 
394287;248941 
393558;248883 
393907;248894 
393408;248922 
394521;248942 
396103;248896 
393695;248895 
395203;248919 
394945;248850 
395021;248947 
395803;248957 
394176;248918 
393446;248835 
393509;248907 
393611;248903 
393877;248895 
396664;248981 
393635;248927 
394750;248931 
395439;248906 
393746;248879 
