CYCLES;INS
393587;248942 
394007;248919 
394122;248932 
393801;248922 
393864;248932 
393973;248892 
393559;248918 
394447;248884 
393049;248852 
393450;248925 
393333;248910 
393639;248899 
393650;248923 
394272;248850 
393821;248927 
393440;248897 
394073;248957 
393949;248892 
393810;248910 
394507;248983 
394361;248953 
393256;248902 
393893;248944 
393371;248930 
393424;248833 
393612;248944 
393706;248927 
393479;248922 
392797;248857 
394170;248934 
393189;248890 
393895;248949 
393712;248891 
394153;248923 
393972;248901 
393496;248909 
393824;248902 
393562;248925 
394835;248974 
393295;248870 
394075;248954 
393603;248842 
394662;248957 
394319;248933 
393850;248879 
393577;248895 
393288;248875 
393711;248891 
394211;248896 
394196;248934 
393461;248861 
394113;248913 
393508;248898 
394328;248896 
393172;248863 
394204;248915 
394483;248945 
393578;248887 
394314;248912 
394022;248925 
393942;248911 
393807;248903 
393564;248916 
393415;248892 
393887;248912 
394036;248890 
393770;248919 
394360;248883 
393537;248888 
393697;248898 
394009;248933 
393485;248867 
393837;248909 
393078;248852 
394257;248925 
394456;248974 
393919;248957 
392960;248839 
394048;248914 
393736;248906 
394152;248965 
394095;248906 
393815;248940 
394503;248937 
394309;248974 
393333;248902 
393339;248894 
394626;248962 
393476;248883 
393691;248936 
394233;248959 
393781;248918 
393918;248905 
393603;248882 
393296;248895 
393879;248871 
394361;248917 
394576;248919 
394000;248920 
392989;248839 
393271;248893 
393535;248888 
393417;248889 
393560;248896 
394263;248947 
393621;248901 
394267;248968 
393941;248897 
393415;248923 
393609;248880 
393678;248914 
394057;248928 
394105;248924 
393385;248875 
393578;248873 
394051;248894 
394073;248918 
393863;248919 
394026;248886 
393602;248903 
394024;248884 
394146;248923 
393740;248893 
394040;248926 
393747;248928 
393213;248862 
394346;248961 
394075;248921 
393427;248899 
393423;248862 
393618;248904 
394196;248945 
393545;248869 
394507;248922 
393764;248905 
393674;248938 
393554;248910 
394037;248918 
394375;248963 
393828;248897 
393405;248905 
393676;248928 
393453;248905 
393670;248941 
393936;248946 
393568;248941 
393288;248863 
393373;248895 
394092;248934 
393478;248839 
393178;248912 
393882;248935 
394626;248960 
393604;248898 
393595;248868 
393366;248895 
394269;248900 
393560;248908 
393586;248908 
393830;248882 
393978;248925 
393775;248912 
394223;248958 
393598;248912 
393206;248844 
394443;248907 
394397;248950 
393887;248890 
394999;248924 
394370;248942 
393809;248894 
393874;248901 
394051;248947 
393757;248900 
392821;248881 
393903;248918 
394127;248937 
394049;248947 
393961;248931 
394006;248919 
393406;248890 
394814;248985 
393486;248908 
393024;248883 
392736;248815 
394291;248892 
394112;248919 
394262;248924 
393492;248862 
393975;248899 
393276;248887 
393668;248902 
394150;248922 
394316;248888 
393898;248919 
393375;248885 
394186;248940 
393878;248918 
393568;248903 
393694;248895 
393585;248842 
393170;248842 
394068;248910 
393636;248933 
393419;248880 
393150;248885 
393615;248942 
393525;248886 
393244;248909 
393764;248885 
393760;248939 
393969;248916 
394323;248871 
393479;248901 
392707;248863 
393461;248883 
393435;248940 
394398;248955 
393998;248916 
393807;248922 
393509;248904 
394094;248948 
393199;248901 
393868;248914 
394058;248888 
393497;248895 
393769;248897 
393724;248898 
394274;248943 
394051;248922 
394157;248920 
393575;248914 
393687;248916 
394054;248858 
393154;248902 
393431;248904 
393778;248919 
394119;248949 
393910;248896 
393747;248878 
393917;248881 
393590;248919 
393715;248920 
393870;248907 
393936;248934 
394497;248956 
394474;248902 
394288;248938 
394444;248937 
393631;248886 
394227;248907 
394772;248930 
394202;248960 
393258;248867 
394327;248899 
394344;248950 
393450;248929 
394486;248887 
394618;248897 
393494;248932 
393373;248909 
393116;248855 
393765;248889 
393050;248882 
393980;248940 
393629;248935 
394424;248948 
394035;248934 
394219;248947 
393894;248901 
393670;248925 
392950;248855 
393605;248886 
394341;248950 
394413;248965 
394146;248903 
393694;248916 
394247;248920 
394342;248967 
393835;248875 
394162;248936 
393869;248932 
393035;248892 
393988;248893 
393671;248849 
393874;248922 
393715;248906 
393757;248906 
393262;248887 
394012;248939 
394260;248921 
394157;248914 
394190;248892 
393364;248906 
394361;248925 
393793;248892 
393543;248894 
393629;248875 
393645;248932 
393697;248888 
393648;248923 
393947;248885 
393118;248861 
393698;248895 
394201;248930 
393651;248902 
394080;248880 
394156;248895 
393829;248931 
393134;248879 
393768;248927 
393755;248903 
394567;248928 
393942;248904 
393718;248912 
393670;248900 
393947;248922 
393855;248886 
393900;248929 
393787;248952 
393510;248821 
393708;248861 
393564;248920 
393473;248922 
394082;248859 
393538;248884 
393915;248959 
393882;248848 
394176;248905 
394023;248889 
394121;248906 
393872;248940 
393976;248938 
393176;248867 
393514;248920 
393430;248896 
393206;248877 
394461;248946 
394206;248903 
393047;248867 
393666;248903 
393522;248915 
394077;248933 
393877;248882 
393312;248926 
393433;248864 
394390;248895 
394259;248931 
393886;248919 
394752;248927 
394027;248921 
393982;248907 
394060;248936 
394029;248934 
393624;248915 
394336;248920 
393874;248932 
393286;248907 
393523;248870 
393829;248949 
393956;248918 
394073;248917 
394273;248947 
393583;248905 
393847;248916 
393440;248850 
394160;248970 
392894;248854 
393754;248891 
394618;248956 
392887;248868 
393609;248916 
393773;248891 
393920;248929 
394469;248997 
393229;248896 
394371;248937 
393438;248920 
393809;248895 
393211;248869 
393887;248875 
393675;248901 
393324;248881 
394110;248893 
393209;248897 
393505;248946 
393793;248886 
393688;248904 
393432;248888 
393444;248882 
393419;248901 
393733;248849 
393670;248871 
393552;248897 
394499;248936 
393622;248839 
394516;248978 
394175;248927 
394352;248907 
393861;248903 
393651;248882 
393621;248914 
393465;248853 
394216;248868 
393223;248884 
393454;248905 
393970;248909 
393729;248880 
393449;248889 
394117;248913 
393481;248882 
394124;248942 
393792;248892 
394155;248872 
394333;248929 
393637;248951 
393018;248870 
393863;248903 
