CYCLES;INS
394529;248939 
393661;248904 
394114;248923 
393872;248925 
394537;248969 
393576;248916 
393990;248938 
393664;248869 
393915;248915 
393921;248890 
393421;248922 
394061;248882 
393976;248928 
393731;248937 
393733;248897 
394348;248913 
393502;248842 
393680;248908 
393987;248890 
393247;248874 
393599;248872 
395055;248944 
393667;248907 
393761;248946 
393989;248936 
393906;248906 
393715;248913 
393029;248860 
393737;248901 
394337;248950 
394045;248965 
394005;248921 
393736;248898 
393966;248896 
394589;248951 
393732;248914 
393627;248897 
394334;248936 
393893;248941 
394210;248920 
393791;248896 
394435;248925 
394609;248925 
394033;248890 
394427;248955 
393882;248918 
394293;248935 
393463;248919 
394062;248884 
393282;248873 
393581;248896 
393732;248892 
393582;248915 
394105;248951 
394625;248960 
393955;248936 
394033;248921 
394089;248914 
394727;248967 
394165;248939 
393003;248853 
393646;248886 
393693;248918 
393911;248949 
394574;248949 
393544;248846 
395111;248923 
394193;248916 
394179;248915 
394314;248938 
394042;248919 
393448;248901 
393274;248869 
393511;248879 
393969;248872 
394160;248935 
394215;248942 
393536;248912 
394495;248918 
394057;248854 
393240;248867 
393659;248911 
394199;248940 
393764;248893 
394226;248961 
393684;248908 
394792;248923 
393620;248875 
393839;248913 
393981;248946 
393998;248967 
394663;249000 
393257;248881 
393742;248900 
394643;248898 
393341;248880 
393363;248865 
393529;248912 
394092;248940 
393905;248908 
394488;248920 
394681;248996 
392948;248836 
393429;248886 
394300;248949 
393653;248912 
393801;248943 
393393;248903 
394032;248945 
394290;248911 
394226;248921 
393776;248885 
393960;248920 
393624;248888 
394354;248896 
393427;248890 
393607;248910 
394244;248911 
393464;248945 
393591;248876 
394162;248943 
393479;248915 
394706;248925 
394431;248941 
393976;248894 
394777;248947 
393762;248896 
393837;248877 
395015;248916 
393997;248887 
393525;248891 
394104;248915 
393695;248869 
394661;248923 
394297;248882 
393314;248863 
394193;248957 
393750;248881 
394691;248961 
394242;248953 
393630;248880 
393666;248883 
394139;248967 
394524;248961 
394484;248946 
393669;248879 
394188;248897 
393674;248905 
393914;248940 
393901;248895 
393934;248916 
394236;248891 
393619;248886 
393923;248915 
394258;248937 
393823;248929 
394047;248913 
394242;248920 
393825;248905 
393189;248857 
393628;248896 
393783;248930 
394166;248927 
393812;248943 
393410;248933 
394086;248916 
393676;248889 
393894;248955 
393759;248927 
394160;248902 
394677;248925 
393519;248864 
393858;248913 
393550;248907 
393771;248893 
394191;248960 
393566;248878 
393989;248888 
394160;248942 
393893;248941 
393808;248906 
393433;248914 
393949;248935 
394212;248911 
394129;248929 
394068;248936 
394328;248936 
393398;248889 
393905;248944 
393511;248847 
393441;248866 
393466;248892 
393829;248957 
394152;248918 
394749;248957 
393534;248916 
393983;248936 
393799;248920 
393382;248856 
393365;248898 
393347;248908 
394228;248929 
394031;248857 
393336;248872 
393592;248915 
393920;248909 
394090;248921 
393039;248899 
394532;248940 
394202;248901 
393541;248874 
394427;248932 
393720;248890 
393121;248878 
393916;248890 
393344;248897 
393603;248867 
394111;248889 
393611;248893 
393412;248858 
394368;248915 
393794;248902 
394224;248916 
393849;248901 
394242;248923 
393068;248875 
394281;248893 
393542;248849 
393106;248883 
393761;248863 
394301;248878 
393509;248911 
393763;248883 
393322;248886 
393854;248923 
394003;248877 
393252;248874 
393296;248860 
394280;248943 
393763;248876 
394333;248950 
393686;248970 
393933;248918 
394394;249000 
393113;248867 
394605;248931 
394103;248864 
393567;248868 
393921;248934 
393657;248929 
394076;248873 
393725;248954 
394054;248937 
394647;248988 
394137;248902 
394125;248945 
393800;248923 
393673;248891 
393734;248899 
393731;248877 
393271;248855 
393730;248923 
393705;248852 
393971;248916 
394119;248964 
393660;248894 
394173;248917 
393357;248878 
394208;248951 
394162;248981 
393728;248910 
393552;248873 
394278;248955 
393584;248888 
393959;248905 
394093;248949 
394127;248900 
395173;248960 
393590;248892 
393839;248913 
393671;248902 
393413;248871 
393260;248918 
394212;248912 
393611;248884 
393150;248846 
393785;248902 
394210;248870 
393660;248898 
393448;248861 
394079;248961 
393902;248895 
393497;248868 
393623;248909 
393850;248904 
394112;248937 
393667;248917 
394603;248917 
393281;248879 
393785;248909 
393921;248937 
394324;248958 
393944;248912 
393779;248897 
393684;248879 
394825;248975 
392920;248881 
