CYCLES;INS
393727;248865 
395544;248916 
393927;248932 
394106;248947 
396421;248880 
393959;248931 
394056;248931 
394867;248930 
394787;248858 
393628;248894 
393566;248914 
393316;248916 
395454;248911 
393766;248897 
395865;248897 
396081;248965 
396088;248941 
394134;248911 
394379;248880 
394153;248860 
393296;248914 
395147;248950 
393820;248907 
393925;248911 
394028;248937 
393912;248876 
395270;248891 
394774;248884 
395573;248920 
395854;248948 
394137;248868 
393454;248910 
393778;248951 
394380;248921 
395666;248883 
394646;248908 
395103;248935 
396115;248896 
394105;248894 
394659;248891 
394517;248943 
395376;248882 
393514;248908 
394105;248886 
394554;248914 
394030;248865 
395390;248968 
394593;248892 
393415;248904 
394335;248904 
394503;248867 
396634;248983 
395361;248889 
393658;248958 
393552;248837 
394451;248911 
395093;248907 
394433;248900 
395264;248933 
393317;248872 
393885;248908 
393634;248877 
393535;248855 
393273;248910 
394095;248878 
394519;248859 
395192;248910 
393542;248906 
396273;248905 
394309;248908 
393037;248909 
393938;248915 
395295;248909 
394461;248942 
394718;248883 
394088;248955 
395027;248916 
393677;248898 
393850;248933 
393493;248866 
393252;248867 
393867;248945 
393478;248882 
393848;248904 
393960;248901 
394018;248920 
394267;248901 
393564;248939 
394701;248882 
393870;248904 
395129;248954 
395431;248937 
393521;248903 
393726;248879 
394003;248970 
395564;248982 
394480;248935 
393341;248886 
393889;248864 
395511;248934 
394598;248926 
393826;248934 
396109;248961 
394743;248929 
393577;248916 
394398;248978 
393675;248915 
393887;248919 
393489;248872 
394453;248866 
394523;248924 
395596;248931 
395112;248889 
394771;248911 
395357;248890 
392457;248806 
393528;248894 
395839;248912 
396400;248954 
396461;248947 
393934;248879 
394755;248912 
393220;248894 
394892;248970 
394332;248882 
393324;248879 
393493;248893 
394109;248922 
394366;248901 
394749;248949 
393843;248935 
393097;248882 
393981;248897 
395176;248955 
393620;248936 
395316;248910 
394462;248938 
394535;248923 
395707;248897 
394502;248904 
394323;248868 
393475;248892 
393723;248926 
393254;248866 
394076;248948 
393970;248918 
393533;248892 
394090;248911 
395960;248976 
395843;248949 
395822;248914 
395262;248965 
393843;248886 
393296;248908 
395121;248928 
393103;248903 
393891;248875 
394892;248881 
393533;248868 
393959;248869 
394638;248919 
394246;248920 
393005;248863 
393990;248928 
397235;248928 
394137;248901 
393903;248937 
394568;248938 
393982;248901 
394379;248927 
393877;248912 
393626;248915 
395675;248925 
394438;248946 
393501;248887 
394879;248923 
393670;248931 
393279;248838 
395733;248952 
396255;248936 
394016;248864 
393369;248926 
393867;248912 
393313;248875 
394694;248929 
394824;248892 
393632;248884 
395650;248864 
395411;248902 
393031;248863 
393191;248867 
393802;248872 
395912;248957 
393830;248878 
394646;248989 
393644;248885 
394648;248961 
395138;248878 
395527;248875 
393811;248931 
393355;248907 
396091;248969 
394631;248929 
394658;248914 
393870;248919 
393779;248901 
394092;248901 
393533;248907 
393382;248851 
393999;248846 
393170;248855 
393399;248868 
393607;248879 
396003;248947 
393914;248910 
393555;248913 
394251;248871 
394107;248912 
393831;248916 
394381;248894 
397518;248966 
393802;248901 
393736;248939 
393652;248886 
393736;248870 
393864;248920 
394868;248886 
393739;248906 
393991;248920 
395869;248858 
393867;248899 
393044;248865 
393583;248901 
393139;248907 
393006;248883 
395487;248871 
392832;248858 
394267;248951 
394794;248933 
393494;248918 
394785;248929 
394191;248863 
394180;248895 
393907;248902 
393253;248889 
396207;248943 
394111;248890 
395251;248917 
394600;248915 
395576;248899 
394290;248934 
393818;248890 
394192;248938 
393988;248921 
394688;248916 
394388;248897 
393582;248954 
394444;248923 
393649;248893 
395073;248883 
395956;248921 
396250;248868 
394755;248857 
393333;248901 
393550;248885 
395565;248891 
393547;248897 
394186;248878 
393158;248926 
393757;248866 
393519;248920 
394195;248886 
393625;248894 
395214;248859 
393696;248876 
393244;248854 
393822;248868 
394175;248903 
393701;248926 
393092;248855 
393135;248880 
395458;248967 
393709;248898 
394835;248900 
394738;248917 
397377;248919 
396165;248947 
394252;248930 
393886;248870 
393334;248886 
394541;248844 
394181;248932 
394275;248930 
394361;248902 
395866;248922 
393950;248898 
396305;248911 
393998;248921 
394802;248944 
394340;248928 
395091;248927 
393507;248883 
395834;248895 
393101;248907 
393288;248847 
394906;248937 
392799;248854 
395247;248941 
393310;248903 
393660;248883 
395279;248906 
394889;248935 
393454;248908 
394843;248864 
395734;248934 
395702;248853 
396271;248916 
395570;248889 
393122;248885 
392698;248856 
393827;248892 
395108;248893 
395274;248886 
394158;248951 
394418;248902 
394332;248880 
393637;248928 
394329;248919 
393709;248924 
395335;248916 
393600;248909 
393699;248891 
395476;248938 
394170;248871 
394084;248923 
394265;248926 
394680;248899 
394750;248918 
394168;248939 
396115;248966 
395117;248915 
394249;248908 
393351;248856 
395566;248955 
395542;248939 
393595;248881 
394628;248894 
394075;248905 
392843;248883 
393105;248874 
393768;248863 
394208;248898 
394531;248908 
394484;248889 
395813;248908 
393873;248927 
394451;248933 
393435;248909 
393507;248901 
393187;248918 
394274;248953 
396134;248956 
392964;248848 
393330;248891 
393188;248862 
393720;248887 
394036;248920 
394179;248877 
394644;248954 
394745;248867 
393315;248868 
395213;248893 
393641;248884 
393789;248873 
393955;248953 
393959;248885 
393947;248880 
395447;248951 
395293;248880 
394197;248881 
395153;248924 
393333;248917 
395545;248922 
397553;248919 
394100;248913 
393880;248880 
393895;248918 
395901;248865 
393942;248907 
394053;248876 
393598;248885 
394894;248895 
394149;248942 
394895;248904 
394457;248947 
394513;248860 
395128;248841 
393413;248953 
394596;248936 
394085;248924 
394163;248945 
393615;248909 
394028;248954 
393570;248878 
393906;248929 
394579;248906 
394267;248910 
395787;248894 
396023;248870 
393704;248856 
394249;248917 
396221;248943 
393901;248912 
393799;248944 
394863;248981 
393953;248952 
394086;248909 
395870;248927 
394161;248878 
394267;248977 
394681;248934 
393308;248876 
393210;248869 
393975;248888 
394513;248905 
395574;248914 
393257;248876 
395635;248941 
393854;248901 
396050;248913 
395561;248912 
395314;248955 
394842;248899 
393611;248922 
395080;248883 
393428;248915 
393947;248924 
393869;248926 
394790;248903 
393631;248906 
393356;248898 
394122;248923 
394768;248943 
393947;248905 
395028;248918 
394047;248920 
395405;248908 
395997;248964 
393712;248913 
393401;248860 
393819;248910 
396601;248900 
393841;248878 
393129;248871 
393335;248897 
395784;248961 
395425;248880 
396268;248950 
393230;248895 
396092;248918 
393344;248826 
393728;248908 
395597;248890 
395560;248910 
394332;248904 
395655;248956 
395569;248891 
394052;248934 
393613;248968 
395214;248949 
396087;248909 
394797;248912 
394927;248952 
394988;248924 
396479;248880 
394285;248976 
393943;248915 
393734;248916 
395726;248925 
394044;248896 
394059;248894 
394687;248921 
394478;248867 
393436;248901 
393203;248917 
395294;248885 
393645;248903 
394482;248902 
393072;248887 
393123;248907 
393780;248860 
393875;248861 
393756;248918 
394624;248961 
396145;248903 
394350;248938 
394473;248892 
393598;248869 
396187;248911 
394216;248903 
396038;248935 
396034;248947 
394955;248888 
394095;248937 
