CYCLES;INS
395815;248928 
394674;248886 
395173;248888 
393226;248842 
395504;248930 
395514;248924 
393162;248868 
394035;248942 
393874;248954 
393543;248895 
394075;248948 
395900;248890 
394498;248906 
396882;248901 
393781;248874 
393410;248866 
395699;248934 
394141;248936 
393469;248853 
396578;248899 
394182;248936 
394593;248915 
393634;248906 
395603;248919 
395519;248929 
394464;248907 
394380;248929 
393564;248880 
394430;248860 
393350;248893 
395479;248939 
393882;248883 
395762;248880 
396074;248900 
394130;248932 
394371;248877 
394302;248916 
395428;248900 
393487;248913 
396115;248921 
394367;248926 
395922;248949 
394270;248887 
394372;248975 
394074;248865 
394944;248933 
394018;248873 
394781;248875 
394149;248929 
394112;248929 
396581;248925 
394548;248926 
395020;248897 
395359;248890 
395636;248934 
393740;248888 
394928;248896 
396616;248908 
396137;248910 
395632;248946 
394589;248921 
394484;248889 
393730;248902 
392872;248841 
394538;248902 
396651;248916 
393805;248900 
394026;248902 
396488;248953 
395664;248901 
394468;248935 
394849;248916 
397267;248916 
395071;248855 
394193;248894 
396342;248882 
393980;248924 
396158;248929 
394121;248941 
395538;248981 
394111;248887 
395241;248869 
395057;248947 
394504;248904 
394804;248878 
394232;248935 
393471;248920 
394392;248892 
393869;248895 
396919;248968 
393934;248874 
395963;248909 
394628;248932 
394875;248896 
393327;248836 
394836;248870 
395573;248916 
393299;248842 
394923;248937 
396337;248867 
394078;248882 
395108;248868 
395081;248913 
393396;248844 
395665;248914 
394342;248903 
393504;248898 
393941;248927 
394884;248952 
394765;248906 
393599;248900 
395950;248931 
394944;248921 
394270;248925 
393563;248874 
394095;248887 
395101;248938 
393004;248888 
394551;248924 
395145;248939 
393688;248889 
393632;248885 
394431;248867 
396142;248914 
394152;248918 
394895;248927 
393993;248915 
393218;248841 
395265;248942 
395397;248878 
396043;248860 
395476;248949 
395122;248920 
395390;248894 
396506;248905 
394729;248938 
394633;248936 
394113;248944 
394050;248880 
393746;248901 
394171;248925 
396592;248970 
394146;248905 
396611;248932 
394676;248965 
396377;248905 
394161;248915 
394094;248898 
394254;248950 
393380;248870 
394180;248901 
394666;248871 
393714;248923 
394336;248911 
394398;248920 
394433;248881 
393941;248923 
396009;248906 
394526;248934 
394444;248941 
394235;248916 
393820;248882 
394934;248937 
394054;248921 
396144;248902 
393432;248895 
396295;248948 
393884;248905 
395256;248928 
393843;248911 
396129;248914 
393870;248933 
395841;248865 
394107;248945 
394354;248936 
393941;248881 
395552;248951 
394820;248914 
