CYCLES;INS
394567;248896 
394191;248921 
394032;248916 
394218;248894 
395017;248910 
393876;248897 
394833;248894 
396316;248838 
393759;248926 
393713;248864 
394221;248923 
393865;248904 
394917;248917 
393447;248891 
394185;248869 
393562;248923 
394309;248922 
394867;248926 
393980;248904 
394950;248927 
394642;248980 
394242;248934 
394259;248932 
393465;248895 
393472;248894 
394313;248906 
395500;248889 
393644;248914 
395667;248896 
395389;248906 
394852;248925 
393525;248928 
395661;248883 
394388;248907 
394099;248889 
393312;248872 
395278;248889 
394291;248861 
394487;248862 
395536;248964 
394487;248931 
393870;248896 
395110;248915 
394562;248894 
393971;248931 
394532;248959 
395254;248916 
394197;248929 
393441;248909 
395247;248878 
392994;248859 
394008;248922 
394294;248940 
395239;248948 
396105;248877 
395574;248868 
395207;248941 
393653;248896 
393453;248916 
394045;248927 
394126;248912 
394972;248900 
393874;248938 
393194;248919 
395638;248951 
394321;248966 
394749;248889 
394501;248890 
395287;248904 
395136;248950 
394171;248940 
394244;248940 
393285;248880 
393826;248891 
395003;248950 
393719;248889 
395741;248899 
393941;248866 
393733;248923 
395318;248956 
393456;248862 
396244;248911 
393906;248920 
394046;248926 
394941;248906 
393651;248895 
395789;248889 
393583;248848 
394301;248925 
393718;248914 
393738;248913 
394905;248949 
395411;248926 
393687;248880 
394020;248902 
394216;248886 
394590;248952 
395315;248889 
394133;248870 
393500;248924 
394287;248873 
393313;248910 
394671;248934 
395646;248900 
395935;248916 
393639;248859 
394210;248905 
393590;248926 
394167;248968 
394567;248944 
394537;248947 
393719;248923 
394672;248892 
394993;248933 
393801;248895 
393706;248939 
394166;248899 
395455;248902 
394444;248932 
395050;248913 
395666;248936 
394145;248923 
394918;248875 
397516;248973 
395451;248986 
394144;248925 
394068;248968 
394625;248879 
394345;248896 
394131;248911 
395318;248936 
393186;248891 
394869;248895 
394224;248956 
393580;248869 
393553;248938 
394289;248911 
394171;248880 
394009;248943 
394203;248934 
394154;248930 
393337;248901 
393669;248868 
395977;248917 
394023;248937 
395869;248915 
394754;248969 
396098;248886 
393204;248894 
