CYCLES;INS
393327;248894 
393758;248935 
393548;248920 
393934;248949 
394396;248969 
393581;248909 
393129;248865 
394069;248957 
393755;248893 
393728;248944 
394343;248928 
393394;248899 
394503;248931 
394004;248909 
394279;248897 
393864;248927 
393777;248936 
394017;248902 
393922;248926 
393037;248922 
393977;248947 
393389;248924 
394674;248968 
393973;248891 
393796;248957 
393460;248914 
394261;248945 
394455;248908 
394214;248906 
393613;248900 
394638;248954 
394149;248946 
393625;248888 
393312;248880 
393627;248931 
393797;248896 
393770;248871 
393388;248885 
393557;248872 
394148;248918 
394152;248881 
394275;248956 
393325;248865 
394229;248893 
393306;248844 
394978;248962 
393591;248910 
393598;248892 
393610;248874 
394155;248936 
393238;248891 
393208;248896 
393882;248895 
394005;248912 
393991;248915 
393834;248963 
394317;248918 
393438;248903 
393731;248917 
393973;248899 
393743;248921 
394531;248923 
393682;248869 
393658;248939 
393718;248893 
393725;248922 
393793;248861 
393943;248904 
393837;248887 
393993;248928 
393963;248908 
393594;248948 
393771;248903 
394107;248910 
393679;248890 
394216;248882 
394307;248907 
394433;248937 
393432;248918 
394240;248951 
393771;248918 
393340;248847 
393308;248858 
393559;248900 
394017;248893 
393674;248879 
393780;248900 
394003;248938 
393550;248938 
393388;248863 
393962;248914 
393967;248939 
394176;248936 
394268;248932 
393408;248894 
393559;248885 
393643;248924 
393266;248916 
394281;248910 
393160;248864 
393312;248891 
393459;248900 
393204;248875 
394304;248955 
393806;248938 
393741;248869 
393984;248914 
394243;248855 
393541;248889 
393534;248865 
393726;248895 
394298;248910 
393044;248852 
393921;248919 
393290;248872 
394003;248922 
394884;248962 
393813;248883 
393279;248921 
394087;248912 
393089;248899 
393782;248917 
393265;248864 
394311;248950 
393524;248879 
392992;248887 
394088;248955 
394232;248946 
394243;248919 
393236;248912 
393858;248883 
393963;248960 
393675;248908 
394445;248914 
393695;248924 
394121;248950 
394759;248947 
393586;248895 
393434;248881 
393991;248834 
393973;248943 
394198;248924 
394274;248908 
393649;248888 
393858;248892 
393446;248870 
393912;248926 
393846;248876 
393380;248885 
394179;248943 
393574;248869 
394944;248950 
394281;248943 
393848;248913 
393570;248900 
393331;248913 
394795;248981 
394121;248928 
394154;248923 
393170;248880 
393354;248894 
394017;248907 
393590;248964 
393874;248901 
393631;248915 
393671;248927 
393320;248885 
393279;248880 
393372;248893 
393968;248915 
393864;248920 
393617;248904 
393339;248910 
394104;248930 
393489;248906 
393964;248937 
394214;248901 
394436;248942 
393118;248909 
393314;248926 
393512;248882 
393961;248935 
393915;248916 
393383;248902 
393970;248887 
393513;248921 
393294;248895 
393604;248918 
393972;248914 
393731;248917 
393585;248880 
394444;248907 
394361;248938 
394139;248936 
393682;248883 
393933;248926 
393809;248913 
393898;248934 
393190;248880 
393726;248910 
393345;248874 
394056;248895 
393906;248919 
393931;248888 
393365;248871 
394820;248938 
393535;248902 
393372;248877 
394546;248931 
394130;248898 
393493;248907 
393097;248906 
393269;248907 
