CYCLES;INS
395033;248902 
394638;248910 
396286;248904 
395691;248942 
394777;248884 
395361;248899 
395113;248948 
394568;248919 
395935;248918 
396779;248927 
393368;248898 
395101;248933 
394075;248883 
394246;248920 
393420;248920 
394250;248923 
393150;248895 
393405;248840 
394791;248952 
393355;248882 
394308;248937 
393961;248879 
394018;248868 
394574;248924 
396753;248883 
394043;248926 
395255;248893 
395463;248914 
395115;248950 
393711;248941 
395003;248918 
393758;248935 
393726;248878 
394216;248983 
393618;248951 
394704;248986 
396847;248957 
393473;248904 
394235;248936 
395139;248959 
393871;248888 
394602;248930 
395605;248919 
394495;248913 
396315;248944 
393848;248906 
396076;248946 
395066;248932 
394918;248908 
393463;248920 
394247;248899 
393999;248887 
393723;248899 
393806;248954 
393480;248859 
394513;248926 
394550;248966 
393812;248921 
394305;248885 
393776;248930 
395165;248936 
394656;248932 
394020;248947 
394634;248877 
395914;248906 
393810;248909 
397738;248905 
394532;248875 
394705;248862 
394919;248871 
393625;248888 
393889;248879 
394366;248980 
396129;248915 
393308;248905 
396498;248920 
395177;248919 
394416;248957 
395372;248867 
394095;248878 
394118;248927 
393032;248888 
393844;248877 
393445;248882 
394669;248922 
394918;248919 
393969;248897 
396226;248911 
394337;248894 
393546;248948 
395335;248894 
394344;248932 
394804;248911 
394230;248916 
394410;248949 
392852;248864 
395204;248903 
393602;248913 
396153;248860 
394950;248907 
393681;248929 
393190;248912 
394386;248895 
393762;248934 
394938;248879 
394290;248894 
394111;248894 
395950;248889 
393478;248890 
393917;248934 
393586;248901 
394587;248871 
393972;248874 
394888;248926 
395280;248958 
394110;248947 
395162;248870 
394497;248934 
394092;248927 
394714;248879 
394014;248942 
394748;248871 
396253;248923 
393589;248894 
394758;248895 
393494;248896 
395600;248845 
394599;248955 
394695;248892 
397290;248911 
394469;248931 
395485;248955 
393867;248929 
394599;248926 
395452;248951 
393781;248861 
394975;248863 
395012;248913 
394256;248869 
394597;248888 
395554;248839 
394909;248878 
394710;248918 
394103;248905 
394245;248924 
394606;248892 
394361;248891 
395163;248952 
394508;248900 
393804;248906 
393963;248890 
394163;248884 
396084;248916 
393966;248871 
393778;248927 
395016;248904 
394490;248952 
394082;248896 
393939;248910 
394938;248926 
395917;248885 
393854;248946 
395371;248949 
394670;248985 
393878;248909 
393531;248891 
396651;248892 
393478;248904 
393611;248863 
393652;248888 
396032;248938 
394828;248908 
394030;248901 
394208;248892 
393874;248882 
395963;248931 
394236;248926 
394473;248891 
396655;248963 
393834;248907 
393725;248877 
395607;248914 
394322;248903 
393910;248897 
393870;248911 
394448;248941 
394091;248872 
394022;248904 
394847;248925 
396329;248948 
394590;248849 
394236;248888 
393365;248876 
395965;248897 
394072;248897 
394063;248931 
395369;248873 
393333;248910 
394429;248930 
394291;248913 
393971;248912 
396577;248866 
395557;248896 
392898;248854 
394950;248909 
394223;248913 
394261;248854 
397124;248901 
394165;248936 
393761;248893 
394571;248923 
393407;248915 
394335;248900 
395231;248896 
392952;248846 
393323;248883 
393428;248880 
394017;248905 
396340;248926 
393763;248865 
393626;248858 
395307;248930 
394086;248922 
393879;248932 
394107;248933 
394550;248902 
393676;248897 
393836;248871 
395316;248980 
393865;248919 
393984;248908 
393915;248844 
393780;248903 
393590;248886 
394743;248890 
393875;248891 
395044;248893 
394104;248947 
393751;248914 
393429;248899 
395303;248895 
394085;248970 
393617;248923 
393448;248892 
395450;248930 
395116;248909 
395933;248905 
394086;248934 
395590;248928 
394081;248919 
393765;248936 
394278;248877 
393798;248910 
393638;248842 
393508;248869 
393370;248892 
394652;248943 
394554;248874 
393406;248898 
395213;248939 
394204;248939 
394057;248954 
396158;248927 
392995;248894 
394284;248841 
394317;248940 
393842;248934 
394014;248889 
394388;248895 
394243;248920 
395126;248954 
397707;248919 
394409;248921 
397333;248923 
393178;248866 
393541;248908 
394483;248944 
393770;248894 
394005;248905 
393739;248893 
394659;248901 
393838;248924 
394629;248924 
392977;248883 
395390;248924 
393458;248906 
393813;248952 
394544;248968 
394783;248894 
394849;248924 
394725;248957 
394993;248846 
393444;248870 
395508;248918 
395567;248915 
394692;248958 
394713;248942 
394068;248950 
396042;248937 
394552;248883 
394722;248941 
394599;248881 
395238;248948 
394675;248944 
394030;248893 
395764;248958 
394284;248892 
395633;248909 
396208;248907 
394189;248885 
393414;248903 
394407;248909 
396624;248923 
394645;248877 
393910;248910 
393342;248849 
394833;248914 
395415;248962 
395765;248932 
393706;248860 
393334;248901 
395777;248908 
394797;248908 
393576;248878 
394579;248890 
396581;248874 
396611;248940 
394078;248892 
394051;248950 
394020;248925 
394528;248869 
395020;248918 
394733;248930 
393679;248908 
394244;248922 
393303;248860 
396866;248922 
395108;248948 
393786;248941 
394511;248919 
395175;248916 
394366;248908 
394515;248923 
393629;248881 
394402;248933 
393557;248939 
393292;248935 
393775;248891 
394876;248925 
393742;248908 
394016;248948 
394267;248931 
394172;248914 
393265;248870 
393923;248890 
394043;248901 
394419;248932 
393854;248900 
393378;248902 
393663;248943 
394086;248885 
393768;248917 
395737;248939 
393836;248916 
396025;248899 
394669;248886 
394992;248891 
393820;248921 
396107;248948 
393307;248914 
397120;248954 
393978;248918 
395962;248949 
394005;248909 
393816;248918 
393111;248914 
394126;248938 
393594;248912 
393795;248883 
393892;248919 
394401;248956 
395486;248952 
393371;248866 
393548;248906 
394252;248918 
394828;248907 
393568;248910 
394204;248885 
396034;248910 
396325;248917 
397322;248899 
394872;248943 
394163;248932 
393947;248888 
395004;248901 
394519;248925 
396020;248905 
394483;248968 
394762;248903 
394278;248903 
393969;248912 
394021;248922 
393212;248861 
394348;248854 
393909;248880 
393582;248884 
393831;248935 
396474;248873 
394964;248910 
393940;248916 
394767;248897 
395407;248931 
394190;248935 
396046;248940 
394287;248965 
393471;248849 
394256;248909 
394584;248942 
394881;248997 
393670;248864 
394178;248921 
394552;248931 
393845;248961 
393847;248912 
393503;248885 
396049;248920 
394118;248967 
393923;248893 
395620;248888 
395298;248871 
393885;248900 
394529;248934 
393637;248921 
393826;248943 
394159;248873 
395002;248893 
393947;248913 
394788;248923 
394391;248943 
394205;248891 
395415;248932 
393832;248926 
393496;248877 
393656;248906 
394094;248963 
394073;248917 
394796;248916 
393172;248881 
396319;248906 
