CYCLES;INS
2536;560 
1742;561 
1730;561 
1519;561 
1559;563 
1533;561 
1561;560 
1704;561 
1744;561 
1380;560 
2045;561 
1498;561 
1611;560 
1626;560 
1411;562 
1383;561 
2084;562 
1602;561 
1659;561 
1590;562 
1688;562 
1863;562 
1647;561 
1645;562 
1543;561 
1574;561 
1481;561 
1473;561 
2011;561 
1585;562 
1674;561 
1897;562 
1862;560 
1710;561 
1959;560 
1694;561 
1555;560 
1943;563 
1733;559 
1847;561 
1569;560 
1516;560 
2087;561 
1573;561 
2096;561 
1743;561 
1980;562 
2350;561 
1616;562 
2176;561 
1878;561 
1728;560 
4072;561 
1796;562 
1889;561 
1866;561 
1945;561 
1798;561 
1996;561 
1926;562 
1977;561 
2576;562 
1602;561 
1655;561 
1523;561 
1968;561 
1720;562 
1859;562 
1710;562 
1704;561 
1834;560 
1773;561 
1829;562 
1868;562 
1805;562 
1780;561 
4018;562 
1704;562 
1576;562 
1381;558 
1841;562 
1846;560 
1618;559 
2175;562 
1412;561 
2029;561 
1549;562 
1593;561 
1586;561 
1851;562 
1622;563 
1697;560 
1733;560 
1725;560 
1842;560 
1536;559 
1490;560 
1752;563 
1565;562 
1836;562 
1780;562 
1740;562 
1824;560 
1708;561 
1528;563 
1563;562 
1925;561 
1660;562 
1844;561 
1836;562 
1592;560 
1376;561 
1871;562 
1488;561 
3764;561 
1921;561 
1843;562 
1690;560 
1615;561 
1490;562 
1938;562 
2300;562 
1596;561 
1384;561 
1817;559 
1722;560 
1755;561 
1577;562 
1875;560 
1567;558 
1378;560 
1649;560 
1593;561 
1734;562 
2005;562 
1612;560 
1879;561 
1820;562 
1489;562 
2115;562 
2452;561 
1885;560 
1882;561 
1913;562 
2064;561 
1642;562 
1782;562 
1500;561 
1909;561 
1875;561 
1416;562 
1606;561 
1705;562 
1405;562 
1800;561 
2112;561 
1774;562 
1993;560 
1632;561 
1683;561 
1695;561 
1726;562 
1566;561 
1671;560 
1398;562 
3708;562 
2094;563 
1725;560 
1212;561 
1790;561 
1516;562 
1933;562 
3955;562 
1842;561 
1577;564 
1828;560 
1607;561 
3628;559 
1628;561 
1731;560 
1855;561 
1784;560 
1740;561 
1836;561 
1876;561 
1731;561 
1926;561 
2340;558 
1728;561 
1830;561 
1990;561 
1631;561 
1705;561 
1626;561 
1689;562 
1210;562 
1409;559 
1884;561 
1626;561 
1939;562 
1674;561 
1954;562 
1571;561 
3503;562 
1801;562 
2106;560 
1821;562 
1638;562 
1630;560 
1686;561 
1854;561 
1761;561 
1849;561 
1570;561 
1888;561 
1662;562 
1702;562 
1497;561 
1829;560 
1646;560 
1803;562 
1803;561 
1710;563 
1548;561 
1638;561 
1581;561 
1399;562 
1719;562 
1619;561 
1871;561 
1790;560 
1911;560 
1986;561 
1802;561 
2333;560 
1624;561 
1774;561 
1646;563 
1616;562 
1959;562 
1545;561 
1356;561 
1683;560 
1521;561 
3300;561 
1407;562 
1211;561 
1516;562 
1882;561 
1566;560 
1706;562 
1930;562 
1753;562 
1844;561 
2011;560 
1809;563 
1989;563 
1637;561 
1370;560 
1689;562 
1456;562 
1597;561 
1849;562 
1763;561 
1767;562 
1778;562 
1714;561 
1655;561 
1640;561 
1487;560 
1727;561 
1823;560 
3886;561 
1430;562 
1555;561 
1704;563 
1981;562 
1803;562 
1661;560 
2044;562 
3607;561 
1754;560 
1530;561 
1879;560 
1939;563 
1728;560 
1702;562 
1790;563 
1903;561 
1388;561 
1937;561 
2306;561 
1777;562 
1725;561 
1767;561 
1603;561 
1674;561 
3757;562 
1645;561 
2063;558 
1868;560 
1994;560 
1905;561 
1709;562 
1612;563 
1788;563 
3916;562 
1943;560 
1802;562 
1800;560 
2026;561 
1774;562 
1849;562 
1862;561 
1758;561 
1712;561 
1395;561 
1643;561 
1974;563 
4055;561 
1936;560 
1797;560 
1985;561 
1947;561 
1615;562 
1701;562 
1797;560 
1924;560 
1946;562 
1845;561 
1697;561 
1478;562 
1634;561 
1887;561 
1803;564 
3989;562 
1915;561 
1823;563 
1815;562 
1943;562 
1803;562 
1785;561 
1608;562 
1390;562 
1967;562 
1982;563 
3228;561 
1633;562 
1955;559 
1793;561 
1832;562 
1912;563 
1719;561 
1845;562 
1655;560 
2111;561 
1742;561 
1601;560 
1688;561 
1536;562 
1433;562 
1629;562 
1844;561 
1934;562 
1893;561 
2115;561 
1475;561 
1638;561 
1599;561 
1540;561 
1740;560 
1851;561 
1820;561 
1622;562 
1755;561 
1952;561 
1547;560 
1525;562 
1671;561 
3320;561 
1271;562 
1798;557 
1606;560 
3441;562 
3971;561 
1756;562 
1464;561 
1861;561 
1971;562 
1911;561 
1598;560 
1213;560 
1715;561 
1565;560 
1773;561 
1715;562 
1724;561 
1958;561 
1886;561 
1518;564 
1659;561 
1683;560 
1823;561 
1827;561 
1758;561 
1905;560 
1856;562 
1497;560 
1608;562 
1451;562 
1543;562 
1391;561 
1831;562 
2036;562 
1994;562 
2002;562 
1971;562 
1583;561 
1731;561 
