CYCLES;INS
1801;561 
1822;561 
1782;561 
1858;562 
1962;561 
1671;563 
1702;560 
1578;562 
1824;561 
1991;562 
1854;562 
1689;561 
1706;562 
1792;562 
1687;562 
1852;561 
1928;562 
1863;562 
1531;562 
1540;562 
1696;562 
1533;561 
1755;563 
1951;563 
1944;562 
2114;562 
1870;563 
1876;561 
1935;560 
1754;562 
1742;562 
1808;561 
1925;561 
1879;561 
1800;561 
1915;564 
1577;560 
2078;561 
1857;561 
1935;562 
1796;561 
1895;562 
1913;561 
1961;560 
1933;561 
1937;559 
1703;561 
1665;562 
1799;562 
1681;561 
1674;561 
2001;561 
1825;560 
2045;561 
1974;561 
1685;561 
1681;561 
2015;561 
1696;563 
1979;562 
2186;561 
1795;561 
1836;563 
1683;562 
1731;561 
1979;563 
1743;560 
2037;562 
1670;563 
1653;561 
1574;562 
1822;561 
1879;562 
1934;560 
2059;563 
1947;562 
1962;561 
1885;561 
1617;562 
1729;561 
1818;561 
1829;561 
1853;561 
1640;560 
2053;560 
1378;561 
1835;561 
1847;560 
1863;561 
1935;560 
2127;562 
1489;563 
1764;562 
1515;562 
1834;562 
1656;560 
1994;562 
1611;559 
2132;562 
1853;561 
1793;562 
1455;562 
1931;563 
1655;562 
1741;561 
1558;561 
1831;559 
1780;559 
1687;563 
1866;561 
1760;560 
1859;562 
1740;562 
1849;561 
1919;562 
1802;561 
1553;561 
1915;563 
2056;562 
2230;561 
1729;561 
1524;561 
1863;561 
1882;561 
1682;562 
1674;561 
1978;561 
2195;561 
2256;562 
1734;561 
1892;562 
1682;560 
1589;560 
1887;563 
1760;560 
1722;561 
1807;561 
1571;563 
1557;563 
2088;563 
1733;561 
1540;561 
1958;563 
2005;561 
1908;561 
2338;561 
1711;563 
1899;562 
1793;562 
1770;561 
1944;562 
2027;562 
1533;560 
1974;562 
1592;561 
1711;561 
1593;559 
1632;561 
1881;561 
1761;561 
1978;562 
1647;561 
1876;561 
1790;562 
1540;562 
1791;560 
1613;562 
1995;561 
2049;562 
1735;561 
1708;561 
1750;562 
1869;562 
1719;561 
1985;561 
1899;561 
1543;563 
1874;563 
1581;560 
2304;561 
1938;562 
1643;562 
1854;562 
2042;563 
1784;562 
2015;561 
1956;561 
1774;562 
1664;562 
1941;562 
1778;563 
1878;562 
1606;562 
1498;560 
1876;562 
1780;562 
1820;559 
1866;560 
1864;561 
1948;561 
1851;562 
1561;562 
1673;562 
1726;561 
1797;563 
1609;561 
2022;561 
1605;560 
1819;562 
1479;561 
1671;562 
1964;561 
1794;562 
1892;562 
2234;561 
1562;561 
1982;561 
1492;561 
1913;561 
2011;562 
1838;561 
1748;562 
1994;562 
1858;560 
1725;561 
1693;560 
2133;562 
1763;562 
1803;560 
1762;561 
1686;561 
1776;561 
1644;560 
1961;561 
1779;560 
1822;562 
1794;561 
1887;561 
1675;561 
1731;560 
1827;561 
1369;563 
1841;561 
1764;561 
1639;562 
1944;561 
1816;560 
1762;561 
1944;561 
1741;562 
2169;560 
1941;561 
1695;561 
1595;561 
1718;563 
1933;563 
1595;562 
1991;561 
1924;560 
1869;561 
1843;562 
1841;561 
1767;561 
1656;562 
1667;562 
1982;560 
1810;561 
1823;561 
1953;561 
2022;561 
1867;561 
1892;563 
1852;562 
1610;561 
1727;560 
1949;563 
1888;562 
1979;562 
1466;561 
1950;561 
1713;562 
1499;561 
1649;562 
1640;563 
1584;563 
1585;562 
1761;561 
1747;562 
1827;562 
1762;560 
1836;562 
2032;562 
1634;564 
1904;561 
1959;563 
1704;561 
1721;561 
1747;560 
1809;562 
1713;561 
2082;562 
1707;562 
1700;562 
1900;561 
1667;562 
2332;561 
1629;562 
1870;561 
2007;561 
1669;561 
1978;561 
1655;562 
1920;562 
1851;563 
1823;560 
2193;561 
1864;561 
1747;561 
1722;560 
2020;560 
2005;562 
1803;562 
1799;562 
1824;563 
1771;563 
2237;562 
1973;561 
1868;561 
1870;562 
1769;561 
1621;562 
1906;560 
1928;561 
1533;562 
1747;561 
1900;562 
1846;560 
1911;560 
1644;562 
1809;561 
1600;562 
2279;562 
1748;563 
1515;560 
1772;561 
1786;561 
1820;559 
1958;561 
1947;560 
1476;561 
1808;561 
1909;560 
1847;562 
1678;562 
1758;561 
1917;561 
1662;561 
2063;564 
1633;560 
1574;561 
1583;560 
1730;562 
1942;562 
1640;561 
1791;561 
1656;562 
1843;561 
1820;561 
1986;562 
1831;561 
1823;561 
1864;561 
1517;561 
1643;560 
1773;561 
1781;562 
1902;560 
1595;560 
1952;561 
1838;561 
1928;563 
1805;561 
1845;563 
2129;562 
1966;561 
1735;563 
1904;560 
1768;561 
1874;562 
1909;562 
1794;561 
1709;562 
2313;560 
1845;561 
1728;561 
1430;561 
1702;560 
1793;561 
2173;562 
2038;561 
1521;564 
1692;562 
1483;562 
1846;562 
1987;561 
1823;561 
1483;561 
1743;561 
1712;560 
1674;562 
1694;561 
1530;561 
1719;560 
1811;561 
1900;560 
1809;560 
1916;561 
1954;562 
1634;561 
2133;561 
1919;561 
1631;562 
1663;562 
1545;562 
1781;560 
1904;561 
2007;561 
1668;561 
1923;560 
2136;561 
1717;560 
1717;561 
1500;561 
1633;562 
1659;562 
1699;561 
2011;561 
1609;561 
1671;561 
1870;560 
1580;562 
1968;562 
1604;561 
1731;561 
1798;561 
1581;562 
1789;562 
1987;561 
1655;561 
1631;560 
1590;560 
1809;562 
2018;560 
1806;562 
1872;561 
2035;561 
1571;560 
1996;560 
1500;561 
2119;563 
2017;563 
1837;561 
2041;561 
1849;561 
1702;561 
2128;562 
1828;562 
1838;563 
1708;562 
1961;562 
2003;561 
1678;560 
1698;562 
1709;562 
1793;560 
1731;561 
1491;562 
1952;562 
1746;562 
1807;561 
1461;559 
1794;561 
1730;562 
1931;560 
1458;560 
1689;562 
1754;562 
1933;562 
2005;561 
1916;561 
2061;562 
1866;562 
1555;561 
2036;561 
1610;563 
1784;562 
1990;562 
1585;560 
1594;561 
1901;563 
1633;561 
2084;561 
1687;560 
2307;561 
1666;562 
1791;563 
1900;563 
1789;562 
1792;562 
1548;560 
2074;562 
1920;561 
1585;562 
1884;559 
1704;561 
1994;562 
1476;561 
2139;562 
1852;561 
1917;562 
1803;561 
2005;560 
1671;561 
1810;561 
1712;561 
1925;560 
1709;561 
1575;561 
2058;562 
1738;562 
1801;561 
2022;562 
1987;562 
1795;561 
1671;562 
1734;560 
1944;561 
1877;561 
2056;561 
1770;561 
1692;561 
1910;561 
1845;562 
2108;562 
2232;560 
1803;560 
2147;562 
1828;561 
2084;561 
2172;561 
1672;560 
1756;563 
1902;562 
1720;560 
1648;561 
1427;562 
1790;560 
1911;562 
1964;562 
1809;563 
1672;562 
2061;562 
1589;561 
2043;559 
2139;564 
1865;561 
1671;561 
2408;563 
1896;563 
2015;562 
1871;561 
1670;560 
1739;558 
1719;561 
2037;561 
1798;563 
1973;561 
1930;560 
1807;561 
1985;562 
1841;560 
1811;559 
1852;560 
1873;561 
1670;560 
1952;561 
1583;561 
1890;560 
1499;561 
1695;562 
1640;562 
1852;561 
1622;561 
1993;561 
1882;561 
1801;561 
2029;561 
1437;563 
1591;563 
1592;562 
2011;561 
1621;560 
1816;562 
1656;562 
1823;562 
1738;563 
1543;563 
1744;562 
1830;563 
1543;561 
1568;561 
1588;563 
1550;561 
1967;561 
1764;561 
1789;561 
1762;561 
1828;562 
1718;562 
1808;562 
2011;563 
1465;563 
2134;561 
1811;561 
1387;561 
1686;562 
1765;560 
1868;562 
2237;562 
1861;561 
1813;562 
2120;561 
1776;561 
2036;560 
2001;563 
1547;560 
2115;562 
1956;561 
1807;561 
1940;561 
1663;560 
1776;561 
1863;560 
1467;563 
1649;562 
1888;561 
1878;562 
1558;562 
1618;562 
1703;562 
1568;562 
1637;562 
1889;561 
1724;561 
1777;561 
2047;561 
1769;561 
1717;562 
2034;561 
2004;561 
1737;562 
2069;560 
2010;559 
2113;562 
1731;561 
1910;561 
1929;561 
1593;561 
1753;562 
2025;562 
2089;562 
1696;561 
1737;562 
1807;562 
1770;561 
1719;562 
2394;563 
1794;562 
1752;562 
1832;562 
1687;563 
1879;563 
1889;561 
1671;561 
2024;560 
1949;561 
1583;562 
1951;561 
1840;560 
1996;561 
1940;562 
1444;562 
2067;562 
1628;560 
1842;561 
1831;562 
1821;562 
1796;561 
1557;561 
1958;561 
1557;562 
1817;562 
1721;561 
1958;561 
1452;562 
1849;560 
2075;561 
2059;562 
1848;562 
1779;562 
2035;561 
1660;562 
1621;563 
2027;561 
1699;560 
1882;563 
1957;560 
2028;562 
1565;561 
1754;560 
1734;561 
1772;562 
1928;561 
1908;561 
1896;561 
1665;563 
1763;561 
1405;563 
1939;561 
1644;563 
1910;562 
1630;561 
1932;561 
1798;562 
1895;561 
1882;562 
2156;561 
1634;562 
2006;561 
2044;562 
1786;563 
1561;562 
1924;561 
1745;563 
1974;562 
1818;564 
1475;561 
1788;561 
1783;562 
1924;561 
1999;561 
1682;560 
2085;561 
1676;562 
1935;560 
1909;562 
2009;560 
1971;562 
1544;562 
1834;563 
1841;562 
1906;562 
1611;561 
2027;561 
1948;560 
1589;562 
1763;563 
1861;563 
2057;561 
1595;561 
1871;560 
1890;561 
1861;561 
2079;561 
1827;561 
1980;561 
1803;561 
2065;560 
1742;561 
1613;563 
1813;563 
1888;560 
1711;562 
1746;562 
1730;562 
1828;560 
1872;562 
1983;561 
1553;561 
1900;563 
1845;561 
2054;561 
1748;561 
1696;561 
2117;562 
1898;561 
1931;561 
1558;561 
1464;560 
1690;562 
1947;562 
1723;562 
1884;561 
1881;562 
1877;561 
1661;561 
1759;561 
1920;562 
1733;563 
1701;560 
1876;561 
1937;561 
1761;562 
1718;562 
2024;561 
1813;560 
1679;562 
2001;562 
1896;562 
2030;561 
1674;562 
2026;562 
1962;561 
1363;562 
1981;562 
1951;564 
1591;563 
1452;560 
1880;561 
1555;562 
1756;562 
1630;561 
1561;560 
1734;560 
1682;562 
1778;561 
1765;561 
1794;561 
1820;562 
1468;559 
1771;561 
1552;561 
2076;562 
1966;562 
1750;563 
1826;561 
2016;561 
1709;561 
1632;561 
1712;560 
1986;561 
1775;561 
1702;563 
1835;561 
1860;561 
1823;560 
1961;561 
1937;561 
1658;560 
1616;562 
2041;562 
1658;561 
1927;563 
2167;561 
1895;561 
2020;561 
1982;560 
1791;563 
1841;563 
1867;561 
1572;562 
1617;562 
1588;561 
1823;560 
1519;562 
2003;562 
2048;560 
1899;562 
1778;561 
1773;561 
2118;561 
1808;559 
2163;562 
1656;560 
1874;562 
1508;561 
1951;561 
1790;561 
2005;564 
1864;562 
1610;563 
1743;563 
2045;563 
2045;561 
1767;562 
1706;562 
1579;562 
1854;561 
1970;562 
1915;560 
1729;561 
1873;562 
1689;562 
1852;562 
1997;561 
1916;562 
1682;563 
2002;561 
1595;561 
1687;562 
1696;561 
1542;563 
1794;560 
1957;561 
1848;561 
1608;562 
1822;562 
1667;563 
1530;563 
1619;560 
1608;561 
1809;561 
1844;559 
2012;560 
1742;561 
1511;563 
1765;562 
1888;561 
1756;562 
1759;562 
2035;561 
1718;561 
1777;562 
2060;561 
1808;562 
1754;561 
1760;559 
1759;561 
1922;561 
1917;562 
1910;561 
1684;561 
1745;562 
1662;562 
2030;562 
1888;562 
1815;561 
1645;562 
1713;561 
1791;561 
1595;560 
1769;562 
1743;562 
1768;562 
1908;562 
1490;561 
1850;561 
1884;561 
2099;562 
1836;563 
1748;563 
1865;561 
1997;561 
1715;561 
1678;561 
1685;561 
1700;561 
1988;562 
1521;561 
1956;562 
1840;561 
1626;563 
1758;561 
1781;561 
1811;561 
1808;562 
1969;563 
1865;562 
1850;561 
1554;561 
1977;562 
1728;562 
1770;562 
1795;563 
2036;561 
1682;561 
1717;561 
1756;561 
1684;561 
1737;564 
1635;562 
1777;561 
1803;561 
1550;562 
1753;561 
1941;560 
1686;561 
1953;560 
1712;560 
1902;561 
1830;562 
1921;562 
1562;561 
1646;560 
1901;561 
1911;562 
2323;563 
1827;560 
1937;561 
1880;561 
1796;561 
1728;561 
1974;561 
1867;561 
1830;561 
1844;561 
1831;561 
1555;561 
1647;561 
1877;562 
1822;561 
1735;561 
1812;560 
1749;562 
1862;562 
1707;562 
1497;563 
1861;562 
1899;560 
1857;560 
1937;562 
2109;562 
1962;562 
1764;561 
1994;561 
1799;563 
2017;562 
1814;561 
1676;561 
2137;560 
1742;563 
