CYCLES;INS
1632;559 
1610;562 
1472;561 
1561;560 
1443;562 
1738;561 
1685;563 
1911;563 
1728;562 
1853;561 
3866;562 
1764;561 
1305;561 
1722;561 
1718;562 
1875;560 
1669;562 
1628;560 
1601;561 
1913;562 
1538;560 
3680;561 
1797;561 
1458;561 
1779;562 
1866;561 
1400;561 
1632;561 
1706;562 
1484;561 
1740;562 
1277;561 
1648;561 
1628;563 
1631;562 
2052;561 
1597;561 
1585;563 
1864;562 
1633;560 
1734;561 
1946;561 
1904;560 
1818;562 
1780;561 
1996;562 
1572;560 
1424;562 
1944;561 
1559;562 
1649;560 
1941;559 
1956;562 
1528;560 
1589;562 
2021;562 
1782;562 
2104;562 
2226;561 
2094;562 
2113;561 
1912;560 
2480;562 
1714;560 
1732;560 
1758;562 
1629;562 
1548;562 
1616;562 
1558;562 
1586;561 
2018;562 
1739;562 
1784;563 
3182;562 
1724;561 
1676;560 
1362;561 
1523;563 
1872;563 
2222;562 
2696;561 
1658;561 
1766;559 
1597;562 
1799;561 
2362;562 
1479;560 
1449;560 
1788;561 
1569;562 
1580;562 
1626;561 
1389;562 
1396;561 
1353;561 
1438;561 
1799;562 
1929;561 
1504;562 
1740;561 
1425;561 
1696;560 
1917;560 
1711;561 
1792;561 
1730;561 
1377;563 
1436;562 
1537;562 
1692;562 
1693;561 
1848;560 
4016;560 
1717;561 
1543;560 
1929;563 
1463;560 
1875;562 
2316;561 
1748;561 
1716;562 
1814;561 
1672;561 
1510;562 
1857;563 
1644;563 
1768;563 
1599;561 
1231;562 
1521;560 
1374;560 
1668;562 
2010;561 
1813;561 
1618;561 
1758;561 
1356;561 
2729;560 
1536;560 
1954;560 
1718;562 
1532;562 
1411;562 
1591;561 
2062;560 
1563;560 
1836;563 
1587;559 
1708;561 
1642;562 
1844;560 
1639;562 
1539;560 
1920;561 
1664;561 
1890;562 
1507;561 
1498;563 
2258;560 
1565;560 
1994;561 
1627;561 
3429;560 
1553;561 
1958;561 
1577;562 
1725;563 
1855;561 
1739;561 
1483;561 
1808;562 
1688;562 
1828;560 
1711;562 
1637;561 
1768;559 
1532;560 
1585;561 
1645;561 
1748;561 
1470;562 
1692;560 
1797;564 
1815;562 
1541;562 
1919;562 
1699;562 
1832;561 
4091;561 
1435;562 
1633;561 
1618;562 
1710;561 
1770;561 
2024;558 
1599;561 
2135;561 
1733;563 
1764;561 
1979;562 
2077;562 
4068;562 
1735;562 
1232;562 
1585;560 
1714;562 
1653;562 
1887;561 
1692;560 
1733;562 
1786;562 
1816;561 
1528;561 
1662;560 
1916;561 
1725;561 
1871;560 
1191;561 
1625;561 
1863;562 
1535;563 
1560;562 
1805;562 
1803;562 
1768;562 
1850;561 
1951;563 
1956;563 
1490;562 
1876;561 
1836;561 
1945;561 
1832;561 
1717;561 
1559;562 
1749;562 
1953;563 
1691;562 
1689;562 
1821;562 
1579;563 
3048;562 
1671;562 
1831;561 
1823;562 
2074;561 
1522;562 
1590;561 
1479;561 
1804;561 
1785;559 
1523;562 
1712;562 
1192;562 
1685;561 
1477;561 
1441;562 
1644;563 
1828;562 
1578;560 
2121;562 
1765;561 
1711;562 
1858;559 
1636;561 
1658;561 
1566;559 
1544;562 
3272;562 
1408;561 
1874;561 
1608;563 
1638;561 
1618;563 
1762;562 
1696;561 
1584;561 
1881;562 
1588;560 
1895;561 
1853;561 
3037;561 
1600;561 
1771;562 
2055;562 
2263;563 
1398;563 
1832;563 
1825;561 
1835;562 
1514;561 
1558;561 
1731;561 
1592;561 
1228;561 
1626;562 
2219;561 
1391;562 
2382;561 
1629;561 
1393;561 
1881;562 
1630;561 
2738;562 
1569;560 
1503;562 
1601;562 
1908;562 
1515;561 
1513;561 
1671;561 
1716;561 
2040;561 
1705;561 
1570;562 
1659;562 
1553;563 
1805;561 
1710;563 
1507;563 
1614;561 
1893;562 
2016;562 
1469;561 
1797;561 
1771;562 
1680;562 
1686;563 
2234;561 
1559;562 
1778;562 
1660;560 
1564;562 
3605;562 
1442;561 
1721;563 
1664;561 
1596;562 
1781;560 
1544;562 
1780;563 
1706;563 
1592;562 
1522;561 
1459;561 
1495;560 
1718;561 
1713;562 
1897;562 
1596;560 
2073;561 
1870;561 
1627;560 
1949;562 
1546;561 
1797;561 
1491;561 
1684;562 
1566;561 
1883;560 
1659;561 
1777;562 
1708;561 
1568;561 
1958;560 
1966;563 
1990;561 
1767;563 
1214;562 
1495;564 
1763;563 
1772;562 
1999;561 
1949;560 
1705;558 
1925;561 
1490;562 
1712;561 
1403;564 
1576;561 
1214;560 
1652;561 
1681;562 
1839;562 
1673;560 
1890;559 
1353;561 
1823;560 
1544;563 
1649;562 
1563;563 
2199;561 
1347;562 
1529;562 
1614;561 
1924;561 
1667;563 
1794;561 
1397;562 
1727;561 
2410;562 
1380;561 
1703;561 
1830;561 
1615;563 
1794;561 
1362;563 
1487;562 
1417;563 
1775;561 
1765;562 
1934;562 
1989;562 
1934;561 
1990;562 
1548;559 
1719;563 
2004;562 
1668;559 
1568;562 
2021;561 
1496;561 
1686;563 
1887;561 
1473;562 
1193;561 
1850;562 
1536;563 
1727;561 
1421;561 
1836;563 
1766;561 
1566;561 
1465;562 
1673;562 
1568;562 
1636;562 
1390;562 
1461;561 
1679;562 
1403;562 
1673;561 
1961;562 
1651;563 
1723;561 
1957;562 
1716;562 
1627;561 
1649;560 
1451;560 
1629;562 
1774;562 
1753;562 
1514;561 
2054;561 
1560;562 
1387;562 
1645;563 
1684;561 
1599;560 
1667;563 
1745;562 
1871;560 
1712;561 
1528;562 
1547;561 
1571;561 
1549;561 
1534;562 
1485;561 
1479;559 
1357;558 
1419;560 
1623;560 
1798;561 
1687;561 
1840;562 
1781;561 
1666;561 
1777;561 
1389;562 
1423;561 
