CYCLES;INS
1555;561 
1692;562 
2068;562 
1842;561 
1407;563 
1665;563 
1585;562 
1730;562 
1439;562 
1846;561 
1978;562 
2045;561 
1390;560 
1613;561 
1619;563 
1394;564 
1609;561 
1515;560 
1592;560 
1768;562 
1883;559 
1408;562 
1516;559 
1851;562 
1799;562 
1822;563 
1392;561 
1571;561 
1716;562 
1588;561 
1957;562 
1903;561 
1842;562 
1703;560 
1996;562 
1981;561 
1936;561 
1794;561 
1707;561 
1643;561 
2502;563 
1796;561 
1668;561 
1704;561 
1452;561 
1899;560 
1689;562 
1790;562 
1779;561 
1442;562 
1723;560 
1611;561 
1489;562 
1869;563 
1560;562 
1590;561 
1508;562 
1379;561 
1598;562 
1797;562 
1653;561 
2789;561 
1550;562 
1700;562 
1387;560 
1912;562 
1760;561 
1717;561 
1959;562 
1231;561 
1219;561 
1875;562 
1643;561 
1819;562 
1622;561 
1901;562 
1985;561 
1512;561 
1996;561 
2654;562 
1888;561 
3861;561 
1838;561 
1709;562 
1977;562 
1634;562 
3990;562 
1586;561 
2075;561 
1811;560 
2022;561 
1684;562 
2082;561 
1876;560 
1968;561 
1865;563 
1791;561 
1915;561 
2021;562 
1616;562 
1625;563 
1606;561 
1217;561 
1674;561 
1660;561 
1811;560 
1560;561 
1579;562 
1540;562 
1786;562 
2185;560 
1780;561 
1644;563 
1710;561 
1880;561 
1598;562 
1789;561 
1384;560 
1567;561 
1347;560 
1969;561 
2187;561 
1843;561 
1468;561 
1912;563 
1826;561 
1751;561 
1685;562 
1503;561 
1513;562 
2028;562 
1918;562 
1692;562 
1796;561 
1589;560 
1696;562 
1990;562 
1890;561 
1735;560 
1527;561 
1808;561 
1897;562 
1963;561 
1660;561 
1651;562 
1778;561 
1973;560 
1189;560 
1821;562 
1960;561 
1676;561 
1843;562 
1968;561 
2005;562 
1649;562 
1928;562 
1708;562 
4184;562 
2215;562 
2006;563 
1728;561 
1718;561 
1810;562 
1698;561 
1519;560 
1914;560 
2155;561 
1694;562 
1699;562 
1777;563 
1742;561 
1915;562 
2021;561 
1779;561 
1719;562 
2489;561 
1618;561 
1538;562 
1816;561 
1699;561 
1578;561 
1605;560 
1527;561 
1600;561 
1586;562 
1604;561 
3785;561 
2054;560 
1698;562 
1892;561 
1775;561 
1931;561 
2022;561 
1761;561 
1841;562 
1785;561 
2735;563 
1722;561 
1723;561 
1643;560 
2017;562 
1390;562 
3652;563 
1716;564 
1573;563 
1790;561 
2016;562 
1616;561 
1730;560 
1873;560 
1902;560 
1833;562 
1916;561 
1791;561 
1720;561 
1574;562 
1766;564 
1928;562 
3468;561 
2563;562 
1962;562 
1539;562 
1449;562 
1714;562 
1514;561 
1730;562 
1524;562 
1729;562 
1754;558 
1922;562 
1792;562 
1953;562 
3046;561 
1702;561 
1893;562 
1830;562 
1736;561 
1543;562 
2125;561 
1895;562 
2484;561 
1763;562 
1762;561 
1703;562 
1877;562 
1803;561 
1669;562 
1889;561 
1937;562 
1721;561 
1500;561 
2185;562 
1756;560 
1985;561 
1471;561 
1628;561 
1218;562 
3902;561 
1684;562 
2324;561 
1542;562 
1525;562 
1561;562 
1673;562 
2201;562 
1633;560 
1515;561 
1703;562 
1617;562 
1431;562 
1593;561 
1611;561 
3854;562 
1845;562 
1829;562 
1533;562 
1663;562 
1815;562 
1956;559 
1670;562 
1476;561 
1743;560 
1654;561 
1816;562 
1962;562 
1883;562 
4090;561 
1823;562 
1515;561 
1947;562 
1684;562 
1745;562 
1677;562 
1682;562 
1709;562 
1866;562 
1587;562 
1975;560 
1781;562 
1703;562 
1599;562 
1534;562 
1672;562 
1446;561 
1592;561 
1504;563 
1537;561 
1615;562 
1709;561 
1929;561 
1872;559 
3464;561 
1660;562 
2502;560 
1770;562 
1873;561 
3861;562 
1531;561 
1666;562 
