CYCLES;INS
1674;562 
1693;561 
1715;561 
1856;562 
1661;562 
1706;562 
1604;562 
1816;562 
1608;562 
3934;561 
1824;561 
1521;561 
2177;561 
1781;560 
1815;561 
1939;559 
1604;561 
3939;561 
3660;562 
1804;561 
2020;561 
1405;563 
1672;561 
1754;563 
1760;562 
1644;562 
1661;562 
1837;561 
1930;560 
1386;561 
1503;562 
2110;561 
1869;560 
1856;560 
1565;563 
2146;562 
1423;561 
1545;563 
1819;559 
3648;562 
1611;561 
1680;562 
1873;561 
1635;560 
1518;561 
1923;562 
1713;562 
1650;561 
1481;562 
1635;562 
1729;562 
1433;563 
1701;562 
1823;560 
1760;563 
1965;562 
1471;561 
1632;562 
1534;562 
2018;561 
1878;562 
1981;561 
1713;561 
1977;561 
1402;562 
1488;560 
1469;562 
1619;561 
1812;562 
1747;561 
1776;561 
1790;561 
1811;561 
1831;562 
2031;560 
1756;561 
1737;561 
1835;562 
1876;560 
1514;562 
1741;563 
1571;562 
2114;562 
1552;561 
1962;562 
1653;562 
1796;561 
2161;562 
1898;562 
1328;562 
3705;561 
1508;561 
1598;563 
1552;560 
2020;562 
1680;561 
1338;561 
1661;562 
1683;561 
1841;562 
1787;560 
1640;560 
1738;561 
1487;561 
2102;562 
1973;561 
1850;561 
2148;560 
1854;560 
1854;560 
2053;562 
3667;561 
1863;562 
1937;562 
1842;561 
1814;562 
1568;561 
1982;562 
1755;560 
1810;562 
1706;563 
1634;561 
3936;561 
1575;561 
1655;562 
1629;560 
1974;562 
1463;562 
1731;562 
1607;561 
1403;562 
1869;562 
1663;561 
1961;561 
2067;562 
1758;561 
1814;561 
1620;562 
1537;561 
1633;559 
2138;561 
1568;561 
1637;563 
1402;561 
1787;561 
1583;562 
1686;562 
1467;562 
2055;562 
1989;561 
1771;562 
1695;560 
3150;560 
1644;560 
2528;560 
1929;561 
1818;562 
3687;562 
1938;561 
1830;562 
1599;562 
1645;560 
1862;562 
1766;560 
1830;562 
1655;562 
1703;562 
2196;562 
1535;562 
1751;562 
1660;562 
1701;562 
1472;562 
1698;562 
1720;561 
1995;563 
1618;561 
1608;562 
1987;563 
1722;560 
1521;562 
1387;561 
1942;561 
1705;561 
1681;562 
1857;562 
1512;561 
1985;559 
1791;561 
1799;561 
1623;561 
1612;561 
1444;563 
1444;560 
1624;563 
1654;561 
1906;562 
1879;562 
1711;561 
1672;562 
1634;562 
1681;562 
1876;561 
1706;562 
1740;562 
1776;561 
1869;562 
1610;560 
1615;561 
1706;562 
3658;562 
2035;561 
1907;561 
1542;562 
1642;562 
1405;561 
1811;563 
1591;562 
1786;562 
1423;562 
1612;561 
1670;561 
1711;560 
1881;562 
1847;561 
1792;561 
1969;560 
1610;561 
1721;560 
2050;561 
1486;561 
1733;561 
1891;561 
1757;562 
3861;562 
1524;560 
1859;562 
1470;562 
1844;562 
1830;560 
1909;561 
1640;562 
1860;561 
1715;562 
1871;561 
1934;562 
1198;561 
3509;561 
1868;562 
1711;561 
1931;562 
1508;562 
1728;561 
1843;562 
1577;563 
1816;562 
1727;563 
1745;562 
1832;560 
1820;562 
1464;562 
1906;562 
1819;561 
1563;562 
1915;560 
1780;562 
1612;561 
1702;561 
1765;562 
1356;562 
1609;562 
1952;561 
1780;561 
1819;561 
1675;564 
1694;563 
1494;561 
1524;559 
1431;562 
1747;561 
1485;561 
1775;561 
1744;562 
1724;560 
1934;561 
2066;562 
1520;562 
1598;561 
3860;561 
1404;561 
1872;562 
3863;563 
1440;560 
1522;560 
3646;561 
1897;560 
2747;561 
1847;562 
1519;561 
1828;561 
1957;561 
1848;562 
1487;561 
1399;559 
1563;561 
1488;561 
1691;561 
1315;561 
1316;562 
1967;561 
1694;562 
1665;562 
1681;563 
1529;561 
1895;561 
1680;560 
1702;562 
1490;562 
1995;563 
1433;561 
1605;561 
1609;562 
1704;561 
1495;561 
1687;561 
1936;560 
1801;561 
1772;562 
1634;562 
1805;562 
1647;562 
1996;561 
1916;561 
1775;561 
2088;560 
1683;561 
1410;563 
1239;562 
1621;560 
1700;561 
1652;562 
1663;562 
1737;561 
1746;561 
1848;562 
1853;562 
1605;563 
1498;561 
1649;562 
1752;562 
1839;561 
2221;561 
1660;562 
3899;562 
1385;560 
1590;561 
1562;562 
1831;562 
1756;561 
1816;562 
1718;561 
3949;562 
2023;561 
1890;561 
1729;561 
2130;560 
1598;562 
1571;560 
1594;562 
1653;561 
1392;561 
3892;561 
1847;562 
1613;561 
1556;561 
1596;561 
1904;561 
1633;561 
1925;563 
1556;560 
1668;561 
1439;562 
1389;560 
1555;561 
1683;562 
1848;560 
1680;560 
1523;562 
1707;562 
2876;560 
1629;562 
4002;562 
1709;562 
1677;562 
1550;562 
1514;561 
1788;562 
1820;560 
1894;562 
1818;561 
1668;562 
3897;561 
1799;562 
2249;560 
1373;560 
1602;562 
2051;562 
1503;561 
2116;563 
1780;562 
1779;562 
1855;560 
2038;562 
1437;560 
1496;562 
1729;562 
1713;562 
1934;561 
1700;561 
1864;562 
1648;561 
1827;560 
1931;562 
1848;560 
1717;560 
1813;562 
1517;561 
