CYCLES;INS
1707;561 
1639;562 
1917;564 
1536;560 
1730;561 
1191;561 
1394;561 
1606;561 
1599;562 
1592;558 
1588;562 
1766;560 
1742;562 
1636;557 
1821;562 
1607;561 
1978;561 
1941;561 
1677;562 
1525;561 
1468;561 
1769;561 
1612;561 
1673;561 
1829;559 
1556;560 
1650;561 
4052;560 
3873;562 
1838;561 
1619;561 
2512;562 
1524;562 
1783;561 
1540;559 
1847;562 
1348;561 
1778;562 
1927;560 
1569;562 
1641;560 
1721;561 
1689;561 
1457;561 
3904;561 
1474;560 
1724;562 
1836;562 
1950;563 
1619;562 
2117;561 
1454;559 
1795;562 
2130;560 
1742;563 
1536;562 
1784;562 
2078;562 
1797;561 
1674;562 
2175;560 
1822;561 
2026;561 
2077;561 
1696;560 
1619;562 
1896;562 
1867;562 
1394;560 
1725;561 
1361;561 
2297;561 
1471;561 
1907;561 
1628;560 
1607;562 
1918;562 
1924;561 
1622;561 
2164;565 
1630;561 
1836;562 
1617;561 
1599;561 
1764;561 
1731;561 
1827;561 
1617;562 
1572;562 
1772;562 
1533;561 
1678;562 
1477;562 
1564;561 
1651;561 
1537;561 
1851;562 
1460;562 
1702;561 
1896;561 
1936;561 
1803;562 
1694;562 
2096;564 
1587;562 
1929;561 
1909;560 
1640;561 
1799;562 
1606;561 
1619;560 
1676;563 
1483;562 
1681;562 
1847;561 
3896;560 
1602;562 
3965;561 
1759;562 
1563;561 
4106;561 
1583;562 
1931;561 
1680;560 
1461;562 
1684;562 
1824;561 
2815;562 
1487;560 
1372;562 
1580;563 
1764;560 
1853;561 
1604;561 
1947;563 
1764;562 
1916;561 
1802;561 
1573;562 
1893;562 
1837;562 
1900;560 
1961;560 
1797;561 
1969;563 
1915;562 
1467;561 
1766;561 
1547;560 
1751;561 
1767;560 
1857;564 
1468;561 
1526;561 
2869;562 
3468;562 
1657;562 
1967;562 
1582;560 
1927;561 
1930;562 
1531;560 
1545;561 
1658;562 
1491;561 
1906;560 
1947;560 
3981;562 
2095;561 
2287;561 
1918;561 
2927;562 
1515;561 
1533;562 
1886;561 
1931;561 
1607;562 
1655;560 
1804;561 
1802;561 
1830;562 
1726;562 
1786;562 
1821;563 
1686;561 
1768;561 
1621;561 
1533;561 
