CYCLES;INS
1640;561 
1930;560 
1713;561 
1625;561 
1767;561 
1768;562 
1888;562 
2070;561 
1920;561 
1726;562 
1849;560 
1914;562 
1745;563 
1664;561 
1722;561 
1932;561 
1483;562 
1643;561 
1689;562 
1933;562 
1949;561 
1675;563 
1826;562 
1657;563 
1715;562 
1772;562 
2041;561 
1631;562 
2031;562 
1390;562 
1875;562 
1963;562 
1672;563 
1773;561 
2067;561 
1717;562 
1910;561 
1805;562 
1591;562 
1812;560 
1680;561 
1661;561 
1732;562 
1768;560 
1740;561 
1559;561 
1558;560 
1571;561 
1932;561 
1857;561 
1955;561 
1816;561 
1879;561 
3756;562 
1898;561 
1910;561 
1894;561 
1850;561 
2115;561 
3926;562 
1705;561 
3772;563 
2023;561 
1776;561 
1618;560 
2178;561 
1954;562 
1846;562 
1940;561 
1976;562 
1708;561 
1528;561 
1792;562 
1796;561 
1775;561 
1715;561 
1573;562 
2019;561 
1992;560 
1617;561 
1938;561 
1713;561 
1861;561 
1706;562 
1870;562 
2044;561 
1778;561 
1760;562 
1985;560 
1948;562 
1763;561 
1783;561 
1891;561 
1931;560 
1896;560 
1806;560 
1969;561 
2037;560 
1923;561 
1864;560 
1662;562 
1859;562 
1742;562 
1774;561 
1767;560 
2015;561 
1961;561 
1960;561 
1928;561 
1976;562 
1747;560 
3120;561 
1815;560 
1855;560 
1718;559 
1939;562 
2091;561 
1808;562 
1835;561 
1962;561 
1806;560 
1787;561 
1807;560 
2146;561 
1854;562 
1864;562 
2504;561 
1580;562 
1704;562 
1632;562 
1604;561 
1721;560 
1613;561 
1568;561 
1829;562 
2026;559 
1832;561 
1844;562 
1799;562 
1764;561 
3969;562 
3454;561 
1910;562 
2495;561 
1910;562 
1979;561 
1728;560 
1672;562 
1749;562 
1922;562 
1975;560 
1837;560 
1989;561 
1814;562 
2102;561 
2061;560 
1617;562 
2098;561 
3214;560 
1808;561 
1796;561 
1803;561 
1838;561 
1886;561 
1707;561 
1974;562 
1786;560 
1930;561 
1860;560 
1729;561 
1673;562 
1864;562 
1810;561 
1678;562 
1525;561 
2084;562 
1788;561 
4141;560 
1873;560 
3859;561 
1878;561 
1813;561 
1863;562 
1993;561 
1902;562 
1961;559 
2795;561 
1898;562 
1717;562 
1769;561 
1938;561 
1747;562 
1862;561 
1702;562 
1779;561 
1649;562 
1655;562 
1861;561 
1923;560 
1710;561 
2888;561 
1838;562 
1969;561 
1724;561 
1996;562 
1696;562 
1879;562 
1806;561 
3629;561 
1782;561 
1554;562 
1680;562 
1592;562 
1960;561 
1826;561 
1872;560 
3868;561 
2018;562 
1989;561 
1706;562 
1497;561 
1689;563 
1801;561 
1798;562 
1748;562 
2908;562 
1962;563 
2141;561 
1739;561 
1644;562 
3601;562 
1681;562 
1875;560 
1851;561 
1889;561 
1839;561 
2013;559 
2150;561 
2097;561 
1509;561 
1663;559 
1630;561 
1808;562 
1960;562 
1710;561 
1696;562 
2136;561 
1831;560 
1962;561 
1749;560 
1737;560 
1885;562 
1850;561 
1894;561 
1916;560 
1790;563 
1568;561 
1918;560 
1940;560 
2074;563 
1843;561 
1762;561 
1486;561 
2153;562 
1700;561 
1719;561 
1754;562 
1643;561 
1659;561 
1883;561 
1879;562 
2010;562 
1865;561 
1942;561 
1796;562 
1838;562 
1853;562 
2011;562 
1774;561 
2155;562 
1592;563 
1727;561 
1602;562 
1681;560 
1677;559 
1680;560 
1797;561 
2005;562 
1982;562 
1933;561 
1845;563 
1872;562 
1598;561 
1641;560 
1778;561 
1987;561 
2375;561 
1537;561 
1914;560 
1724;561 
1712;562 
1832;559 
1856;561 
1862;561 
1829;561 
1737;562 
1705;561 
1827;563 
2210;562 
1803;563 
1727;562 
1947;562 
1761;562 
1984;559 
1872;561 
1845;561 
1716;561 
2005;563 
1682;561 
1757;562 
1597;562 
1880;560 
1757;561 
1939;561 
1701;562 
1766;561 
1914;562 
2150;561 
1564;561 
3712;562 
1731;561 
1701;562 
1862;561 
1752;561 
1866;561 
1800;562 
1456;562 
1562;562 
1736;561 
1962;562 
2071;561 
1704;562 
1704;562 
1607;561 
1713;561 
3780;560 
2174;562 
1784;563 
1965;560 
1598;561 
1914;561 
1750;561 
3037;559 
1491;560 
1681;561 
1631;562 
1924;562 
1610;561 
1792;560 
1491;561 
1754;562 
1920;563 
1903;560 
3814;561 
1721;561 
1684;562 
1921;564 
1782;562 
1734;560 
1768;562 
1549;562 
1554;561 
1666;562 
1699;561 
1569;561 
1869;563 
1688;562 
1707;562 
1765;561 
1839;562 
1839;563 
1648;559 
1797;561 
1510;560 
1723;561 
2136;560 
1879;563 
1830;561 
1763;561 
1830;561 
1785;562 
1935;563 
1724;561 
2094;561 
1861;562 
1957;561 
1618;562 
1834;560 
1871;560 
1900;561 
1927;561 
1769;562 
1797;564 
1760;561 
1930;561 
1685;561 
1794;561 
1976;561 
1830;561 
1761;561 
1801;562 
2168;561 
1987;562 
1920;561 
1878;561 
2091;562 
1854;563 
1965;563 
1974;563 
2120;561 
1825;562 
1672;562 
1794;561 
1812;561 
1733;562 
1643;562 
1929;560 
1794;563 
1776;564 
1635;562 
1905;561 
4698;561 
1916;562 
1738;562 
1736;562 
1946;563 
1786;562 
1826;560 
1874;561 
1817;561 
1865;562 
1437;561 
1519;561 
3693;562 
1893;561 
1551;562 
2982;562 
1666;561 
1761;562 
2080;562 
2061;561 
1707;561 
1837;561 
1899;562 
2253;562 
1861;561 
2123;560 
1822;562 
1940;562 
1881;561 
1618;560 
1754;561 
1974;561 
1901;563 
1991;561 
1793;561 
1920;562 
1753;562 
1956;562 
1635;561 
1708;561 
1638;561 
1787;562 
1786;561 
1831;561 
1921;562 
1888;561 
1733;561 
3593;563 
1766;560 
4249;562 
1767;561 
1604;560 
1898;562 
1936;562 
2240;562 
1883;561 
1697;560 
1600;561 
1894;561 
1686;561 
1964;559 
1693;561 
1509;561 
1916;563 
2676;561 
1699;562 
2072;561 
2088;562 
1559;561 
1995;561 
1981;560 
1602;561 
1764;561 
1745;561 
1790;561 
2064;562 
1722;561 
3102;562 
1606;563 
1993;561 
1981;561 
1842;561 
2072;561 
1953;562 
2291;562 
1750;562 
1617;562 
3926;562 
1827;562 
1662;560 
1737;561 
1417;562 
1682;562 
1856;561 
1845;561 
1910;562 
1616;562 
1544;561 
4072;561 
1690;562 
2038;561 
1998;561 
1824;562 
4321;561 
1578;561 
1903;562 
2163;561 
2081;562 
1855;561 
1889;561 
1701;561 
2092;562 
1897;560 
2123;563 
2031;562 
1991;560 
1800;560 
1620;562 
2038;562 
1772;559 
1829;562 
1977;561 
1628;561 
2008;562 
1669;560 
1651;561 
1963;561 
1712;561 
1883;561 
1886;563 
1489;563 
1843;561 
1715;559 
1678;561 
1554;561 
1610;562 
1573;561 
1765;561 
1819;560 
2039;561 
1586;561 
1891;562 
1541;560 
2566;559 
1823;560 
1498;561 
2543;561 
1772;563 
2059;562 
1838;562 
1702;562 
1912;562 
2078;561 
1916;562 
1926;562 
1990;562 
1868;562 
1983;562 
2027;560 
4231;563 
1602;561 
1773;562 
1668;560 
1952;561 
2077;561 
1975;561 
1897;561 
1784;561 
1909;561 
3733;561 
1722;561 
3210;562 
1961;561 
1895;561 
2007;562 
4078;562 
1632;561 
1478;561 
1660;561 
1952;563 
1958;563 
1795;562 
1737;561 
1859;562 
1945;561 
2032;561 
1826;562 
1562;562 
1455;561 
1689;562 
1538;562 
2233;560 
1956;561 
1858;562 
1763;561 
1757;560 
1770;560 
1989;563 
1832;561 
1616;561 
1480;561 
1882;562 
1547;561 
1942;561 
2489;561 
1842;561 
2081;562 
1968;561 
1843;561 
1779;562 
1731;560 
1870;561 
1747;561 
1882;561 
1702;560 
1613;561 
1832;561 
1618;562 
1808;563 
2044;561 
1713;560 
1945;561 
1653;561 
1972;563 
1604;561 
1732;560 
1976;565 
1765;562 
1542;561 
1537;561 
1888;560 
1902;562 
1654;563 
4036;561 
1918;561 
1993;562 
2023;562 
3933;561 
1916;562 
3824;562 
1935;563 
1837;561 
4056;562 
1968;561 
1710;560 
1803;561 
2100;561 
4267;562 
1957;562 
2482;562 
1617;561 
1958;561 
2076;560 
2112;560 
1591;561 
1813;563 
1641;562 
1869;561 
1902;562 
1998;561 
1901;561 
1852;562 
1738;561 
1392;560 
1734;563 
1902;559 
1823;561 
1720;562 
2043;562 
3904;562 
1465;561 
1600;561 
1761;561 
1464;560 
1752;562 
1578;561 
1914;562 
1873;560 
1797;562 
1748;562 
1803;562 
1957;562 
2007;561 
1590;561 
1872;561 
1629;561 
1575;561 
1950;561 
3565;561 
1646;562 
2026;562 
1934;562 
1712;560 
1952;562 
1806;562 
3683;561 
1939;561 
1534;560 
1482;562 
1740;561 
1369;561 
1710;562 
2132;560 
1893;562 
2023;562 
2095;561 
1613;562 
2095;562 
1857;561 
1947;562 
