CYCLES;INS
1827;562 
1682;562 
1924;561 
1598;561 
1207;560 
1774;562 
1849;562 
1858;563 
2062;561 
1649;562 
1755;563 
1815;561 
2015;561 
1974;562 
1691;562 
1963;561 
1357;558 
1867;562 
1753;562 
2125;562 
1852;560 
1915;562 
1904;563 
2087;561 
1502;561 
1504;561 
1630;561 
1598;561 
1551;560 
1512;561 
1600;562 
1449;562 
1462;562 
1405;562 
1514;562 
1446;562 
1592;562 
1736;561 
2087;562 
1633;562 
1695;560 
1639;562 
3591;561 
1823;562 
1721;562 
1595;560 
3385;562 
1938;561 
1551;561 
1847;562 
1944;562 
1546;562 
1627;561 
1724;560 
1786;562 
1809;561 
1795;561 
2043;561 
1723;561 
1617;562 
1518;561 
2365;559 
1415;560 
1648;561 
1515;560 
1845;561 
1488;562 
1566;558 
1739;561 
1491;561 
1931;563 
1346;563 
1550;561 
1949;561 
1777;563 
1781;560 
1665;563 
1528;562 
1426;562 
1697;560 
1707;561 
1735;562 
1646;562 
1454;562 
1711;562 
1692;560 
1703;560 
1715;562 
1822;561 
1655;561 
1724;561 
4235;564 
1647;562 
1620;562 
2004;561 
1677;562 
1844;562 
1678;562 
1553;561 
1910;562 
2808;558 
1449;562 
1783;563 
1518;564 
1807;562 
1516;562 
1809;562 
1608;563 
1809;561 
1723;562 
2958;562 
2177;561 
1487;561 
3882;562 
1761;561 
2156;562 
4214;561 
1927;561 
1514;563 
1693;561 
1709;562 
1597;558 
1757;562 
1655;560 
1885;563 
3606;564 
1793;563 
1768;562 
1524;560 
1720;562 
1778;562 
1798;562 
1534;560 
1892;562 
1999;562 
1990;561 
1759;560 
1577;562 
3562;561 
1573;561 
1932;561 
1491;561 
1661;562 
1427;562 
1642;561 
1952;562 
1801;562 
1633;563 
1950;561 
1779;561 
2407;562 
1917;562 
1665;560 
1562;562 
1626;561 
1934;561 
1678;562 
1771;562 
1787;561 
1813;562 
1564;561 
1902;561 
1464;562 
1620;561 
3453;562 
1867;561 
1626;560 
1707;563 
1656;562 
1756;561 
1690;561 
1805;562 
2871;561 
1977;561 
1755;561 
1880;562 
2019;561 
1738;560 
1437;558 
1472;561 
1516;559 
1471;561 
1377;561 
1836;562 
1566;559 
1852;562 
1799;561 
1578;561 
1576;561 
1848;562 
1900;562 
1792;561 
1931;560 
1884;561 
1709;562 
1707;561 
1920;560 
1802;561 
4056;561 
1455;562 
1362;561 
1817;560 
1816;562 
1711;561 
1471;562 
1562;561 
1755;562 
1884;561 
1610;561 
1650;561 
1693;560 
1467;561 
1790;561 
1689;562 
1643;561 
1488;561 
1797;560 
1795;562 
2048;562 
1999;562 
1883;562 
1911;560 
1768;560 
3646;561 
1699;561 
1752;561 
1662;562 
1539;560 
4121;562 
1915;561 
1788;561 
3228;561 
1947;562 
3795;561 
1803;562 
1851;561 
1827;561 
1668;562 
1725;563 
1840;561 
1672;559 
1690;560 
1709;562 
1626;561 
1546;561 
1439;562 
1724;562 
1715;560 
1842;561 
1697;560 
1539;561 
1608;559 
1480;561 
1627;561 
1515;561 
1469;561 
3900;562 
1826;562 
1707;563 
3983;561 
1820;562 
1890;561 
1743;562 
1752;561 
1691;562 
1909;562 
1592;561 
1579;561 
1936;560 
2051;561 
1742;561 
1898;561 
1654;562 
3805;562 
1606;562 
1631;562 
1955;560 
2111;560 
1630;561 
1662;560 
1542;561 
1654;560 
1826;561 
1846;559 
1963;560 
1763;560 
1700;561 
1703;562 
2003;562 
3683;560 
1504;562 
1540;563 
1427;561 
1931;561 
1946;561 
1655;562 
1694;562 
1806;562 
1851;562 
1764;561 
1661;559 
1901;560 
1526;561 
1586;560 
1730;561 
1648;560 
1473;562 
1709;561 
1845;561 
1772;561 
1525;561 
1854;562 
1704;561 
1745;562 
1689;561 
1772;561 
1614;561 
1923;562 
1780;561 
1815;560 
1733;560 
1834;560 
1647;560 
1856;562 
1942;561 
1634;558 
1667;561 
1688;562 
1540;561 
1509;561 
1226;560 
1940;561 
2095;561 
1634;559 
1424;562 
1459;563 
1985;561 
1699;561 
1781;561 
1804;561 
1733;561 
1577;561 
1876;562 
1518;563 
1962;561 
3856;561 
1394;563 
1691;562 
1671;561 
1605;561 
2169;560 
2162;561 
1623;561 
1622;561 
1684;561 
1632;561 
2032;561 
1544;559 
1818;561 
1672;562 
1536;563 
1445;562 
1950;561 
1704;560 
1542;561 
1374;560 
1595;561 
1684;558 
1516;560 
1562;561 
1734;561 
1661;562 
1661;562 
1661;562 
1560;562 
1803;558 
1731;561 
1744;562 
1825;562 
1828;562 
1724;562 
1761;562 
1681;562 
4153;562 
1711;561 
1668;561 
2000;561 
1996;561 
1388;562 
1957;561 
1874;563 
1644;561 
1719;561 
2060;562 
2114;561 
1726;561 
1945;561 
1537;561 
1643;561 
1743;561 
1604;562 
2037;562 
1563;561 
1751;560 
1820;561 
1726;561 
1838;561 
1858;563 
1569;562 
1488;562 
1570;561 
1526;561 
1635;562 
1720;562 
1873;561 
1395;562 
1629;560 
1936;562 
1590;560 
1488;561 
1654;562 
1864;562 
1824;562 
3955;561 
1790;562 
1685;562 
1625;562 
1686;562 
1591;561 
3562;561 
1751;561 
1705;562 
1677;561 
1690;562 
1910;562 
1641;562 
1355;560 
1330;561 
1602;562 
1775;561 
1888;562 
1801;560 
1669;561 
1984;562 
1759;561 
1816;561 
1583;561 
1603;562 
1651;562 
1849;561 
1733;561 
4049;561 
1884;562 
1354;562 
1600;562 
1713;559 
1659;560 
1963;561 
1611;559 
1689;561 
1863;563 
1537;563 
1492;563 
2289;560 
1942;561 
1897;562 
1620;561 
1350;561 
1553;561 
1808;561 
1512;562 
1605;560 
1673;560 
1666;561 
1709;561 
1861;561 
1559;560 
1932;561 
1469;562 
1407;562 
1693;563 
1559;562 
1463;561 
