CYCLES;INS
1999;561 
1654;562 
1544;562 
1553;561 
1495;562 
1731;562 
1756;561 
1813;561 
1868;562 
1740;562 
1686;562 
1758;561 
1459;561 
2046;560 
2119;561 
1510;563 
1890;561 
1778;562 
1682;562 
1957;562 
1942;561 
1428;561 
1882;561 
1804;561 
2046;562 
1952;560 
1509;561 
1210;561 
1954;561 
1665;562 
1783;560 
1682;561 
1841;561 
1731;562 
1911;563 
1671;560 
1470;562 
2704;560 
3752;561 
1926;563 
1599;561 
1619;562 
1490;561 
1368;561 
1622;562 
1743;561 
1752;561 
1527;561 
1599;562 
1599;560 
1675;560 
1614;562 
2006;561 
1479;563 
1893;562 
1395;563 
1987;560 
1645;562 
1766;561 
1766;562 
2330;562 
2005;561 
1497;560 
1673;561 
1575;561 
1639;561 
1956;560 
1930;562 
1879;561 
1886;562 
1664;562 
1854;562 
1938;562 
1802;563 
1668;562 
1775;561 
1676;562 
2087;562 
1692;562 
3842;562 
1573;561 
1743;561 
1698;561 
4054;562 
1799;563 
1359;562 
2029;562 
2108;562 
2016;562 
4043;563 
4411;562 
2008;562 
1870;561 
1843;561 
1719;562 
1662;562 
1843;562 
1734;562 
1803;562 
1598;564 
1792;562 
1833;562 
1585;561 
4026;561 
1701;562 
1809;563 
1633;562 
1573;560 
1847;560 
1680;562 
3210;563 
1537;561 
1776;561 
1939;561 
1874;562 
1633;561 
1863;561 
1486;561 
1858;562 
2009;562 
1879;561 
1774;561 
1951;562 
1420;563 
1903;561 
1631;562 
1527;562 
1680;563 
1986;561 
1845;561 
1863;561 
1663;561 
1604;562 
1863;561 
2071;561 
1636;559 
1590;562 
1838;562 
3835;562 
1910;562 
1764;561 
1694;561 
1894;561 
1967;562 
1667;562 
1510;561 
1830;562 
1755;561 
1808;560 
2138;561 
1548;562 
1849;561 
1733;561 
1817;561 
1329;560 
1495;561 
1828;562 
1781;561 
1707;562 
4012;561 
1823;561 
1530;561 
1910;561 
1667;562 
1933;561 
1523;561 
1711;561 
1895;562 
1562;562 
1706;561 
1969;562 
2062;563 
1902;560 
2112;561 
1829;563 
2099;563 
1801;561 
1964;562 
2156;564 
1961;562 
1883;562 
4204;562 
1820;563 
1799;560 
1943;561 
1755;561 
1462;560 
1465;559 
1780;563 
1946;561 
1437;561 
1899;562 
1828;562 
1712;562 
2721;561 
3028;561 
1778;562 
1702;562 
1885;562 
1848;562 
1800;561 
1520;561 
1704;561 
1658;562 
1821;561 
1756;562 
2039;562 
1741;562 
1777;562 
1815;562 
1777;562 
2006;562 
1611;562 
1599;562 
1491;561 
1622;561 
1487;562 
1755;562 
1732;562 
1615;562 
1600;562 
3924;563 
1500;561 
1532;560 
3786;561 
1577;560 
1742;561 
1951;562 
1527;561 
1911;561 
1802;563 
1816;561 
1748;562 
1883;562 
1735;562 
2021;561 
1913;561 
1887;561 
1629;560 
1775;563 
1894;564 
1827;562 
1984;562 
1906;561 
1560;561 
2186;561 
1744;560 
2050;561 
1673;560 
1754;561 
1762;560 
1833;562 
3747;561 
1798;562 
1516;560 
1808;561 
1624;562 
3812;562 
2007;561 
1843;561 
1833;559 
1835;562 
1877;561 
1895;561 
1588;562 
1467;562 
1438;561 
1764;562 
1542;562 
1593;561 
2044;562 
1507;562 
1848;561 
1914;562 
2249;562 
1848;563 
1837;561 
1795;561 
3859;562 
1877;563 
1936;562 
1984;561 
1663;562 
1904;562 
1625;561 
1362;562 
1688;560 
1937;562 
1884;563 
1725;563 
1767;561 
1584;561 
2049;562 
1595;563 
1667;564 
1658;562 
1654;561 
1721;562 
1887;562 
1965;563 
1712;561 
1500;562 
1607;562 
1636;561 
1601;562 
1769;558 
1962;562 
1794;561 
1475;561 
1996;561 
1786;561 
1661;560 
1608;561 
1841;562 
1953;561 
1850;561 
1673;562 
1970;561 
1343;562 
1625;563 
1625;561 
1678;561 
1648;560 
3094;561 
1830;562 
1632;561 
1413;562 
1806;561 
1945;562 
1654;561 
1768;561 
1461;562 
1906;561 
1966;562 
1790;561 
1824;562 
1730;562 
1704;562 
1695;562 
1861;561 
1982;562 
1853;560 
1795;562 
1799;561 
1433;561 
1394;559 
1733;561 
1921;562 
1858;565 
1854;562 
1796;562 
1699;560 
1501;561 
1980;561 
1847;562 
1920;561 
1685;560 
1744;562 
1767;562 
1776;562 
1624;560 
2075;563 
1567;562 
1939;562 
1667;561 
1484;562 
1652;562 
1646;561 
1440;561 
1579;561 
1688;561 
1769;561 
1709;562 
1423;562 
1746;562 
1723;561 
1234;562 
1764;562 
1657;558 
1943;562 
1542;561 
3754;562 
2103;561 
1913;562 
1805;563 
1922;561 
1478;561 
1904;558 
1478;561 
1434;562 
1486;560 
1764;562 
1648;561 
1898;562 
1677;562 
3771;562 
1664;562 
2030;562 
1793;561 
1732;562 
1333;560 
2064;559 
1815;563 
1860;562 
1812;561 
1903;563 
1976;562 
3868;563 
1472;562 
1933;561 
1678;561 
1671;561 
1831;561 
2055;562 
1633;561 
1981;561 
2144;561 
1927;561 
1990;562 
1653;562 
1946;562 
1655;561 
1616;561 
1623;560 
1894;561 
1771;562 
1619;562 
1887;562 
1829;562 
1534;562 
1579;562 
1574;561 
1609;564 
1426;562 
2103;561 
1687;558 
1797;561 
1606;563 
1811;562 
1927;562 
1880;561 
1849;561 
1841;561 
1842;561 
1596;560 
1737;560 
1649;561 
1710;562 
1749;562 
1499;562 
1540;561 
1537;561 
1700;562 
1508;562 
2018;561 
1370;560 
1876;562 
1846;562 
1675;563 
2253;561 
2064;562 
1752;561 
1837;562 
1903;561 
1739;563 
1715;561 
1772;562 
2004;561 
1989;561 
2256;561 
1716;562 
1657;562 
1831;562 
1779;561 
1936;562 
1878;562 
3348;560 
1756;562 
1890;561 
1582;561 
1805;562 
1738;561 
1643;559 
1847;562 
1646;562 
1918;560 
1477;561 
1853;562 
1904;562 
1908;562 
2094;562 
1533;562 
1841;563 
1707;563 
1936;562 
1617;563 
1904;561 
2107;561 
1455;562 
1514;561 
1666;562 
1826;561 
1659;562 
1709;561 
3058;562 
2770;561 
1882;563 
1786;562 
1785;561 
1713;561 
1882;561 
1805;561 
1478;561 
1777;562 
1747;562 
1613;562 
1528;561 
1521;561 
1812;561 
1906;560 
2182;561 
1916;561 
1898;562 
1842;559 
1662;561 
1441;562 
1538;563 
1597;560 
1601;559 
1745;557 
1357;562 
1486;563 
1680;563 
1904;561 
1865;561 
1644;562 
1569;562 
1500;562 
1637;562 
1890;561 
1968;562 
1981;563 
1342;562 
1635;561 
1526;561 
1393;562 
1505;562 
1534;562 
1575;562 
1419;560 
1751;562 
1648;562 
1870;561 
1857;561 
1808;560 
1694;562 
1494;562 
1385;563 
1435;560 
1955;561 
1678;560 
1388;561 
1400;559 
1565;560 
1494;561 
1518;562 
1853;562 
1568;561 
1524;561 
1488;562 
1904;562 
2103;561 
1710;561 
1635;562 
1822;560 
1639;563 
1913;562 
1882;562 
2205;560 
1662;562 
1675;561 
1874;562 
1702;562 
3530;561 
1796;562 
1551;563 
1541;562 
1783;563 
1767;562 
1608;562 
1636;561 
1503;560 
1213;563 
1623;562 
1691;562 
1583;560 
1660;562 
1688;562 
1815;560 
1973;562 
1779;562 
1913;562 
1577;561 
1526;562 
1726;561 
1624;560 
1666;561 
1629;561 
1886;561 
1828;561 
1610;560 
1367;560 
1468;560 
2044;561 
1690;562 
1582;561 
2324;560 
1852;561 
1646;560 
1543;561 
1617;562 
1808;561 
2250;562 
1721;562 
1505;561 
1721;562 
1416;562 
1480;563 
1367;562 
1643;562 
1721;562 
1527;559 
1995;560 
1421;562 
1612;561 
1539;562 
1823;562 
2889;562 
1444;561 
1424;562 
1693;561 
1513;562 
1659;561 
1682;561 
1992;562 
1630;563 
1745;561 
1530;561 
1652;562 
1714;560 
1547;561 
2052;561 
1592;563 
1618;560 
1628;562 
1690;562 
1736;558 
1604;562 
1976;561 
1488;560 
1482;561 
2136;561 
1489;561 
1578;562 
1829;560 
1663;563 
1593;561 
1708;561 
1766;562 
1576;562 
2872;560 
1612;562 
1526;561 
1376;561 
1731;562 
1672;563 
1648;562 
1507;562 
1874;562 
1396;562 
1389;562 
1470;562 
1355;562 
1666;562 
1637;561 
1726;563 
3844;562 
1865;563 
1744;562 
1529;561 
1486;561 
1584;562 
1560;562 
1733;562 
3742;561 
1837;559 
1481;560 
1766;562 
1696;563 
1693;562 
1501;561 
1752;561 
1360;561 
1642;561 
1679;564 
1691;561 
1781;561 
1757;562 
1603;562 
1557;560 
1700;561 
1867;561 
1671;562 
1765;561 
1581;560 
1876;562 
1794;562 
1537;561 
1212;562 
1637;561 
1605;561 
1631;561 
1870;562 
1718;562 
1550;559 
1828;561 
1977;562 
1576;562 
1898;562 
1805;563 
1524;561 
1753;562 
1688;562 
1996;563 
1434;562 
1876;562 
1585;562 
1808;562 
1851;562 
1645;560 
1815;564 
2077;562 
1849;562 
1719;561 
1477;560 
2038;560 
1666;561 
1735;562 
1789;561 
1467;562 
1827;562 
1809;560 
3898;562 
1491;561 
1605;561 
1647;561 
1856;560 
1771;561 
1671;561 
2065;561 
2015;561 
1375;560 
1614;562 
1844;561 
2156;561 
1989;562 
1535;561 
1445;561 
1427;561 
1863;562 
1792;562 
1905;562 
1669;562 
1927;561 
1790;563 
1890;561 
1602;560 
1412;562 
1551;562 
1859;562 
1731;561 
1946;563 
1555;558 
1859;562 
1874;563 
1540;560 
1502;562 
1823;562 
1698;561 
1984;562 
1670;560 
1370;561 
1969;561 
2067;562 
2357;558 
1768;562 
1941;561 
1766;561 
2041;560 
1582;562 
1862;562 
1885;562 
1938;562 
1700;561 
1776;562 
1651;562 
1693;561 
1820;560 
2012;562 
1757;562 
2065;563 
1775;562 
1404;561 
1916;561 
1544;561 
1721;562 
1772;561 
1329;562 
1634;562 
1614;562 
1938;560 
1845;561 
3708;561 
1734;561 
1580;562 
1662;561 
1596;559 
1651;560 
1709;560 
1794;561 
1713;562 
1836;561 
1906;562 
1755;561 
1494;560 
1531;560 
1516;561 
1859;561 
1573;562 
1857;561 
1414;560 
1654;563 
1548;562 
1857;561 
1709;562 
1465;561 
2075;560 
1919;562 
1723;562 
1490;561 
1609;562 
2133;562 
1610;563 
1691;562 
1814;562 
1675;560 
1761;562 
1625;561 
1793;562 
1852;562 
1718;561 
1542;561 
1425;562 
1614;562 
3527;561 
1745;562 
2238;559 
1823;561 
1791;561 
2030;561 
1633;563 
1537;562 
1844;562 
1907;561 
1550;560 
1409;560 
1882;561 
1783;562 
1600;562 
2054;561 
2024;562 
3332;560 
1954;562 
1473;562 
1775;562 
1774;560 
1959;562 
1653;561 
1845;562 
1674;562 
1917;559 
1461;561 
1638;561 
1770;562 
1572;561 
1728;562 
1674;561 
1900;561 
1672;560 
1753;561 
2061;562 
3912;562 
2046;560 
1641;561 
1591;562 
1704;562 
1704;562 
1583;561 
1852;563 
1736;562 
1567;562 
1847;562 
2443;562 
1786;561 
1964;562 
1691;561 
1742;562 
1820;562 
1515;564 
1895;562 
1675;562 
1625;561 
1668;561 
1725;562 
1549;562 
1403;561 
1460;563 
1411;561 
1655;561 
1570;562 
1541;561 
1600;562 
1746;561 
1524;561 
1872;562 
1925;563 
1542;562 
1975;561 
1713;562 
1723;560 
1219;562 
3840;562 
3744;562 
1929;561 
1786;561 
2200;561 
1551;561 
1590;561 
1677;562 
1677;562 
1926;562 
1838;562 
1506;562 
1683;562 
1594;563 
1823;562 
1420;562 
1750;562 
1784;562 
2168;563 
1433;562 
1701;562 
1738;563 
2037;562 
3193;562 
1470;562 
1422;562 
1745;562 
2019;561 
1683;562 
1685;562 
1601;561 
1714;562 
1810;562 
1575;562 
4110;562 
1932;562 
1711;562 
1809;562 
1832;562 
1564;561 
1861;561 
2222;561 
1632;561 
1855;562 
1668;560 
1708;562 
1689;562 
1936;561 
1753;561 
1642;560 
1659;563 
1529;562 
1841;561 
1679;561 
2018;561 
1744;561 
1812;561 
1673;563 
1583;561 
1772;560 
1605;562 
4088;560 
1836;562 
1870;562 
1884;561 
2899;562 
1781;560 
2194;562 
1925;561 
1905;563 
1658;561 
1833;558 
1750;561 
1635;562 
1762;562 
1778;562 
1910;562 
1552;562 
1616;561 
1865;562 
1606;561 
1675;561 
2682;562 
1501;560 
1781;562 
1607;562 
1767;561 
1569;562 
1460;560 
1870;561 
1467;559 
3669;561 
1934;561 
1996;562 
1867;562 
1893;561 
1693;562 
1957;561 
1838;561 
1925;561 
1900;561 
1981;562 
1544;562 
1828;561 
1706;561 
1934;561 
1730;562 
1360;562 
1517;561 
1986;562 
1828;562 
2016;562 
1988;562 
1733;563 
1590;561 
2044;563 
1816;562 
1646;561 
1984;561 
1754;562 
1634;560 
1660;562 
1817;561 
2032;562 
1810;562 
1969;563 
1661;560 
1794;561 
1882;562 
1888;561 
1656;561 
1582;562 
1885;563 
4208;563 
2067;562 
1792;561 
1219;561 
1769;562 
1689;561 
1647;562 
1803;562 
1533;561 
3571;561 
1820;562 
1532;563 
1469;562 
1721;561 
1610;562 
1537;562 
1660;563 
1725;561 
1463;562 
1778;562 
1438;562 
1918;562 
2060;562 
1594;561 
1488;562 
1761;562 
1694;561 
1771;560 
2273;561 
1684;561 
1877;560 
1986;562 
1617;562 
1677;561 
1969;561 
1735;560 
1493;561 
1913;562 
1425;562 
1733;562 
1723;562 
1699;561 
1809;562 
1714;561 
1377;561 
1593;562 
1518;562 
1677;561 
2006;561 
1777;562 
1492;561 
1688;563 
4085;562 
1492;562 
1942;561 
1987;561 
1893;561 
1687;561 
1461;562 
1366;562 
1717;563 
1468;562 
1807;561 
1691;562 
1593;562 
1482;563 
1959;563 
1745;561 
1762;562 
1673;561 
1947;561 
1820;562 
1909;561 
1859;560 
3918;562 
1640;560 
2052;562 
1997;562 
2118;562 
1848;563 
1572;562 
1699;560 
2057;561 
1572;564 
2567;562 
2035;562 
1687;561 
2064;561 
1860;561 
1552;560 
1440;562 
1458;560 
3540;560 
2471;561 
1831;561 
1676;562 
1597;563 
1979;559 
1899;561 
1881;561 
1835;560 
1750;561 
1670;560 
1912;560 
1793;561 
1833;562 
1575;562 
1622;562 
2604;561 
2160;559 
1771;561 
3735;560 
1669;561 
1886;562 
1879;562 
1904;562 
1757;560 
1833;560 
1784;562 
1923;562 
1732;562 
1576;561 
2801;562 
1731;562 
1726;561 
1515;562 
1702;561 
1889;562 
1908;562 
1918;562 
1780;561 
1883;562 
1629;562 
1815;561 
1519;562 
1439;562 
1444;562 
1604;561 
1764;562 
1935;562 
1741;561 
1565;561 
2077;561 
1695;561 
1864;561 
1595;562 
1787;562 
1597;561 
1568;562 
1736;561 
2019;561 
1848;562 
1577;562 
1668;561 
1763;561 
1656;562 
3228;561 
2192;562 
1858;562 
1404;561 
3573;559 
1842;561 
1676;562 
3372;563 
1901;562 
1638;563 
1710;561 
1390;562 
1839;563 
1577;562 
1873;561 
1881;561 
1682;562 
1403;561 
1379;561 
1656;563 
1450;561 
1761;562 
1596;562 
3158;561 
1793;562 
1816;562 
1937;562 
1737;562 
1885;562 
1826;562 
1684;560 
1753;562 
2490;562 
4077;561 
1694;562 
1334;561 
1443;561 
1671;562 
1584;561 
2394;561 
1902;562 
1745;561 
1886;562 
1974;561 
1825;561 
1618;562 
2062;560 
1613;561 
1791;561 
1839;562 
1776;563 
1525;561 
1933;561 
1723;561 
1482;563 
1651;563 
1419;562 
1888;561 
1767;561 
1893;563 
1831;562 
1700;563 
1694;561 
1508;561 
1883;561 
3735;562 
1569;560 
1956;560 
1495;562 
1864;561 
1809;562 
1948;561 
1799;562 
1758;561 
1690;562 
1421;562 
1510;562 
1798;561 
1766;562 
1890;562 
1775;562 
1396;561 
1794;562 
2162;561 
1488;562 
1895;561 
1736;560 
1896;561 
1586;561 
1997;559 
1804;563 
1516;562 
1488;562 
1832;562 
1621;562 
1617;560 
1692;561 
1948;562 
1624;562 
4072;562 
1298;561 
1468;562 
1697;562 
1508;562 
3526;561 
1606;560 
1392;562 
1648;562 
