CYCLES;INS
1920;562 
1862;561 
1479;560 
3792;561 
2004;562 
3862;562 
1638;561 
1743;562 
2395;561 
1507;561 
1881;561 
1697;562 
1499;560 
1758;561 
1672;562 
1600;562 
2019;561 
1482;560 
1759;560 
1559;560 
1210;562 
1380;562 
1805;561 
1591;562 
2057;563 
1784;562 
1679;561 
1772;561 
1353;560 
1877;562 
1728;560 
2031;562 
1643;562 
1730;561 
1537;561 
1879;562 
1784;560 
1772;561 
1840;561 
1820;560 
1622;562 
1897;562 
2034;562 
1905;560 
1773;561 
1551;561 
1533;562 
1761;562 
1648;561 
1530;562 
1715;560 
1914;561 
3827;561 
1692;561 
1690;562 
3791;561 
1633;561 
1703;560 
2743;561 
1516;562 
3666;560 
1664;561 
1644;562 
1720;562 
1879;563 
1605;561 
1724;563 
1461;564 
1669;562 
1593;559 
1617;562 
2092;562 
1455;562 
2052;560 
1616;561 
1528;562 
1817;562 
1533;562 
1853;563 
1470;562 
1915;562 
1639;561 
1669;563 
1866;560 
1745;561 
1646;561 
1338;560 
1821;560 
1556;562 
1631;562 
1903;562 
1856;561 
1578;561 
4071;561 
1855;562 
1413;562 
1749;561 
1401;562 
1554;561 
1804;561 
3897;562 
1733;562 
1360;561 
1682;562 
2012;561 
1521;561 
2413;561 
1563;558 
1724;559 
1520;562 
1679;561 
1808;561 
1605;561 
1573;561 
1896;562 
1775;561 
1766;561 
1848;561 
1856;561 
1548;562 
1873;562 
1501;561 
2128;561 
1655;562 
1609;561 
1476;561 
1600;561 
1692;562 
1721;561 
1474;562 
1587;562 
1630;560 
1414;561 
3677;562 
1998;562 
1890;562 
1807;562 
2053;563 
1935;562 
1905;561 
1667;561 
1671;562 
1514;561 
1991;561 
1682;561 
1685;562 
1470;561 
1742;561 
1974;563 
1535;563 
1565;561 
1801;562 
1823;562 
1475;561 
1627;561 
1376;563 
1607;561 
1866;562 
1888;562 
1902;562 
1979;561 
1859;562 
1691;562 
1787;561 
1834;562 
1534;563 
1913;562 
1675;563 
1809;562 
1487;561 
1666;561 
1494;560 
3883;559 
1751;561 
1901;562 
1789;562 
2468;560 
1812;562 
1531;561 
1873;561 
1821;562 
1417;561 
1698;562 
2037;561 
1769;562 
1662;561 
2025;562 
1896;561 
1633;561 
1707;562 
1836;560 
1817;562 
1369;563 
1557;562 
1692;561 
1748;561 
1569;561 
1231;565 
1558;562 
1653;561 
1952;562 
1932;561 
1758;561 
2616;561 
1849;563 
1481;561 
3471;562 
1987;562 
2093;562 
1508;561 
1606;563 
1677;560 
1772;564 
1657;562 
1461;562 
1894;562 
1532;562 
1482;562 
1597;563 
1545;560 
1604;562 
2308;561 
1867;561 
1638;562 
1414;561 
1957;560 
1737;559 
1585;562 
1942;562 
1417;563 
1443;561 
1466;561 
1220;563 
1427;560 
1743;562 
1851;561 
1636;564 
1862;561 
1850;562 
1384;561 
1850;561 
1546;562 
2085;561 
1601;562 
1649;562 
1516;560 
1548;564 
1702;561 
1670;562 
1841;561 
1845;563 
1746;562 
2404;561 
1441;561 
1945;562 
1949;562 
1714;562 
1674;562 
1750;563 
2070;561 
1745;561 
1847;562 
1634;562 
3823;562 
1799;562 
1761;561 
2051;563 
1916;562 
1455;562 
2027;562 
1435;560 
1797;561 
3957;561 
1628;561 
1446;560 
1640;564 
1615;562 
1847;562 
3992;561 
1697;561 
1829;561 
3855;561 
1909;560 
2001;563 
1892;561 
1678;562 
1834;562 
1756;561 
2076;561 
1484;562 
1691;561 
1660;562 
1764;561 
1826;561 
1900;561 
1898;561 
1837;561 
1598;562 
1965;561 
1841;561 
1578;562 
1847;562 
1732;563 
1445;559 
1420;560 
1797;562 
1831;563 
2072;562 
2863;561 
1789;563 
1847;562 
1663;562 
1904;563 
1675;563 
1559;561 
1709;560 
1933;561 
2136;561 
1672;560 
1506;561 
1537;561 
1401;562 
1540;561 
1719;562 
1824;561 
2023;561 
1901;561 
1760;561 
